,human,ashuman,asmachine
pos_prop_ADP,0.10372960372960373,0.11378002528445007,0.09014084507042254
pos_prop_NOUN,0.20862470862470864,0.21997471554993678,0.24507042253521127
pos_prop_AUX,0.06293706293706294,0.05309734513274336,0.04084507042253521
pos_prop_PRON,0.03263403263403263,0.03792667509481669,0.01971830985915493
pos_prop_X,0.01048951048951049,0.0012642225031605564,0.0014084507042253522
pos_prop_CCONJ,0.019813519813519812,0.035398230088495575,0.03943661971830986
pos_prop_ADV,0.05944055944055944,0.08343868520859671,0.061971830985915494
pos_prop_PUNCT,0.14801864801864803,0.0897597977243995,0.09436619718309859
pos_prop_DET,0.11305361305361306,0.14032869785082175,0.16056338028169015
pos_prop_ADJ,0.045454545454545456,0.10745891276864729,0.10985915492957747
pos_prop_VERB,0.09324009324009325,0.07585335018963338,0.0676056338028169
pos_prop_NUM,0.02564102564102564,0.0012642225031605564,0.0028169014084507044
pos_prop_PART,0.019813519813519812,0.01643489254108723,0.01267605633802817
pos_prop_PROPN,0.04895104895104895,0.008849557522123894,0.018309859154929577
pos_prop_SCONJ,0.008158508158508158,0.015170670037926675,0.015492957746478873
flesch_reading_ease,43.86882515437112,32.02222014460233,26.461612934456383
flesch_kincaid_grade,13.99804698187415,17.471666666666668,18.637084688251097
smog,13.40311325097695,16.972104926121183,18.012836578744416
gunning_fog,15.895699384404924,20.106837606837605,21.728620575898958
automated_readability_index,14.016436816005474,18.572769230769232,20.227618643668414
coleman_liau_index,18.730506155950746,21.01266666666667,22.524043545878687
lix,50.819959815321475,57.9059829059829,62.253122201800274
rix,4.5,7.282051282051282,8.333333333333334
passed_quality_check,True,True,True
n_stop_words,347.0,366.0,286.0
alpha_ratio,0.8263403263403264,0.9089759797724399,0.8845070422535212
mean_word_length,5.526806526806527,6.036662452591656,6.230985915492957
doc_length,858.0,791.0,710.0
symbol_to_word_ratio_#,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.0,0.0,0.010301109350237718
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.006400877834674469,0.004544628249409198,0.0071315372424722665
top_ngram_chr_fraction_3,0.0,0.010907107798582076,0.0
top_ngram_chr_fraction_4,0.0,0.0,0.0
oov_ratio,0.04895104895104895,0.012642225031605562,0.03943661971830986
first_order_coherence,0.3596000684395669,0.6461079218669942,0.7142025837674737
second_order_coherence,0.40543580073262414,0.6268192545787709,0.6820551012792895
entropy,11.77254120436774,11.053072799933386,10.008433873521675
perplexity,129643.18232669133,63137.66625117386,22213.019802099818
per_word_perplexity,151.09928010103883,79.8200584717748,31.28594338323918
dependency_distance_mean,2.375267006976082,2.9736831245199227,2.9939884530633063
dependency_distance_std,0.9535375422369678,0.8825999438853476,0.745386702837476
prop_adjacent_dependency_relation_mean,0.4347947983387308,0.4430205284079312,0.46321551675571515
prop_adjacent_dependency_relation_std,0.11045194895528976,0.06024284087835314,0.07920383573463444
token_length_mean,6.313269493844049,6.533333333333333,6.776049766718507
token_length_median,5.0,5.0,6.0
token_length_std,4.082470833524673,4.007492981902776,4.1660240146734475
sentence_length_mean,11.421875,18.46153846153846,19.484848484848484
sentence_length_median,11.0,19.0,18.0
sentence_length_std,5.705821280444648,7.870249576879178,7.8706251421699855
syllables_per_token_mean,2.1299589603283176,2.191666666666667,2.2566096423017106
syllables_per_token_median,2.0,2.0,2.0
syllables_per_token_std,1.4385040768673194,1.426704633451196,1.4342290883230406
n_tokens,731,720,643
n_unique_tokens,401,410,392
proportion_unique_tokens,0.5485636114911081,0.5694444444444444,0.609642301710731
n_characters,4742,4775,4424
n_sentences,64,39,33
connectives,14,33,22
connectives_cap,3,8,3
pos_prop_SPACE,,,0.01971830985915493
