,human-full,continue,create,human-cont,explain
entropy,10.508679937939238,7.47766073843941,5.068038359448758,8.345342699283881,4.557900969781915
perplexity,36632.09097943268,1768.0998864090673,158.86239058199266,4210.525325449813,95.38305763725995
per_word_perplexity,55.168811716013074,3.5291414898384574,0.509174328788438,7.9744797830488885,0.35067300601933804
first_order_coherence,0.5566481165587902,0.4945031050592661,0.7219289839267731,0.6541980430483818,0.6731130534952338
second_order_coherence,0.537969605449368,0.46681117832971114,0.717143324288455,0.6217089877887205,0.6814446687698364
flesch_reading_ease,-32.13516169942926,-20.5752508914926,-22.297755749405212,-28.383186813186796,-42.85384446693655
flesch_kincaid_grade,25.33819911223843,20.457538631346583,21.93037800687286,25.913186813186815,24.350050607287454
smog,21.98526231815003,18.202025383461052,19.594987254470166,22.918633597333717,19.865919216924105
gunning_fog,26.482869825165324,22.95157072508066,23.799206978588423,27.71428571428571,24.91349527665317
automated_readability_index,27.502330827067674,21.249684156902703,23.007462331482948,28.719098901098903,25.32126180836707
coleman_liau_index,25.232013769363167,24.907196467991167,24.381168384879725,24.113670329670324,28.27838056680162
lix,73.78032430473775,62.235438953982,66.37086968014803,76.31868131868131,66.73717948717949
rix,13.210526315789474,7.8076923076923075,9.846153846153847,14.461538461538462,9.5
dependency_distance_mean,3.5840945393399615,2.778950712354504,3.292901169707436,3.984842212953944,3.186318067411418
dependency_distance_std,1.5878704001335346,1.1496658566622873,1.1609645771494936,1.58025478348062,0.6917673788091905
prop_adjacent_dependency_relation_mean,0.4550118437128255,0.4811955348355743,0.4229920743507699,0.44297426497246106,0.49447650294197604
prop_adjacent_dependency_relation_std,0.07790197028570256,0.13501534154770764,0.13284729812198212,0.08055488318947418,0.09991333292514579
n_stop_words,240.0,199.0,133.0,191.0,101.0
alpha_ratio,0.8719879518072289,0.8942115768463074,0.9326923076923077,0.8598484848484849,0.9080882352941176
mean_word_length,6.375,6.616766467065868,6.6506410256410255,6.111742424242424,7.1213235294117645
doc_length,664.0,501.0,312.0,528.0,272.0
duplicate_ngram_chr_fraction_5,0.18825238688252388,0.009025749933634192,,0.04612045577862181,0.3669262482821805
duplicate_ngram_chr_fraction_6,0.16645911166459113,,,0.04612045577862181,0.3669262482821805
duplicate_ngram_chr_fraction_7,0.1311747613117476,,,,0.33486028401282636
duplicate_ngram_chr_fraction_8,0.1311747613117476,,,,0.27576729271644523
duplicate_ngram_chr_fraction_9,0.09464508094645081,,,,0.27576729271644523
