,human-full,explain,create,human-cont,continue
pos_prop_PROPN,0.0860655737704918,0.05333333333333334,0.0725,0.08836789900811542,0.042492917847025496
pos_prop_ADP,0.11147540983606558,0.08,0.085,0.1109107303877367,0.09631728045325778
pos_prop_ADJ,0.0959016393442623,0.04666666666666667,0.08,0.09828674481514878,0.0764872521246459
pos_prop_NOUN,0.20491803278688525,0.2,0.2025,0.20559062218214608,0.21813031161473087
pos_prop_PUNCT,0.1418032786885246,0.15333333333333332,0.1575,0.14156898106402163,0.12464589235127478
pos_prop_DET,0.12131147540983607,0.14666666666666667,0.1275,0.12173128944995491,0.1529745042492918
pos_prop_X,0.005737704918032787,0.006666666666666667,0.005,0.005410279531109108,
pos_prop_ADV,0.05245901639344262,0.05333333333333334,0.05,0.05139765554553652,0.0679886685552408
pos_prop_NUM,0.020491803278688523,,0.0025,0.023444544634806132,0.0028328611898017
pos_prop_AUX,0.028688524590163935,0.04,0.0475,0.027953110910730387,0.039660056657223795
pos_prop_CCONJ,0.020491803278688523,0.02,0.0425,0.02164111812443643,0.031161473087818695
pos_prop_VERB,0.06967213114754098,0.10666666666666667,0.075,0.06943192064923355,0.0764872521246459
pos_prop_SCONJ,0.013114754098360656,0.03333333333333333,0.0175,0.009017132551848512,0.028328611898016998
pos_prop_PART,0.002459016393442623,,0.01,0.0018034265103697023,0.0169971671388102
pos_prop_PRON,0.02540983606557377,0.06,0.025,0.023444544634806132,0.025495750708215296
flesch_reading_ease,-14.367399920859953,-2.4592273622047003,-21.10375939849621,-14.739800508663137,-11.200213592232956
flesch_kincaid_grade,19.59183011277452,17.54613188976378,20.59612781954888,19.602913686218404,19.939145631067962
smog,17.2600881082412,16.52667757954773,18.41311972477687,17.165536196952242,18.528810451823436
gunning_fog,21.01618413242762,20.208267716535435,23.264160401002506,20.895120012716582,22.350032362459547
automated_readability_index,18.895677636351643,16.696003937007873,19.681212406015042,18.810198299157527,19.233495145631068
coleman_liau_index,21.968093385214008,20.02299212598425,22.811190476190472,21.947854077253222,20.669126213592232
lix,58.37703620655543,56.03248031496063,63.51754385964912,58.246383722778575,59.43495145631068
rix,7.135593220338983,6.375,8.105263157894736,7.074074074074074,8.0
first_order_coherence,0.49778157594645844,0.56602479411023,0.5962203183832268,0.49383165026610754,0.7514301708766392
second_order_coherence,0.4608801896765567,0.5921224108121047,0.6203341939870048,0.44918923602940947,0.7821256289115319
entropy,16.741319459148563,2.4909065579229916,6.994273516687956,14.870699719012869,6.244921979599215
perplexity,18649305.39544709,12.072215323634563,1090.3712534065974,2872518.4711186034,515.3890125008612
per_word_perplexity,15286.31589790745,0.08048143549089709,2.7259281335164935,2590.1879811709678,1.4600255311639128
token_length_mean,6.712062256809339,6.409448818897638,6.851190476190476,6.71137339055794,6.446601941747573
token_length_median,5.0,5.0,6.0,5.0,5.0
token_length_std,4.8801562004582575,4.183496504514616,4.317930336664807,4.867709078820358,4.13618061396297
sentence_length_mean,17.423728813559322,15.875,17.68421052631579,17.25925925925926,20.6
sentence_length_median,17.0,14.0,18.0,17.0,21.0
sentence_length_std,8.33657123728062,8.823795951856548,7.004153892166587,7.846171949818457,4.207929023482533
syllables_per_token_mean,2.4056420233463034,2.283464566929134,2.482142857142857,2.412017167381974,2.3300970873786406
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.9432231028615163,1.6453113426032258,1.7575456855327245,1.9510604048998437,1.718291181972164
n_tokens,1028,127,336,932,309
n_unique_tokens,521,87,203,489,182
proportion_unique_tokens,0.5068093385214008,0.6850393700787402,0.6041666666666666,0.5246781115879828,0.5889967637540453
n_characters,7092,837,2366,6432,2036
n_sentences,59,8,19,54,15
dependency_distance_mean,3.3510526821480844,3.2845564087704044,3.296927312186255,3.37651132974401,3.4390438472165115
dependency_distance_std,1.258733212810062,1.2938392305453796,1.0340175531483606,1.2251098085225338,0.4956770507145323
prop_adjacent_dependency_relation_mean,0.4281862081543088,0.44293200038636144,0.4309401591088933,0.4235863059510907,0.44115408366782677
prop_adjacent_dependency_relation_std,0.09726069046118409,0.04234869238796078,0.11673253463134695,0.09689666193242959,0.054014971619164895
passed_quality_check,True,True,True,True,True
n_stop_words,436.0,65.0,153.0,388.0,155.0
alpha_ratio,0.819672131147541,0.8466666666666667,0.84,0.8151487826871056,0.8725212464589235
mean_word_length,5.81311475409836,5.58,5.915,5.799819657348963,5.767705382436261
doc_length,1220.0,150.0,400.0,1109.0,353.0
duplicate_ngram_chr_fraction_5,0.0404289412054727,,,0.036160957041870584,0.0537542662116041
duplicate_ngram_chr_fraction_6,0.01577714778750154,,,0.017400761283306143,0.0537542662116041
duplicate_ngram_chr_fraction_7,0.01577714778750154,,,0.017400761283306143,0.0537542662116041
top_ngram_chr_fraction_2,0.010353753235547885,0.03115264797507788,0.011106997408367271,0.011419249592169658,0.05460750853242321
top_ngram_chr_fraction_3,0.012942191544434857,,0.009996297667530544,0.014274061990212071,0.01877133105802048
top_ngram_chr_fraction_4,0.01257241464316529,,,0.013866231647634585,0.040955631399317405
oov_ratio,0.07868852459016394,0.05333333333333334,0.065,0.0811541929666366,0.0453257790368272
connectives,24,4,11,22,8
duplicate_ngram_chr_fraction_8,,,,,0.0537542662116041
duplicate_ngram_chr_fraction_9,,,,,0.0537542662116041
duplicate_ngram_chr_fraction_10,,,,,0.0537542662116041
