,human-full,create,explain,human-cont,continue
pos_prop_NOUN,0.22551928783382788,0.23564356435643563,0.22518159806295399,0.2176696542893726,0.2188679245283019
pos_prop_ADV,0.0722057368941642,0.05742574257425743,0.06537530266343826,0.07682458386683738,0.03773584905660377
pos_prop_VERB,0.05539070227497527,0.06732673267326733,0.07990314769975787,0.058898847631242,0.0830188679245283
pos_prop_PUNCT,0.1394658753709199,0.1188118811881188,0.13075060532687652,0.13956466069142126,0.14339622641509434
pos_prop_DET,0.09198813056379822,0.11683168316831684,0.13559322033898305,0.08706786171574904,0.1169811320754717
pos_prop_ADJ,0.09099901088031652,0.0891089108910891,0.06053268765133172,0.08578745198463508,0.05660377358490566
pos_prop_CCONJ,0.043521266073194856,0.061386138613861385,0.043583535108958835,0.04225352112676056,0.03773584905660377
pos_prop_AUX,0.03066271018793274,0.039603960396039604,0.05811138014527845,0.029449423815621,0.052830188679245285
pos_prop_SCONJ,0.013847675568743818,0.02178217821782178,0.024213075060532687,0.015364916773367477,0.026415094339622643
pos_prop_PART,0.020771513353115726,0.033663366336633666,0.026634382566585957,0.023047375160051217,0.03018867924528302
pos_prop_ADP,0.10583580613254204,0.09702970297029703,0.08716707021791767,0.10499359795134443,0.1018867924528302
pos_prop_PROPN,0.08110781404549951,0.033663366336633666,0.0387409200968523,0.088348271446863,0.07169811320754717
pos_prop_PRON,0.02274975272007913,0.02574257425742574,0.01694915254237288,0.02560819462227913,0.01509433962264151
pos_prop_X,0.005934718100890208,,0.004842615012106538,0.005121638924455826,0.007547169811320755
flesch_reading_ease,-39.48914434060228,-38.038042578356,-27.618638966264285,-32.23271428571425,-31.878191997063112
flesch_kincaid_grade,23.492919003115265,24.383311649911295,22.066327762302695,22.425586626139822,22.405121145374448
smog,19.12932285261469,20.66365105003592,19.0041858790328,18.818736324657113,18.68694054745388
gunning_fog,24.104215991692627,25.45830869308102,23.465242958836274,23.56863221884499,23.249486049926578
automated_readability_index,23.21352933541018,24.7534926079243,22.08949241720829,22.19981762917933,22.24326725403818
coleman_liau_index,26.503504672897197,25.97249438202247,24.596545961002786,25.358297872340426,25.349427312775322
lix,65.86801661474559,69.26374926079242,64.23413803775921,64.6966565349544,64.73164464023495
rix,8.911111111111111,10.736842105263158,8.833333333333334,8.628571428571428,8.666666666666666
first_order_coherence,0.5086687259714712,0.7100610757867495,0.72930528661784,0.5006224475800991,0.7220109809528698
second_order_coherence,0.46562896586608055,0.6954132116892758,0.7413962967693806,0.4375215088666389,0.7119308114051819
entropy,15.316626370330388,9.586390313249593,7.82078722949163,11.48483861008188,4.4836631849880835
perplexity,4486692.585396684,14565.198724119165,2491.8663067504235,97230.39137858487,88.55848533475991
per_word_perplexity,4437.8759499472635,28.8419776715231,6.033574592616038,124.4947392811586,0.3341829635273959
token_length_mean,7.45911214953271,7.319101123595505,7.1225626740947074,7.267477203647417,7.26431718061674
token_length_median,6.0,6.0,6.0,6.0,6.0
token_length_std,5.216635070111019,5.1303651315508185,4.876927443365822,5.020160572783703,4.989036866063259
sentence_length_mean,19.022222222222222,23.42105263157895,19.944444444444443,18.8,18.916666666666668
sentence_length_median,19.0,23.0,18.5,19.0,20.5
sentence_length_std,10.756886969934685,8.785848606371044,7.905498945686282,11.303096920755834,4.517712056143266
syllables_per_token_mean,2.683411214953271,2.613483146067416,2.532033426183844,2.6003039513677813,2.594713656387665
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,2.176017443637438,2.0801464410007484,2.020357131892,2.0442966623716283,1.9919592289978514
n_tokens,856,445,359,658,227
n_unique_tokens,462,259,195,390,144
proportion_unique_tokens,0.5397196261682243,0.5820224719101124,0.5431754874651811,0.5927051671732523,0.6343612334801763
n_characters,6540,3317,2611,4905,1687
n_sentences,45,19,18,35,12
dependency_distance_mean,3.0644137052460185,3.4287445301701673,3.768087457558166,3.031131687875971,3.562985422493432
dependency_distance_std,1.356017630251172,1.042790713455182,1.1583558581749371,1.3754846158529224,0.6768710905192928
prop_adjacent_dependency_relation_mean,0.46877156646437673,0.45936193575652934,0.48790189928723166,0.47535039429529785,0.4853139945273812
prop_adjacent_dependency_relation_std,0.11112190045695494,0.12520508229854205,0.08988823528565276,0.11511917578270518,0.08290663612448326
passed_quality_check,True,True,True,True,True
n_stop_words,369.0,213.0,179.0,281.0,108.0
alpha_ratio,0.8456973293768546,0.8811881188118812,0.8692493946731235,0.8425096030729834,0.8566037735849057
mean_word_length,6.468842729970326,6.568316831683168,6.322033898305085,6.280409731113957,6.366037735849057
doc_length,1011.0,505.0,413.0,781.0,265.0
duplicate_ngram_chr_fraction_5,0.059794372294372296,,0.04109127652408218,0.007556675062972292,
duplicate_ngram_chr_fraction_6,0.05654761904761905,,0.04109127652408218,0.0032385750269881253,
duplicate_ngram_chr_fraction_7,0.05411255411255411,,0.04109127652408218,,
duplicate_ngram_chr_fraction_8,0.02462121212121212,,0.04109127652408218,,
duplicate_ngram_chr_fraction_9,0.02462121212121212,,0.04109127652408218,,
top_ngram_chr_fraction_2,0.007034632034632035,0.0053177346450412125,0.011788480970023578,0.009355883411299028,0.010454783063251438
top_ngram_chr_fraction_3,0.008793290043290044,,0.021892893230043786,0.011694854264123786,0.014113957135389441
top_ngram_chr_fraction_4,0.004734848484848485,,,0.006297229219143577,
oov_ratio,0.0722057368941642,0.05742574257425743,0.06779661016949153,0.06145966709346991,0.06792452830188679
connectives,24,15,9,20,7
pos_prop_NUM,,0.0019801980198019802,0.002421307506053269,,
duplicate_ngram_chr_fraction_10,,,0.04109127652408218,,
