,human,create,explain,continue
entropy,5.863425331372151,5.127564692159817,4.783090723767023,5.119968335078928
perplexity,351.92755028940024,168.6060101225412,119.47303815330963,167.33007104372248
per_word_perplexity,0.8300178072863214,0.5335633231725987,0.36536097294590103,0.47536952001057525
flesch_reading_ease,-15.135057479224344,-8.852763157894714,-24.552573260073245,-8.66520145544905
flesch_kincaid_grade,19.854486149584492,19.551390977443614,20.45173992673993,18.787832800851977
smog,17.410965686947208,18.848423458724294,17.5058628484301,17.5058628484301
gunning_fog,21.070415512465377,23.020050125313283,22.76996336996337,21.524245651402204
automated_readability_index,19.07763157894737,19.73541353383458,19.847948717948725,18.368501952431664
coleman_liau_index,21.86326869806094,21.43017543859649,24.312967032967034,21.328306709265174
lix,58.77022160664821,63.51503759398497,62.05311355311355,58.92243521476749
rix,7.35,8.785714285714286,7.111111111111111,7.222222222222222
passed_quality_check,True,True,True,True
n_stop_words,150.0,131.0,111.0,150.0
alpha_ratio,0.8254716981132075,0.8987341772151899,0.8318042813455657,0.8892045454545454
mean_word_length,5.839622641509434,6.031645569620253,6.137614678899083,5.982954545454546
doc_length,424.0,316.0,327.0,352.0
duplicate_ngram_chr_fraction_5,0.05435933639251676,,,
duplicate_ngram_chr_fraction_6,0.04518178609248147,,,
duplicate_ngram_chr_fraction_7,0.04518178609248147,,,
top_ngram_chr_fraction_2,0.012707377338510413,0.01598173515981735,0.008775778850372971,0.017369727047146403
top_ngram_chr_fraction_3,0.015884221673138015,0.02009132420091324,,0.02481389578163772
top_ngram_chr_fraction_4,0.01906106600776562,,,
oov_ratio,0.06839622641509434,0.03481012658227848,0.06116207951070336,0.028409090909090908
dependency_distance_mean,3.1355657757737276,3.1928193624036103,3.1233041965139154,3.0540330377500418
dependency_distance_std,1.3603497850222013,0.9701866844740438,0.5822335943264483,0.7230396175325547
prop_adjacent_dependency_relation_mean,0.40615827383104264,0.42718325092987713,0.42762782583922715,0.4955846151556733
prop_adjacent_dependency_relation_std,0.11604082641365414,0.1268097637956732,0.1041226995484501,0.088081874631938
pos_prop_DET,0.12028301886792453,0.12658227848101267,0.10397553516819572,0.125
pos_prop_NOUN,0.2028301886792453,0.21518987341772153,0.21100917431192662,0.21022727272727273
pos_prop_PUNCT,0.12971698113207547,0.0981012658227848,0.1620795107033639,0.11079545454545454
pos_prop_ADV,0.054245283018867926,0.07278481012658228,0.04892966360856269,0.07954545454545454
pos_prop_VERB,0.07311320754716981,0.0759493670886076,0.0672782874617737,0.08806818181818182
pos_prop_ADJ,0.10141509433962265,0.08860759493670886,0.10703363914373089,0.07670454545454546
pos_prop_PROPN,0.08254716981132075,0.05063291139240506,0.0856269113149847,0.056818181818181816
pos_prop_ADP,0.11084905660377359,0.10443037974683544,0.09480122324159021,0.10511363636363637
pos_prop_PRON,0.02830188679245283,0.02531645569620253,0.024464831804281346,0.019886363636363636
pos_prop_AUX,0.02122641509433962,0.056962025316455694,0.024464831804281346,0.048295454545454544
pos_prop_NUM,0.025943396226415096,0.0031645569620253164,0.0061162079510703364,
pos_prop_CCONJ,0.02830188679245283,0.04430379746835443,0.045871559633027525,0.036931818181818184
pos_prop_SCONJ,0.009433962264150943,0.022151898734177215,0.0061162079510703364,0.019886363636363636
pos_prop_PART,0.0023584905660377358,0.00949367088607595,0.0030581039755351682,0.022727272727272728
pos_prop_X,0.009433962264150943,0.006329113924050633,0.009174311926605505,
token_length_mean,6.684210526315789,6.578947368421052,7.153846153846154,6.603833865814696
token_length_median,5.0,6.0,6.0,6.0
token_length_std,4.464696854831263,4.03731441231626,4.425839239361091,4.179241030260501
sentence_length_mean,18.05,20.357142857142858,15.166666666666666,17.38888888888889
sentence_length_median,18.0,21.5,15.0,17.0
sentence_length_std,9.319200609494358,6.820213055502664,5.220153254455275,3.817196308067085
syllables_per_token_mean,2.407202216066482,2.305263157894737,2.553113553113553,2.3386581469648564
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.7779359272270554,1.5654628879519756,1.8009763870780344,1.6265589586841909
n_tokens,361,285,273,313
n_unique_tokens,220,169,189,190
proportion_unique_tokens,0.6094182825484764,0.5929824561403508,0.6923076923076923,0.6070287539936102
n_characters,2476,1906,2007,2106
n_sentences,20,14,18,18
first_order_coherence,0.5133985892722481,0.7368038159150344,0.5089252934078959,0.7075909568982965
second_order_coherence,0.5007003214624193,0.728110246360302,0.5016931733116508,0.721219027414918
connectives,7,13,7,10
connectives_cap,0,3,1,4
