,create,human,explain,continue
passed_quality_check,True,True,True,True
n_stop_words,169.0,175.0,168.0,163.0
alpha_ratio,0.8914141414141414,0.8410757946210269,0.9025641025641026,0.8942065491183879
mean_word_length,7.247474747474747,6.193154034229829,6.756410256410256,7.090680100755668
doc_length,396.0,409.0,390.0,397.0
duplicate_ngram_chr_fraction_5,0.024829298572315334,0.024965325936199722,0.018072289156626505,
duplicate_ngram_chr_fraction_6,0.024829298572315334,,0.018072289156626505,
top_ngram_chr_fraction_2,0.01303538175046555,0.009708737864077669,0.010040160642570281,0.056800252445566426
top_ngram_chr_fraction_3,0.0111731843575419,0.012135922330097087,0.012048192771084338,0.061533606816030297
oov_ratio,0.020202020202020204,0.044009779951100246,0.038461538461538464,0.022670025188916875
flesch_reading_ease,-48.87153296420291,-19.6166964285714,-29.511705508474563,-46.25009096244128
flesch_kincaid_grade,24.062061550347675,21.429821428571433,22.87208333333334,23.384947183098586
smog,17.996215985532388,19.096711260767844,19.47544242345975,17.74040953234514
gunning_fog,23.30203450939995,23.03571428571429,23.652259887005652,23.606807511737088
automated_readability_index,24.312755601339177,22.800471428571427,24.212415254237285,22.75690375586855
coleman_liau_index,29.445212464589236,24.410057142857145,26.03197740112994,28.129126760563377
lix,62.78766417718259,65.58928571428572,65.91031073446328,61.833920187793424
rix,7.5,9.5625,9.6875,6.958333333333333
token_length_mean,8.008498583569406,7.0685714285714285,7.34180790960452,7.811267605633803
token_length_median,6.0,5.0,5.0,6.0
token_length_std,5.626972302445687,5.266159968736853,5.414888776353252,5.4556741181376305
sentence_length_mean,16.045454545454547,21.875,22.125,14.791666666666666
sentence_length_median,16.0,17.5,23.0,15.5
sentence_length_std,6.898466711901031,13.687928075497767,7.227335262736882,5.066056706705478
syllables_per_token_mean,2.830028328611898,2.414285714285714,2.5282485875706215,2.8140845070422533
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,2.1853242800164048,1.9264538639157487,2.0001536057710156,2.1478646962557817
n_tokens,353,350,354,355
n_unique_tokens,208,213,203,206
proportion_unique_tokens,0.5892351274787535,0.6085714285714285,0.5734463276836158,0.5802816901408451
n_characters,2870,2533,2635,2815
n_sentences,22,16,16,24
first_order_coherence,0.789888227269763,0.5519905060529708,0.7800166527430217,0.7191371979272884
second_order_coherence,0.7648568972945213,0.5863095287765775,0.7849490599972861,0.7304885739629919
entropy,7.110865470916863,6.942294009178749,7.043820057345855,7.206925426956689
perplexity,1225.2074687908041,1035.1421188575378,1145.7561113970985,1348.7390891750165
per_word_perplexity,3.093958254522233,2.5309098260575493,2.9378361830694835,3.3973276805416033
pos_prop_NOUN,0.25,0.2371638141809291,0.2564102564102564,0.24433249370277077
pos_prop_VERB,0.08838383838383838,0.044009779951100246,0.08205128205128205,0.09319899244332494
pos_prop_DET,0.12121212121212122,0.11735941320293398,0.16923076923076924,0.12594458438287154
pos_prop_ADJ,0.09343434343434344,0.06356968215158924,0.07435897435897436,0.10327455919395466
pos_prop_ADP,0.08333333333333333,0.11491442542787286,0.1,0.07052896725440806
pos_prop_PUNCT,0.10858585858585859,0.12469437652811736,0.09230769230769231,0.10579345088161209
pos_prop_CCONJ,0.06313131313131314,0.0488997555012225,0.046153846153846156,0.07052896725440806
pos_prop_ADV,0.06565656565656566,0.09535452322738386,0.04358974358974359,0.06801007556675064
pos_prop_AUX,0.05303030303030303,0.044009779951100246,0.04358974358974359,0.04534005037783375
pos_prop_PRON,0.027777777777777776,0.029339853300733496,0.03076923076923077,0.027707808564231738
pos_prop_PART,0.017676767676767676,0.009779951100244499,0.002564102564102564,0.017632241813602016
pos_prop_SCONJ,0.022727272727272728,0.0024449877750611247,0.023076923076923078,0.012594458438287154
pos_prop_X,0.005050505050505051,0.009779951100244499,0.005128205128205128,0.010075566750629723
dependency_distance_mean,2.7365151103211582,3.609900660448351,3.540689053023019,2.6733294024700593
dependency_distance_std,1.0794595487622218,1.494307848605478,0.9967504433006686,0.709433731747605
prop_adjacent_dependency_relation_mean,0.45413794061827056,0.4699248606926493,0.5007098622298998,0.4696082362143996
prop_adjacent_dependency_relation_std,0.15718340304131906,0.07732945236011542,0.05618463453618133,0.06544929941009506
connectives,6,24,13,10
connectives_cap,3,2,1,2
top_ngram_chr_fraction_4,,0.012482662968099861,,
pos_prop_NUM,,0.014669926650366748,0.005128205128205128,
pos_prop_PROPN,,0.044009779951100246,0.02564102564102564,0.005037783375314861
duplicate_ngram_chr_fraction_7,,,0.018072289156626505,
