,continue,human,create,explain
flesch_reading_ease,23.474884158867866,-14.13187185297079,-9.27242857142852,-3.7210945273631353
flesch_kincaid_grade,13.20505934718101,22.0829078549849,20.117428571428572,19.326567164179107
smog,13.087092788941725,20.3464997020456,18.946978176291534,18.528810451823436
gunning_fog,14.561469984021912,24.205538771399798,22.65047619047619,21.94825870646766
automated_readability_index,13.492460625427988,23.424899295065458,21.15598214285714,21.23039800995025
coleman_liau_index,17.423145400593473,21.906465256797578,22.061071428571427,22.19164179104477
lix,50.05352659210226,68.36883182275932,63.173809523809524,65.61691542288557
rix,4.8076923076923075,11.25,9.133333333333333,9.666666666666666
entropy,5.790808398046549,6.882119380539891,5.266299582674041,6.498496803203289
perplexity,327.2774879475875,974.6899111242632,193.6978716866659,664.1425453730322
per_word_perplexity,0.8750734971860628,2.5056295915790825,0.5137874580548167,1.7569908607752176
pos_prop_DET,0.17379679144385027,0.14395886889460155,0.15649867374005305,0.12698412698412698
pos_prop_NOUN,0.24331550802139038,0.23393316195372751,0.2493368700265252,0.24867724867724866
pos_prop_ADJ,0.06684491978609626,0.08226221079691516,0.1246684350132626,0.08465608465608465
pos_prop_AUX,0.02406417112299465,0.010282776349614395,0.029177718832891247,0.031746031746031744
pos_prop_ADP,0.07754010695187166,0.11568123393316196,0.09549071618037135,0.1111111111111111
pos_prop_VERB,0.09358288770053476,0.08740359897172237,0.06896551724137931,0.08465608465608465
pos_prop_PUNCT,0.09893048128342247,0.14910025706940874,0.10875331564986737,0.11375661375661375
pos_prop_ADV,0.07754010695187166,0.05398457583547558,0.058355437665782495,0.07142857142857142
pos_prop_CCONJ,0.029411764705882353,0.033419023136246784,0.03978779840848806,0.05026455026455026
pos_prop_PART,0.0213903743315508,0.012853470437017995,0.01856763925729443,0.007936507936507936
pos_prop_SCONJ,0.0213903743315508,0.007712082262210797,0.013262599469496022,0.021164021164021163
pos_prop_PRON,0.045454545454545456,0.04884318766066838,0.023872679045092837,0.0291005291005291
pos_prop_X,0.00267379679144385,,0.002652519893899204,
pos_prop_PROPN,0.02406417112299465,0.02056555269922879,0.007957559681697613,0.018518518518518517
passed_quality_check,True,True,True,True
n_stop_words,159.0,158.0,152.0,162.0
alpha_ratio,0.893048128342246,0.8483290488431876,0.8885941644562334,0.8835978835978836
mean_word_length,5.545454545454546,5.760925449871466,6.047745358090186,6.0396825396825395
doc_length,374.0,389.0,377.0,378.0
duplicate_ngram_chr_fraction_5,0.03900414937759336,,0.035932721712538224,
duplicate_ngram_chr_fraction_6,0.03900414937759336,,0.035932721712538224,
top_ngram_chr_fraction_2,0.006639004149377593,0.011668611435239206,0.017201834862385322,0.009163802978235968
top_ngram_chr_fraction_3,0.016182572614107885,,,0.024436807941962582
top_ngram_chr_fraction_4,0.026141078838174275,,,
oov_ratio,0.06684491978609626,0.06426735218508997,0.029177718832891247,0.05291005291005291
first_order_coherence,0.3414268581569195,0.7649924538352273,0.6037170940211841,0.7459417411259243
second_order_coherence,0.3267679437994957,0.7451133966445923,0.5134959301123252,0.702117213836083
dependency_distance_mean,2.055971456192185,3.6558114562500528,3.26653045776671,3.2655651300257342
dependency_distance_std,1.4833617173196452,0.9047440205024639,1.0928652823821705,0.8272346564894326
prop_adjacent_dependency_relation_mean,0.376498638895813,0.4268309452081382,0.4364405036470498,0.4651001487368333
prop_adjacent_dependency_relation_std,0.18321668376390476,0.06050991099649413,0.070032261255654,0.06322016556370576
token_length_mean,6.0385756676557865,6.595166163141994,6.663690476190476,6.686567164179104
token_length_median,5.0,5.0,6.0,6.0
token_length_std,3.5455905311528593,4.248245511628605,3.7981029976009717,3.9850802168891417
sentence_length_mean,12.961538461538462,27.583333333333332,22.4,22.333333333333332
sentence_length_median,9.5,26.0,22.0,22.0
sentence_length_std,12.185996910801315,11.856491424063398,11.050188535344844,10.81151649348457
syllables_per_token_mean,2.0118694362017804,2.280966767371601,2.2857142857142856,2.2208955223880595
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.2587409778909788,1.5613052199464872,1.365575306736083,1.3818155171414115
n_tokens,337,331,336,335
n_unique_tokens,228,218,219,222
proportion_unique_tokens,0.6765578635014837,0.6586102719033232,0.6517857142857143,0.6626865671641791
n_characters,2074,2241,2280,2283
n_sentences,26,12,15,15
connectives,14,12,12,24
connectives_cap,4,2,4,6
pos_prop_NUM,,,0.002652519893899204,
duplicate_ngram_chr_fraction_7,,,0.035932721712538224,
duplicate_ngram_chr_fraction_8,,,0.035932721712538224,
duplicate_ngram_chr_fraction_9,,,0.035932721712538224,
duplicate_ngram_chr_fraction_10,,,0.035932721712538224,
