,human,continue,explain,create
pos_prop_PROPN,0.08505747126436781,0.07175925925925926,0.06971153846153846,0.06352941176470588
pos_prop_PUNCT,0.14022988505747128,0.12268518518518519,0.11057692307692307,0.11529411764705882
pos_prop_NOUN,0.19540229885057472,0.17824074074074073,0.22115384615384615,0.21411764705882352
pos_prop_VERB,0.059770114942528735,0.0787037037037037,0.0889423076923077,0.08
pos_prop_ADP,0.12413793103448276,0.09722222222222222,0.10817307692307693,0.06588235294117648
pos_prop_ADJ,0.10344827586206896,0.08796296296296297,0.07932692307692307,0.09176470588235294
pos_prop_DET,0.13793103448275862,0.13657407407407407,0.14423076923076922,0.16941176470588235
pos_prop_ADV,0.04597701149425287,0.0625,0.038461538461538464,0.042352941176470586
pos_prop_AUX,0.02528735632183908,0.034722222222222224,0.04567307692307692,0.03058823529411765
pos_prop_NUM,0.006896551724137931,0.006944444444444444,0.007211538461538462,0.004705882352941176
pos_prop_PRON,0.03218390804597701,0.04398148148148148,0.036057692307692304,0.02588235294117647
pos_prop_X,0.009195402298850575,,,0.007058823529411765
pos_prop_CCONJ,0.01839080459770115,0.04861111111111111,0.019230769230769232,0.04941176470588235
pos_prop_PART,0.013793103448275862,0.020833333333333332,0.007211538461538462,0.02588235294117647
pos_prop_SCONJ,0.0022988505747126436,0.009259259259259259,0.02403846153846154,0.01411764705882353
token_length_mean,6.571815718157182,5.994722955145119,6.402702702702703,6.4787234042553195
token_length_median,5.0,5.0,6.0,6.0
token_length_std,4.259962620377767,3.6408664941548383,3.7993588709851083,3.735906063458255
sentence_length_mean,20.5,17.227272727272727,17.61904761904762,25.066666666666666
sentence_length_median,17.5,19.0,17.0,27.0
sentence_length_std,11.791004103882662,7.070629508954105,5.2415572974541,8.751888685052819
syllables_per_token_mean,2.140921409214092,1.9868073878627968,2.072972972972973,2.146276595744681
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.4895044616411737,1.220897672407051,1.272399021352897,1.262127117078548
n_tokens,369,379,370,376
n_unique_tokens,241,203,203,203
proportion_unique_tokens,0.6531165311653117,0.5356200527704486,0.5486486486486486,0.5398936170212766
n_characters,2491,2325,2415,2485
n_sentences,18,22,21,15
dependency_distance_mean,3.2768184642565004,2.781628206839752,3.268353011268997,3.214530781469237
dependency_distance_std,1.4486276723913596,1.1032202739777068,0.8763114571464627,0.9425065201456169
prop_adjacent_dependency_relation_mean,0.41747470710261264,0.4571025542023475,0.4835611434320162,0.45052854032597783
prop_adjacent_dependency_relation_std,0.123912687453676,0.13319719912112885,0.08866408753983178,0.052601928733050876
entropy,6.756534483318839,7.819066700907086,6.520631685597879,8.121130895631103
perplexity,859.6578689738019,2487.582665660977,679.00716894645,3364.8238588136264
per_word_perplexity,1.976224986146671,5.758293207548558,1.6322287715058894,7.917232608973238
flesch_reading_ease,4.905548780487834,21.2654131686256,13.578153153153181,-0.18266666666664833
flesch_kincaid_grade,17.66787262872629,14.572963540417366,15.742509652509657,19.51206382978724
smog,17.187047989186283,15.844992400671472,16.084390811093357,19.01560269883211
gunning_fog,20.015718157181574,18.394866874550253,18.723294723294725,22.36709219858156
automated_readability_index,19.773252032520325,15.418781482369873,17.536253539253543,21.61812056737589
coleman_liau_index,21.398373983739834,17.730765171503958,20.167891891891895,21.114042553191492
lix,59.795392953929536,55.74970016790597,58.42985842985843,65.49219858156027
rix,8.055555555555555,6.636363636363637,7.190476190476191,10.133333333333333
first_order_coherence,0.5632325191708172,0.491164312121414,0.6761052548885346,0.6457832524819034
second_order_coherence,0.47618302403134294,0.45766354333609344,0.6439903315744901,0.5502047756543527
passed_quality_check,True,True,True,True
n_stop_words,169.0,191.0,169.0,170.0
alpha_ratio,0.8344827586206897,0.8611111111111112,0.8798076923076923,0.8776470588235294
mean_word_length,5.726436781609196,5.381944444444445,5.805288461538462,5.847058823529411
doc_length,435.0,432.0,416.0,425.0
top_ngram_chr_fraction_2,0.009793634137810424,0.023307436182019976,0.040948275862068964,0.012237762237762238
top_ngram_chr_fraction_3,0.011192724728926198,0.026637069922308545,0.011494252873563218,0.012237762237762238
oov_ratio,0.07816091954022988,0.020833333333333332,0.0625,0.011764705882352941
connectives,14,7,8,9
connectives_cap,1,2,3,1
duplicate_ngram_chr_fraction_5,,0.03551609322974473,0.041666666666666664,0.06853146853146853
duplicate_ngram_chr_fraction_6,,0.03551609322974473,0.017959770114942528,0.06853146853146853
top_ngram_chr_fraction_4,,0.02774694783573807,0.01293103448275862,0.015384615384615385
duplicate_ngram_chr_fraction_7,,,,0.04265734265734266
duplicate_ngram_chr_fraction_8,,,,0.04265734265734266
duplicate_ngram_chr_fraction_9,,,,0.04265734265734266
duplicate_ngram_chr_fraction_10,,,,0.04265734265734266
