,human,explain,create,continue
passed_quality_check,True,True,True,True
n_stop_words,179.0,183.0,198.0,192.0
alpha_ratio,0.8344226579520697,0.8894117647058823,0.8730853391684902,0.875
mean_word_length,5.681917211328976,5.84,5.792122538293216,5.5701754385964914
doc_length,459.0,425.0,457.0,456.0
top_ngram_chr_fraction_2,0.009336445481827277,0.019217330538085255,0.01376597836774828,0.011892626571525655
top_ngram_chr_fraction_3,0.0106702234078026,0.03214535290006988,0.015732546705998034,0.013591573224600747
oov_ratio,0.0784313725490196,0.06352941176470588,0.028446389496717725,0.019736842105263157
pos_prop_PROPN,0.08278867102396514,0.05176470588235294,0.06345733041575492,0.05701754385964912
pos_prop_PUNCT,0.13507625272331156,0.10352941176470588,0.1137855579868709,0.11403508771929824
pos_prop_NOUN,0.19825708061002179,0.23294117647058823,0.212253829321663,0.21052631578947367
pos_prop_VERB,0.058823529411764705,0.08,0.06564551422319474,0.07456140350877193
pos_prop_ADP,0.12636165577342048,0.11294117647058824,0.1050328227571116,0.10964912280701754
pos_prop_ADJ,0.10239651416122005,0.08470588235294117,0.10284463894967177,0.10307017543859649
pos_prop_DET,0.13725490196078433,0.15529411764705883,0.15536105032822758,0.13596491228070176
pos_prop_ADV,0.04357298474945534,0.04470588235294118,0.061269146608315096,0.05921052631578947
pos_prop_AUX,0.026143790849673203,0.03058823529411765,0.02188183807439825,0.03508771929824561
pos_prop_NUM,0.013071895424836602,0.004705882352941176,0.00437636761487965,0.006578947368421052
pos_prop_PRON,0.030501089324618737,0.03764705882352941,0.030634573304157548,0.039473684210526314
pos_prop_X,0.008714596949891068,,0.002188183807439825,
pos_prop_CCONJ,0.0196078431372549,0.02823529411764706,0.030634573304157548,0.02412280701754386
pos_prop_PART,0.015250544662309368,0.018823529411764704,0.0175054704595186,0.019736842105263157
pos_prop_SCONJ,0.002178649237472767,0.01411764705882353,0.01312910284463895,0.010964912280701754
entropy,7.294256192050738,6.695760402345277,6.533385586777345,6.121745253156734
perplexity,1471.82174093999,808.9688421970301,687.7226191355088,455.65924168480205
per_word_perplexity,3.2065833135947495,1.9034560992871297,1.5048634992024263,0.999252722992987
first_order_coherence,0.5640411484572623,0.575554698461201,0.33532639507514733,0.4761784294899553
second_order_coherence,0.4831952494569123,0.6134956783958172,0.32776950380724407,0.439004382584244
dependency_distance_mean,3.3110802997986872,3.004833770336652,2.4835014784595213,2.6876245182014866
dependency_distance_std,1.4264141018070033,1.0482876335442268,1.2360468554391613,0.8405193652479638
prop_adjacent_dependency_relation_mean,0.4238575558270267,0.42356781981805164,0.4319904889171143,0.4534225495180984
prop_adjacent_dependency_relation_std,0.12337645313805093,0.13062869563953652,0.11569809515998383,0.08160195727797499
token_length_mean,6.482142857142857,6.33509234828496,6.376237623762377,6.158415841584159
token_length_median,5.0,6.0,6.0,6.0
token_length_std,4.203944636909968,3.899273754100082,3.7353051624206333,3.375017926662553
sentence_length_mean,20.63157894736842,18.047619047619047,16.16,15.538461538461538
sentence_length_median,18.0,18.0,16.0,15.0
sentence_length_std,11.572246865104685,7.537058858455841,10.425660650529538,7.050536091078297
syllables_per_token_mean,2.107142857142857,2.0817941952506596,2.0792079207920793,2.032178217821782
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.463414374896277,1.4052900243832989,1.226224732821356,1.1175708309981134
n_tokens,392,379,404,404
n_unique_tokens,248,225,221,237
proportion_unique_tokens,0.6326530612244898,0.5936675461741425,0.5470297029702971,0.5866336633663366
n_characters,2608,2482,2647,2540
n_sentences,19,21,25,26
flesch_reading_ease,7.6296616541353615,12.396877748460895,14.531609900990105,19.141184310738822
flesch_kincaid_grade,17.320601503759402,16.013742932529215,15.247053465346536,14.449702970297029
smog,16.937063320223285,15.84221448859012,15.697141804513542,15.350803472480045
gunning_fog,19.579162191192268,18.195300917200655,18.44419801980198,17.9975628332064
automated_readability_index,19.416682330827065,17.43209448423169,16.682079207920793,15.345369383092155
coleman_liau_index,20.880306122448975,19.810237467018464,19.860594059405944,18.50653465346534
lix,59.66219119226638,56.83389873099635,58.486732673267326,56.13252094440214
rix,8.052631578947368,7.0,6.84,6.3076923076923075
connectives,14,11,10,6
connectives_cap,1,2,3,0
top_ngram_chr_fraction_4,,0.012578616352201259,0.015732546705998034,
duplicate_ngram_chr_fraction_5,,,0.043264503441494594,0.07543323139653414
duplicate_ngram_chr_fraction_6,,,0.043264503441494594,0.031940197077811754
duplicate_ngram_chr_fraction_7,,,0.03277613897082924,0.031940197077811754
duplicate_ngram_chr_fraction_8,,,0.03277613897082924,0.031940197077811754
duplicate_ngram_chr_fraction_9,,,0.03277613897082924,
