,human,explain,create,continue
flesch_reading_ease,-18.079090909090922,-1.7188571428571322,-14.119105155786315,10.84974859874714
flesch_kincaid_grade,21.636796536796542,19.06385714285715,20.461170252225518,16.397126607319485
smog,20.130776976110326,18.528810451823436,19.096711260767844,16.594172100314452
gunning_fog,24.45887445887446,21.936190476190475,23.26179525222552,19.358325090669304
automated_readability_index,23.011714285714284,20.370982142857137,20.47795623145401,16.75016155621497
coleman_liau_index,23.712242424242422,21.08107142857143,21.965578635014833,18.59691394658753
lix,69.02597402597402,63.173809523809524,64.089206231454,56.40768216287504
rix,10.714285714285714,9.133333333333333,9.0625,7.055555555555555
entropy,5.03335861654644,5.123984690213252,5.806353808554544,5.389430934190345
perplexity,153.44751957456018,168.00347945210984,332.4049014646859,219.07867988810577
per_word_perplexity,0.41697695536565266,0.45162225659169314,0.8864130705724957,0.5826560635321962
pos_prop_ADP,0.09782608695652174,0.08870967741935484,0.08533333333333333,0.08776595744680851
pos_prop_DET,0.14673913043478262,0.1532258064516129,0.17066666666666666,0.13829787234042554
pos_prop_ADJ,0.11684782608695653,0.07526881720430108,0.12,0.0797872340425532
pos_prop_NOUN,0.22826086956521738,0.21774193548387097,0.232,0.18617021276595744
pos_prop_PUNCT,0.10326086956521739,0.0967741935483871,0.09866666666666667,0.10106382978723404
pos_prop_PRON,0.035326086956521736,0.04032258064516129,0.029333333333333333,0.061170212765957445
pos_prop_PROPN,0.05434782608695652,0.051075268817204304,0.032,0.034574468085106384
pos_prop_ADV,0.059782608695652176,0.07526881720430108,0.064,0.10372340425531915
pos_prop_NUM,0.008152173913043478,,0.008,0.007978723404255319
pos_prop_VERB,0.07608695652173914,0.09946236559139784,0.07733333333333334,0.10372340425531915
pos_prop_AUX,0.02717391304347826,0.03494623655913978,0.021333333333333333,0.02925531914893617
pos_prop_CCONJ,0.021739130434782608,0.02956989247311828,0.034666666666666665,0.02925531914893617
pos_prop_SCONJ,0.002717391304347826,0.024193548387096774,0.018666666666666668,0.023936170212765957
pos_prop_X,0.010869565217391304,,,
pos_prop_PART,0.010869565217391304,0.013440860215053764,0.008,0.013297872340425532
passed_quality_check,True,True,True,True
n_stop_words,134.0,160.0,152.0,166.0
alpha_ratio,0.8858695652173914,0.9032258064516129,0.888,0.8882978723404256
mean_word_length,6.320652173913044,5.96505376344086,6.088,5.587765957446808
doc_length,368.0,372.0,375.0,376.0
top_ngram_chr_fraction_2,0.005647590361445783,0.01644479248238058,0.00916030534351145,0.012305168170631665
oov_ratio,0.11956521739130435,0.051075268817204304,0.06666666666666667,0.05319148936170213
first_order_coherence,0.40468640783085275,0.7106533007962363,0.6431535604099433,0.6672063465504086
second_order_coherence,0.2955488444616397,0.7054940187014066,0.5909393852842706,0.6767620462924242
dependency_distance_mean,3.617286119305175,3.5919130204767513,3.3381021118383254,3.3253474890746695
dependency_distance_std,1.0043742760448295,0.8060932232602831,1.0544974413232666,0.7472385616130441
prop_adjacent_dependency_relation_mean,0.38093380203180566,0.4514717561913184,0.4223960858381814,0.4067406672410053
prop_adjacent_dependency_relation_std,0.05580068843768178,0.07413734028337383,0.060036854574630885,0.06130665561009377
token_length_mean,6.933333333333334,6.497023809523809,6.661721068249258,6.118694362017804
token_length_median,6.0,6.0,6.0,5.0
token_length_std,4.272013694980507,3.843670207770143,3.904435658252987,3.468917611191178
sentence_length_mean,23.571428571428573,22.4,21.0625,18.72222222222222
sentence_length_median,24.5,20.0,21.5,19.0
sentence_length_std,13.014905113063284,6.76067057817985,8.272459957594235,6.357895839518986
syllables_per_token_mean,2.375757575757576,2.1964285714285716,2.3590504451038576,2.091988130563798
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.6081290282603313,1.3573386450252243,1.5267689513117932,1.3717674361818437
n_tokens,330,336,337,337
n_unique_tokens,232,211,209,198
proportion_unique_tokens,0.703030303030303,0.6279761904761905,0.6201780415430267,0.5875370919881305
n_characters,2326,2219,2283,2101
n_sentences,14,15,16,18
connectives,7,13,11,16
connectives_cap,0,1,1,3
top_ngram_chr_fraction_3,,0.017619420516836334,0.029770992366412213,
duplicate_ngram_chr_fraction_5,,,0.06412213740458016,
duplicate_ngram_chr_fraction_6,,,0.06412213740458016,
duplicate_ngram_chr_fraction_7,,,0.06412213740458016,
duplicate_ngram_chr_fraction_8,,,0.06412213740458016,
duplicate_ngram_chr_fraction_9,,,0.06412213740458016,
duplicate_ngram_chr_fraction_10,,,0.06412213740458016,
