,human,explain,create,continue
flesch_reading_ease,63.201535714285754,61.86208879184865,41.533016441821275,59.56433233499098
flesch_kincaid_grade,10.965214285714286,10.048902058640053,12.727652975186704,9.244443377034361
smog,11.979248473330827,10.712014347399686,14.296647515009731,11.757521984204296
gunning_fog,14.157142857142857,11.95525057184446,15.68896651409299,12.192789330922242
automated_readability_index,14.231228571428574,13.50810251611562,15.552759576005776,11.935995705244117
coleman_liau_index,11.20678095238095,12.846200873362449,15.752175379426639,13.354502712477391
lix,52.345238095238095,52.15886878768975,56.76035894965068,46.39517405063291
rix,6.85,6.619047619047619,7.535714285714286,5.03125
passed_quality_check,True,True,True,True
n_stop_words,263.0,206.0,238.0,261.0
alpha_ratio,0.8731218697829716,0.8966861598440545,0.8845577211394303,0.9021207177814029
mean_word_length,4.323873121869783,4.668615984405458,5.092953523238381,4.835236541598695
doc_length,599.0,513.0,667.0,613.0
duplicate_ngram_chr_fraction_5,0.027146464646464648,0.05621925509486999,0.030591775325977934,0.05633001422475107
duplicate_ngram_chr_fraction_6,0.015782828282828284,0.03724525650035137,,0.03755334281650071
top_ngram_chr_fraction_2,0.011363636363636364,0.014054813773717497,0.03009027081243731,0.02275960170697013
top_ngram_chr_fraction_3,0.00946969696969697,0.013703443429374561,0.011283851554663993,0.017069701280227598
oov_ratio,0.011686143572621035,0.021442495126705652,0.0014992503748125937,
first_order_coherence,0.7401084158765642,0.8433642536401749,0.8567871826666372,0.8296984337991283
second_order_coherence,0.7143420043090979,0.8374130725860596,0.8489353633843936,0.8420679310957591
entropy,16.70923816269166,14.827688842048257,18.146693604931247,18.294788713470105
perplexity,18060506.711806428,2751588.2325718426,76034185.39385267,88171003.94521159
per_word_perplexity,30151.09634692225,5363.719751602032,113994.28095030384,143835.24297750668
pos_prop_ADV,0.05843071786310518,0.03508771929824561,0.03298350824587706,0.052202283849918436
pos_prop_ADJ,0.09348914858096828,0.06627680311890838,0.0734632683658171,0.07177814029363784
pos_prop_ADP,0.10851419031719532,0.10721247563352826,0.09895052473763119,0.0799347471451876
pos_prop_NOUN,0.21368948247078465,0.2651072124756335,0.2818590704647676,0.24469820554649266
pos_prop_PUNCT,0.11519198664440734,0.09746588693957114,0.10794602698650675,0.09624796084828711
pos_prop_DET,0.07679465776293823,0.09161793372319688,0.07796101949025487,0.06035889070146819
pos_prop_SCONJ,0.02671118530884808,0.017543859649122806,0.01199400299850075,0.013050570962479609
pos_prop_VERB,0.09348914858096828,0.12475633528265107,0.13493253373313344,0.14845024469820556
pos_prop_PRON,0.05008347245409015,0.037037037037037035,0.038980509745127435,0.05546492659053834
pos_prop_CCONJ,0.03171953255425709,0.037037037037037035,0.041979010494752625,0.05057096247960848
pos_prop_PART,0.02337228714524207,0.025341130604288498,0.026986506746626688,0.03915171288743882
pos_prop_AUX,0.06176961602671119,0.03898635477582846,0.025487256371814093,0.0734094616639478
pos_prop_NUM,0.02003338898163606,0.009746588693957114,0.0074962518740629685,0.0065252854812398045
pos_prop_PROPN,0.02671118530884808,0.04678362573099415,0.037481259370314844,0.008156606851549755
token_length_mean,4.784761904761905,5.102620087336245,5.60370994940978,5.249547920433996
token_length_median,4.0,4.0,5.0,4.0
token_length_std,2.531582638903256,2.6680123834745952,3.0834027320935746,2.902129413062578
sentence_length_mean,26.25,21.80952380952381,21.178571428571427,17.28125
sentence_length_median,24.0,23.0,20.5,16.5
sentence_length_std,13.045593125649749,6.068019584510629,5.763515615047639,5.057385533801037
syllables_per_token_mean,1.3828571428571428,1.4519650655021834,1.699831365935919,1.5334538878842676
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.7329597069230949,0.7169854886392881,1.0377121540023702,0.89162377330228
n_tokens,525,458,593,553
n_unique_tokens,276,222,277,268
proportion_unique_tokens,0.5257142857142857,0.4847161572052402,0.4671163575042159,0.484629294755877
n_characters,2590,2395,3397,2964
n_sentences,20,21,28,32
dependency_distance_mean,3.1137407147643397,3.1185333138922275,2.622248911254909,2.708475186525521
dependency_distance_std,1.150033176323136,0.5514680127985959,0.3738439771139742,0.42931817259160976
prop_adjacent_dependency_relation_mean,0.4085848508409903,0.4452808336271284,0.4778615926927871,0.43099571705875445
prop_adjacent_dependency_relation_std,0.11552070803253596,0.05943070645664188,0.05094013091549107,0.06289157077008753
connectives,22,14,16,16
connectives_cap,3,2,5,1
duplicate_ngram_chr_fraction_7,,0.03724525650035137,,0.03755334281650071
duplicate_ngram_chr_fraction_8,,0.03724525650035137,,0.03755334281650071
duplicate_ngram_chr_fraction_9,,0.03724525650035137,,0.03755334281650071
pos_prop_X,,,0.0014992503748125937,
duplicate_ngram_chr_fraction_10,,,,0.03755334281650071
