,human,continue,explain,create
first_order_coherence,0.5491818548465262,0.7260140496673007,0.6451576952305105,0.7017737776041031
second_order_coherence,0.5761689254237959,0.7251213388517499,0.6245048452168703,0.7244847070786261
flesch_reading_ease,25.657608542713575,29.28963385354143,26.346721768673007,23.509466232905623
flesch_kincaid_grade,12.64683450586265,13.470352140856345,13.163192535875464,13.766871498283031
smog,13.693819939496741,15.168198033930459,14.783889503821094,14.979476211902995
gunning_fog,16.233286432160806,17.189755902360947,17.3193854267025,17.38921621784445
automated_readability_index,10.638291457286435,12.377109843937575,11.646773997261803,12.522265799144527
coleman_liau_index,14.302244556113905,13.898435374149663,14.44660412757974,15.129940357852881
lix,45.943350083752094,49.77711084433774,49.302215911972006,53.01578408337851
rix,4.06,5.617647058823529,5.027027027027027,5.757575757575758
token_length_mean,5.541038525963149,5.341836734693878,5.493433395872421,5.5904572564612325
token_length_median,5.0,5.0,5.0,5.0
token_length_std,2.970047164776144,2.8750305577573116,2.8611478485115573,2.8465158483333886
sentence_length_mean,11.94,17.294117647058822,14.405405405405405,15.242424242424242
sentence_length_median,10.5,18.5,13.0,16.0
sentence_length_std,8.230212633948165,8.129573506520737,8.464423032202424,7.122437031983071
syllables_per_token_mean,1.998324958123953,1.8911564625850341,1.9606003752345216,1.9840954274353877
syllables_per_token_median,1.0,1.0,1.0,2.0
syllables_per_token_std,1.370298922601667,1.1613342766189552,1.243499123871536,1.194647409173725
n_tokens,597,588.0,533,503
n_unique_tokens,311,236.0,252,235
proportion_unique_tokens,0.5209380234505863,0.4013605442176871,0.4727954971857411,0.4671968190854871
n_characters,3417,3207.0,2999,2980
n_sentences,50,34.0,37,33
entropy,2.2870443569912475,0.589154209719271,1.3004049415982162,0.7551246848449142
perplexity,9.845793981056893,1.8024632645993461,3.6707828193581813,2.1278768208070673
per_word_perplexity,0.013945883825859621,0.002790190812073291,0.006077454998937386,0.003625003101885975
pos_prop_PROPN,0.311614730878187,0.3498452012383901,0.3360927152317881,0.39522998296422485
pos_prop_PUNCT,0.1529745042492918,0.08823529411764706,0.11754966887417219,0.11925042589437819
pos_prop_NUM,0.0113314447592068,,0.0033112582781456954,0.0034071550255536627
pos_prop_X,0.45609065155807366,0.5263157894736842,0.4900662251655629,0.43781942078364566
pos_prop_ADP,0.026912181303116147,0.01238390092879257,0.023178807947019868,0.010221465076660987
pos_prop_NOUN,0.025495750708215296,0.0046439628482972135,0.018211920529801324,0.013628620102214651
pos_prop_DET,0.00141643059490085,,,
pos_prop_ADJ,0.007082152974504249,0.0046439628482972135,0.008278145695364239,0.005110732538330494
pos_prop_ADV,0.00424929178470255,0.01238390092879257,0.0033112582781456954,0.005110732538330494
pos_prop_VERB,0.0028328611898017,,,0.0068143100511073255
passed_quality_check,True,,True,True
n_stop_words,33.0,38.0,34.0,20.0
alpha_ratio,0.8356940509915014,0.9102167182662538,0.8791390728476821,0.8773424190800682
mean_word_length,4.839943342776204,4.964396284829721,4.96523178807947,5.076660988074957
doc_length,706.0,646.0,604.0,587.0
duplicate_ngram_chr_fraction_5,0.010679611650485437,0.1804531085353003,0.060039648824695556,0.08953089244851259
top_ngram_chr_fraction_2,0.0048543689320388345,0.04214963119072708,0.01557632398753894,0.02002288329519451
oov_ratio,0.09206798866855524,0.08978328173374613,0.07450331125827815,0.12436115843270869
dependency_distance_mean,2.7067949668404907,3.6743187650640987,3.317228142318178,3.335555052234721
dependency_distance_std,1.5492153565605333,1.8873628228996762,1.9737952095016187,1.6410187875606208
prop_adjacent_dependency_relation_mean,0.375576426301746,0.29069914738982616,0.3629305010630756,0.30400015350185033
prop_adjacent_dependency_relation_std,0.15229096777349818,0.11733228809051674,0.14042314303540018,0.12878542138509994
connectives,0,4.0,1,1
pos_prop_AUX,,0.0015479876160990713,,0.0034071550255536627
duplicate_ngram_chr_fraction_6,,0.17123287671232876,,0.07751716247139588
duplicate_ngram_chr_fraction_7,,0.1101159114857745,,0.02402745995423341
duplicate_ngram_chr_fraction_8,,0.044257112750263436,,0.02402745995423341
duplicate_ngram_chr_fraction_9,,0.044257112750263436,,
duplicate_ngram_chr_fraction_10,,0.044257112750263436,,
top_ngram_chr_fraction_3,,0.015806111696522657,0.015293118096856415,0.011441647597254004
top_ngram_chr_fraction_4,,0.021338250790305584,0.01784197111299915,0.02145308924485126
