,continue,human,create,explain
dependency_distance_mean,2.8564182626611405,2.54468611729533,2.5947553318534964,2.8368506280151924
dependency_distance_std,0.43623814824479884,0.5504089136770985,0.8962505460163798,0.698593574145281
prop_adjacent_dependency_relation_mean,0.42905353410500174,0.46373375512399506,0.48108706129284556,0.4378172185901228
prop_adjacent_dependency_relation_std,0.06905986061298905,0.08110456229164668,0.08295234353642741,0.07000942067678824
flesch_reading_ease,44.95083366415247,55.51925766379486,25.575797893094062,43.25944947209658
flesch_kincaid_grade,12.161405319571262,10.203231817271092,14.9541708934842,12.454318034906272
smog,13.463846863241148,12.200932325342574,16.471200829534098,13.780255336394262
gunning_fog,14.615482334259628,12.89344820677219,18.773156457276627,15.025382460676576
automated_readability_index,15.182322350138946,12.54236325385694,18.350780335544286,15.158651152768797
coleman_liau_index,15.490480349344981,13.264239631336405,19.243433476394852,15.333212669683256
lix,60.55617308455736,49.74514125425766,68.82130316035895,58.3779357897005
rix,8.272727272727273,5.826086956521739,10.090909090909092,7.857142857142857
first_order_coherence,0.8074771818660554,0.79875002395023,0.5378863130296979,0.7661530941724777
second_order_coherence,0.8217257931828499,0.7608135796728588,0.7321730406954885,0.7836987344842208
passed_quality_check,True,True,True,True
n_stop_words,214.0,196.0,155.0,193.0
alpha_ratio,0.8861003861003861,0.9245689655172413,0.8409506398537477,0.874251497005988
mean_word_length,5.038610038610039,4.941810344827586,5.431444241316271,5.0039920159680635
doc_length,518.0,464.0,547.0,501.0
top_ngram_chr_fraction_2,0.007868852459016393,0.012848751835535976,0.005846243788365975,0.008486082824168364
oov_ratio,0.0019305019305019305,0.017241379310344827,0.003656307129798903,0.007984031936127744
pos_prop_PROPN,0.023166023166023165,0.036637931034482756,0.056672760511883,0.023952095808383235
pos_prop_PUNCT,0.10038610038610038,0.0603448275862069,0.14076782449725778,0.11177644710578842
pos_prop_ADV,0.03861003861003861,0.032327586206896554,0.012797074954296161,0.01996007984031936
pos_prop_VERB,0.11969111969111969,0.08836206896551724,0.10968921389396709,0.09381237524950099
pos_prop_ADP,0.10038610038610038,0.1314655172413793,0.10420475319926874,0.0998003992015968
pos_prop_NOUN,0.23938223938223938,0.2413793103448276,0.25594149908592323,0.2754491017964072
pos_prop_AUX,0.055984555984555984,0.036637931034482756,0.02010968921389397,0.041916167664670656
pos_prop_DET,0.0694980694980695,0.0668103448275862,0.062157221206581355,0.07784431137724551
pos_prop_ADJ,0.11583011583011583,0.15517241379310345,0.14442413162705667,0.12375249500998003
pos_prop_PRON,0.055984555984555984,0.07758620689655173,0.029250457038391225,0.0499001996007984
pos_prop_CCONJ,0.02895752895752896,0.03879310344827586,0.031078610603290677,0.027944111776447105
pos_prop_SCONJ,0.025096525096525095,0.010775862068965518,0.005484460694698354,0.021956087824351298
pos_prop_PART,0.021235521235521235,0.008620689655172414,0.012797074954296161,0.015968063872255488
pos_prop_NUM,0.003861003861003861,0.015086206896551725,0.005484460694698354,0.015968063872255488
pos_prop_SYM,0.0019305019305019305,,,
token_length_mean,5.563318777292577,5.209677419354839,6.197424892703863,5.53393665158371
token_length_median,5.0,4.0,6.0,5.0
token_length_std,2.9592072862524956,2.986883520968156,3.5466955272216176,3.164420039443599
sentence_length_mean,20.818181818181817,18.869565217391305,21.181818181818183,21.047619047619047
sentence_length_median,21.0,19.0,19.5,21.0
sentence_length_std,7.055857422520821,8.704343482603269,12.974227472662744,6.834619092574916
syllables_per_token_mean,1.6637554585152838,1.5622119815668203,1.888412017167382,1.6809954751131222
syllables_per_token_median,1.0,1.0,2.0,1.0
syllables_per_token_std,0.9736914190341682,0.9586139625821041,1.1042227034161667,1.0399490524317687
n_tokens,458,434,466,442
n_unique_tokens,246,222,283,249
proportion_unique_tokens,0.537117903930131,0.511520737327189,0.6072961373390557,0.5633484162895928
n_characters,2610,2293,2971,2507
n_sentences,22,23,22,21
entropy,12.500589212904377,10.771522307664398,10.621281740298341,12.2254252007011
perplexity,268495.44090154336,47644.49191081227,40998.130221724066,203908.20594497048
per_word_perplexity,518.3309669913965,102.68209463537127,74.9508779190568,407.0024070757894
connectives,15,13,11,14
connectives_cap,4,3,0,5
duplicate_ngram_chr_fraction_5,,0.04405286343612335,0.02572347266881029,0.026476578411405296
duplicate_ngram_chr_fraction_6,,0.04405286343612335,0.01929260450160772,0.026476578411405296
duplicate_ngram_chr_fraction_7,,0.04405286343612335,,
duplicate_ngram_chr_fraction_8,,0.04405286343612335,,
duplicate_ngram_chr_fraction_9,,0.04405286343612335,,
duplicate_ngram_chr_fraction_10,,0.04405286343612335,,
top_ngram_chr_fraction_3,,0.009911894273127754,,0.019348268839103868
pos_prop_X,,,0.009140767824497258,
