,explain,human,create,continue
passed_quality_check,True,True,True,True
n_stop_words,137.0,188.0,188.0,210.0
alpha_ratio,0.8103092783505155,0.8160741885625966,0.8154761904761905,0.8661290322580645
mean_word_length,4.989690721649485,4.837712519319938,4.877976190476191,5.309677419354839
doc_length,485.0,647.0,672.0,620.0
duplicate_ngram_chr_fraction_5,0.05472103004291846,,0.018353434714210803,0.030841610036591742
duplicate_ngram_chr_fraction_6,0.022174535050071532,,0.004195070791819612,0.004704652378463147
duplicate_ngram_chr_fraction_7,0.022174535050071532,,,0.004704652378463147
top_ngram_chr_fraction_2,0.01430615164520744,0.011503697617091208,0.011536444677503933,0.02587558808154731
top_ngram_chr_fraction_3,0.013948497854077254,,0.003146303093864709,0.02378463146889702
oov_ratio,0.008247422680412371,0.013910355486862442,,0.0016129032258064516
first_order_coherence,0.7537503747836404,0.7671424757975799,0.6258663517133943,0.7675129431299865
second_order_coherence,0.7384409267794002,0.7366403482109308,0.5960305281166386,0.7555874763957916
entropy,12.941746161609652,15.639589534079757,14.553249014962715,15.555415158440876
perplexity,417377.4142557803,6197084.726802969,2091200.8220730906,5696799.924749969
per_word_perplexity,860.571988156248,9578.183503559458,3111.9059852278133,9188.386975403175
dependency_distance_mean,2.5823921946423294,2.7246923890198906,2.643525011576095,2.413120832290757
dependency_distance_std,0.5073173339631158,0.7703313480340244,0.8873956551854646,0.5498746782634812
prop_adjacent_dependency_relation_mean,0.4607763574372472,0.4797652861496995,0.47681462733991115,0.4915761731451677
prop_adjacent_dependency_relation_std,0.07190987869891854,0.07460398388136964,0.08522736268407193,0.053846279751315916
token_length_mean,5.943734015345268,5.656660412757974,5.611702127659575,5.880952380952381
token_length_median,5.0,5.0,5.0,5.0
token_length_std,3.2824271119263164,3.3417504640876796,3.069514586672768,3.250038575359094
sentence_length_mean,16.291666666666668,19.74074074074074,18.8,16.545454545454547
sentence_length_median,14.5,16.0,18.5,15.0
sentence_length_std,6.604790979954543,11.387428391749784,9.56172927177227,6.778267004276772
syllables_per_token_mean,1.843989769820972,1.7767354596622889,1.7446808510638299,1.847985347985348
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,1.1050724432156829,1.1012797601567823,1.0410323253383036,1.1260996122819933
n_tokens,391,533,564,546
n_unique_tokens,238,306,319,300
proportion_unique_tokens,0.6086956521739131,0.574108818011257,0.5656028368794326,0.5494505494505495
n_characters,2420,3130,3278,3292
n_sentences,24,27,30,33
flesch_reading_ease,34.29742380647912,36.48632826071852,40.15300000000002,33.70180319680321
flesch_kincaid_grade,12.522829283887472,13.074367312903899,12.329234042553196,12.668954378954382
smog,14.191785591663535,14.970199986440825,14.410869940926823,14.554592549557764
gunning_fog,15.723827791986361,16.601737196859148,15.817872340425533,16.28851148851149
automated_readability_index,14.71082054560955,15.083240914460426,14.401117021276598,14.542012987012988
coleman_liau_index,17.332276214833758,15.961726078799249,15.622340425531913,16.990989010989015
lix,58.23540068201194,55.01278576888333,56.920567375886534,58.66999666999667
rix,6.833333333333333,6.962962962962963,7.166666666666667,6.96969696969697
pos_prop_DET,0.0577319587628866,0.0633693972179289,0.05654761904761905,0.06935483870967742
pos_prop_ADJ,0.11134020618556702,0.125193199381762,0.13988095238095238,0.11290322580645161
pos_prop_NOUN,0.2536082474226804,0.27666151468315303,0.27380952380952384,0.2967741935483871
pos_prop_VERB,0.08247422680412371,0.0633693972179289,0.08035714285714286,0.09838709677419355
pos_prop_PRON,0.016494845360824743,0.010819165378670788,0.025297619047619048,0.016129032258064516
pos_prop_ADP,0.088659793814433,0.0973724884080371,0.09523809523809523,0.10806451612903226
pos_prop_PUNCT,0.18762886597938144,0.17156105100463678,0.13988095238095238,0.1032258064516129
pos_prop_CCONJ,0.05154639175257732,0.04173106646058733,0.03273809523809524,0.03870967741935484
pos_prop_AUX,0.024742268041237112,0.03709428129829984,0.023809523809523808,0.03870967741935484
pos_prop_NUM,0.004123711340206186,0.02009273570324575,0.03125,0.02258064516129032
pos_prop_ADV,0.020618556701030927,0.017001545595054096,0.025297619047619048,0.020967741935483872
pos_prop_PROPN,0.09072164948453608,0.07109737248840804,0.03869047619047619,0.024193548387096774
pos_prop_PART,0.008247422680412371,0.0030911901081916537,0.013392857142857142,0.02903225806451613
pos_prop_SCONJ,0.002061855670103093,0.0015455950540958269,0.010416666666666666,0.01129032258064516
connectives,10,11,11,14
connectives_cap,2,1,1,3
pos_prop_SYM,,,0.013392857142857142,0.00967741935483871
top_ngram_chr_fraction_4,,,,0.01803450078410873
