,human,explain,create,continue
flesch_reading_ease,56.99879825653801,46.2554310344828,37.139393295919945,48.34238673139163
flesch_kincaid_grade,8.606454960564552,10.409827586206898,12.61620506597907,10.781213592233012
smog,11.798614194211599,12.857556352371635,14.554592549557764,12.954912879858846
gunning_fog,12.249730178497302,13.8,16.06607007432125,13.759870550161814
automated_readability_index,9.842459526774597,11.481379310344828,14.9028469588958,13.26411003236246
coleman_liau_index,12.725753424657533,14.194482758620687,16.537521613832855,15.072621359223302
lix,44.32295558322956,49.672413793103445,59.4735325345063,53.088996763754054
rix,4.121212121212121,5.1,7.526315789473684,6.166666666666667
token_length_mean,5.230593607305936,5.448275862068965,5.77521613832853,5.543689320388349
token_length_median,4.0,5.0,5.0,5.0
token_length_std,3.0676207242591675,3.0803739909141097,3.182474912252581,2.972451830402085
sentence_length_mean,13.272727272727273,14.5,18.263157894736842,17.166666666666668
sentence_length_median,12.0,13.5,18.0,17.0
sentence_length_std,5.806332631066664,5.875088651813406,5.3196963235761165,5.225471802196961
syllables_per_token_mean,1.6118721461187215,1.7241379310344827,1.7867435158501441,1.6674757281553398
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.9839096656851825,1.0579708964601242,1.0658695360753399,0.9546058185598667
n_tokens,438,435,347,412
n_unique_tokens,270,248,197,218
proportion_unique_tokens,0.6164383561643836,0.5701149425287356,0.5677233429394812,0.529126213592233
n_characters,2358,2468,2063,2344
n_sentences,33,30,19,24
entropy,13.109084594841903,14.904933524569213,11.8691991460073,14.12125450492778
perplexity,493404.4957650912,2972558.312170261,142799.83108479014,1357634.6355678001
per_word_perplexity,977.0386054754281,5577.032480619627,353.4649284276984,2888.5843309953193
first_order_coherence,0.6610364210791886,0.7550317768392891,0.8676134215460883,0.832657471947048
second_order_coherence,0.657691897794364,0.7346326389483043,0.8728757079909829,0.832393310286782
pos_prop_PRON,0.019801980198019802,0.016885553470919325,0.0297029702970297,0.019148936170212766
pos_prop_AUX,0.04950495049504951,0.039399624765478425,0.04207920792079208,0.04468085106382979
pos_prop_PART,0.019801980198019802,0.0150093808630394,0.019801980198019802,0.019148936170212766
pos_prop_DET,0.0594059405940594,0.08630393996247655,0.09158415841584158,0.10638297872340426
pos_prop_VERB,0.08514851485148515,0.075046904315197,0.09900990099009901,0.09148936170212765
pos_prop_NOUN,0.2495049504950495,0.2682926829268293,0.26732673267326734,0.2851063829787234
pos_prop_PUNCT,0.11287128712871287,0.18386491557223264,0.13366336633663367,0.11702127659574468
pos_prop_PROPN,0.0594059405940594,0.03564727954971857,0.019801980198019802,0.01276595744680851
pos_prop_CCONJ,0.05742574257425743,0.0450281425891182,0.05693069306930693,0.06170212765957447
pos_prop_ADJ,0.1188118811881188,0.1294559099437148,0.1188118811881188,0.12978723404255318
pos_prop_ADP,0.0891089108910891,0.07129455909943715,0.07920792079207921,0.07659574468085106
pos_prop_ADV,0.019801980198019802,0.01876172607879925,0.0297029702970297,0.019148936170212766
pos_prop_NUM,0.04356435643564356,0.013133208255159476,0.0049504950495049506,0.00851063829787234
pos_prop_SYM,0.013861386138613862,,,0.002127659574468085
pos_prop_SCONJ,0.0019801980198019802,0.001876172607879925,0.007425742574257425,0.006382978723404255
dependency_distance_mean,2.472299881310164,2.7248333270160683,2.6984350940324484,2.692985120652581
dependency_distance_std,0.643607232534211,0.755488209238504,0.4593229410254747,0.5699980118181368
prop_adjacent_dependency_relation_mean,0.45608742681869324,0.4396837985049354,0.4367857937444335,0.4424421616064305
prop_adjacent_dependency_relation_std,0.08065096027533777,0.08008847658411285,0.054135104172445866,0.05876757498331024
passed_quality_check,True,True,True,True
n_stop_words,164.0,165.0,147.0,174.0
alpha_ratio,0.8316831683168316,0.8030018761726079,0.8589108910891089,0.8723404255319149
mean_word_length,4.669306930693069,4.630393996247655,5.106435643564357,4.987234042553191
doc_length,505.0,533.0,404.0,470.0
duplicate_ngram_chr_fraction_5,0.01583873290136789,0.0580511402902557,0.07068607068607069,0.02688953488372093
top_ngram_chr_fraction_2,0.008999280057595392,0.024187975120939877,0.010395010395010396,0.014534883720930232
top_ngram_chr_fraction_3,0.009719222462203024,0.022460262612301312,0.016216216216216217,
oov_ratio,0.033663366336633666,0.005628517823639775,0.0024752475247524753,
connectives,9,7,9,9
duplicate_ngram_chr_fraction_6,,0.04284727021423635,0.05488565488565489,0.02688953488372093
duplicate_ngram_chr_fraction_7,,0.020041465100207326,0.05488565488565489,0.02688953488372093
duplicate_ngram_chr_fraction_8,,0.020041465100207326,0.05488565488565489,
duplicate_ngram_chr_fraction_9,,0.020041465100207326,0.05488565488565489,
duplicate_ngram_chr_fraction_10,,0.020041465100207326,0.05488565488565489,
