,human,explain,create,continue
passed_quality_check,True,True,True,True
n_stop_words,193.0,172.0,175.0,200.0
alpha_ratio,0.8423005565862709,0.8992537313432836,0.8336192109777015,0.842756183745583
mean_word_length,4.866419294990724,5.856343283582089,5.566037735849057,5.187279151943463
doc_length,539.0,536.0,583.0,566.0
top_ngram_chr_fraction_2,0.0064808813998703824,0.0110803324099723,0.011299435028248588,0.028127746850278346
top_ngram_chr_fraction_3,0.008101101749837978,0.0221606648199446,0.030131826741996232,0.020216818048637564
top_ngram_chr_fraction_4,0.005832793259883344,0.019944598337950138,0.02959375840731773,0.03340169938470554
oov_ratio,0.0018552875695732839,0.005597014925373134,0.02058319039451115,0.022968197879858657
first_order_coherence,0.8794088959693909,0.8846055237870467,0.8366198986768723,0.6874448621556872
second_order_coherence,0.8649994432926178,0.8713173733817207,0.8627748959942868,0.7272607192397118
pos_prop_NOUN,0.25788497217068646,0.3003731343283582,0.27958833619210977,0.2579505300353357
pos_prop_AUX,0.029684601113172542,0.033582089552238806,0.024013722126929673,0.03356890459363958
pos_prop_ADJ,0.10204081632653061,0.1287313432835821,0.12178387650085763,0.127208480565371
pos_prop_ADP,0.12059369202226346,0.11567164179104478,0.12178387650085763,0.09187279151943463
pos_prop_PUNCT,0.11688311688311688,0.08582089552238806,0.13036020583190394,0.1166077738515901
pos_prop_PRON,0.022263450834879406,0.016791044776119403,0.010291595197255575,0.024734982332155476
pos_prop_VERB,0.08719851576994433,0.13432835820895522,0.10291595197255575,0.10070671378091872
pos_prop_PART,0.016697588126159554,0.022388059701492536,0.02058319039451115,0.024734982332155476
pos_prop_DET,0.0686456400742115,0.05970149253731343,0.060034305317324184,0.061837455830388695
pos_prop_ADV,0.029684601113172542,0.03544776119402985,0.015437392795883362,0.0176678445229682
pos_prop_X,0.016697588126159554,,0.0017152658662092624,0.00530035335689046
pos_prop_PROPN,0.027829313543599257,0.0018656716417910447,0.029159519725557463,0.03180212014134275
pos_prop_CCONJ,0.055658627087198514,0.026119402985074626,0.0411663807890223,0.04946996466431095
pos_prop_SCONJ,0.01855287569573284,0.027985074626865673,0.012006861063464836,0.026501766784452298
pos_prop_NUM,0.029684601113172542,0.005597014925373134,0.018867924528301886,0.030035335689045935
token_length_mean,5.443496801705757,6.378099173553719,6.424489795918367,5.840490797546012
token_length_median,5.0,6.0,6.0,5.0
token_length_std,3.158146019398172,3.147151358945899,3.3853544481622295,4.274707629942656
sentence_length_mean,39.083333333333336,24.2,23.333333333333332,22.227272727272727
sentence_length_median,36.0,23.5,22.0,21.0
sentence_length_std,16.615546602170177,5.0852728540364485,6.461116911651711,10.03145878171546
syllables_per_token_mean,1.724946695095949,1.9586776859504131,1.9795918367346939,1.752556237218814
syllables_per_token_median,1.0,2.0,1.0,1.0
syllables_per_token_std,1.0804702873909613,1.145574988003163,1.1933454247578545,1.0615604756985781
n_tokens,469,484,490,489
n_unique_tokens,226,249,230,243
proportion_unique_tokens,0.48187633262260127,0.5144628099173554,0.46938775510204084,0.49693251533742333
n_characters,2623,3139,3245,2936
n_sentences,12,20,21,22
flesch_reading_ease,21.23492626154939,16.56786776859508,15.678197278911568,36.00806051310653
flesch_kincaid_grade,20.006871002132197,16.960396694214875,16.86918367346939,13.758799962818369
smog,19.70262927109974,17.637676136203027,18.29492869479937,15.903189008614273
gunning_fog,24.247405828002844,20.34115702479339,21.41496598639456,17.88886410113404
automated_readability_index,23.750536602700784,20.710847107438013,20.496013605442172,17.19234802007808
coleman_liau_index,15.450405117270783,20.4800826446281,20.70742857142857,17.210388548057264
lix,74.6910092395167,73.5801652892562,71.49659863945578,59.65058561070831
rix,13.916666666666666,11.95,11.238095238095237,8.318181818181818
entropy,13.8585149292269,11.383332574299537,13.916283323704338,13.841178960341118
perplexity,1043942.4581872893,87845.2984539281,1106025.2863688078,1026000.6726748215
per_word_perplexity,1936.8134660246556,163.89048219016436,1897.1274208727407,1812.7220365279532
dependency_distance_mean,4.144699043910573,3.1147913407515153,2.8835386173211286,2.8081793029042745
dependency_distance_std,1.5971251849746784,0.8190459257113601,0.7249273010212635,1.0550248369256596
prop_adjacent_dependency_relation_mean,0.42467754718445855,0.4896483139855003,0.5049982943645135,0.411442615248921
prop_adjacent_dependency_relation_std,0.05539428234074055,0.06311647527763597,0.061860393126553496,0.1377707671798991
connectives,8,13,7,14
connectives_cap,0,1,2,1
duplicate_ngram_chr_fraction_5,,0.019944598337950138,0.13828356201237557,0.12803984764137122
duplicate_ngram_chr_fraction_6,,0.019944598337950138,0.08878127522195318,0.10167008496923528
pos_prop_SYM,,0.005597014925373134,0.010291595197255575,
duplicate_ngram_chr_fraction_7,,,0.03497444175410277,0.0714913565777908
duplicate_ngram_chr_fraction_8,,,0.03497444175410277,0.026955757398183417
duplicate_ngram_chr_fraction_9,,,0.03497444175410277,0.026955757398183417
duplicate_ngram_chr_fraction_10,,,,0.026955757398183417
