feature,human-cont,human-full,create,continue,explain
dependency_distance_mean,2.552426159939489,2.584134310980946,2.608834751586567,2.396164761535018,3.188150471359451
dependency_distance_std,0.8716736151002505,0.8757739687713327,0.869994995165508,0.6690420531728852,0.6482490845494416
prop_adjacent_dependency_relation_mean,0.4205900139409063,0.422446433586445,0.4317868411787907,0.47189152185985284,0.44344681489779453
prop_adjacent_dependency_relation_std,0.10581679553423733,0.10489898315691563,0.10320909632406723,0.07199051962868726,0.06303492672755268
entropy,8.529121362393337,9.544315209693869,7.513100887924639,1.1354128354895605,3.538983570014812
perplexity,8453.752746357995,21790.564441944687,3433.8666429559985,4.475414484931771,77.74294764673573
per_word_perplexity,11.744789356388692,28.10635734882079,5.789182780119722,0.1485859108917209,0.2733505616506644
flesch_reading_ease,40.58535946993883,40.18268006366684,39.27814694718512,18.023067198404807,31.855332598006033
flesch_kincaid_grade,10.547635300460678,10.608072989612378,10.79873600632535,13.948534204793031,13.429251017773078
smog,11.846406609892494,11.894719596227578,12.401506043491041,14.303488932130671,14.867040506825148
gunning_fog,12.693140328222952,12.77832386520538,13.575937152673456,20.151742697832432,16.608068694903192
automated_readability_index,10.295142849457461,10.357516437572942,10.482605527434801,17.10822357815443,13.775520687471385
coleman_liau_index,13.89430744500865,13.967967780844802,13.996097376694891,16.809325835825852,14.924381013292674
lix,39.62108418843279,40.14619382154473,41.167691316252494,56.393241017687686,48.740595713414756
rix,3.3047621077416474,3.364590617455663,3.551914931914932,3.8733333333333335,5.642994505494505
n_stop_words,316.4,351.8,252.8,44.25,108.4
alpha_ratio,0.8524667054625539,0.8518060578578017,0.8565951718059479,0.8202622666423572,0.8952214454059451
mean_word_length,4.844933035560106,4.858643179467253,4.88042544217523,5.354484002674048,5.055271042240801
doc_length,647.8,729.8,533.6,75.2,221.4
duplicate_ngram_chr_fraction_5,0.011306235950539818,0.02373769935279762,0.017944575221579835,,0.03673112767940354
top_ngram_chr_fraction_2,0.016278714800331346,0.016232934021829355,0.016650428936969587,0.015375970844470583,0.027257578191914003
oov_ratio,0.018609056264512296,0.020020899064798585,0.008767536537517565,0.05555555555555555,0.014978177544248397
first_order_coherence,0.4619111456523989,0.46074628687190194,0.47891916002297136,0.6672029241919518,0.6950342033994503
second_order_coherence,0.45297268344704333,0.4551459309887876,0.47364907744927087,0.7286824404247224,0.6490740668154382
token_length_mean,5.475480855654732,5.486898161929098,5.485895002540587,6.813494036409291,5.503381782723757
token_length_median,4.6,4.6,4.6,6.0,4.7
token_length_std,3.132202280701014,3.1331540527004083,3.188413831248316,3.0184750601624155,3.161675752403087
sentence_length_mean,11.871256038647342,11.888452189773787,12.148080130937274,12.893333333333334,18.56918498168498
sentence_length_median,11.6,11.6,11.7,12.4,18.1
sentence_length_std,6.103515138555883,6.050405472627073,5.926972517150956,3.9857647051508938,4.984786392931367
syllables_per_token_mean,1.822698766558323,1.8272522572542882,1.8348292165474416,2.0771300173553415,1.845531260586096
syllables_per_token_median,1.6,1.6,1.4,1.8,1.2
syllables_per_token_std,1.136057297818974,1.1344995422973987,1.1312841260795827,1.0436523001487636,1.127940280954873
n_tokens,556.8,628.0,459.2,67.0,199.2
n_unique_tokens,301.6,329.4,249.6,50.8,124.4
proportion_unique_tokens,0.5451938542375772,0.5257940936644055,0.5445981340054808,0.8449295816254938,0.6289352809592093
n_characters,3132.2,3541.6,2583.2,388.2,1109.6
n_sentences,47.2,53.0,38.4,4.4,11.2
pos_prop_NUM,0.010600973871883891,0.010498544486717998,0.008203556777710515,0.005917159763313609,0.00610976737600549
pos_prop_NOUN,0.17471324208607295,0.1793238626451365,0.180463059267976,0.25801938132254876,0.1845857590193662
pos_prop_VERB,0.0964010590369871,0.0951719701695675,0.10192321833058401,0.10334863728528887,0.10016001634356438
pos_prop_PUNCT,0.14056654309841285,0.1392311946749099,0.13561847572275326,0.17855430140498013,0.09927345674263317
pos_prop_AUX,0.061086346910710375,0.06066052458831358,0.06339323991880408,0.06384151293653556,0.053250741882138464
pos_prop_ADP,0.10140275632439585,0.10452513858935246,0.09452200033057592,0.10386832247691977,0.12616250859514128
pos_prop_DET,0.11890144603681012,0.11966880157485263,0.13234012599534567,0.17532279183862892,0.1365163233738155
pos_prop_ADJ,0.02937737519852703,0.03318817972062625,0.03918037220880772,0.06581389952430676,0.039675700670888006
pos_prop_PRON,0.0743827478717929,0.0716167741870555,0.06797600402628018,0.061869126348764354,0.055333691995286705
pos_prop_ADV,0.09291186428549074,0.08570887097102846,0.07014874459194362,0.07548936734457097,0.05300866952830628
pos_prop_PROPN,0.04611567225413353,0.04898959678382604,0.04578832940325595,0.07248198424669013,0.07485946066793996
pos_prop_CCONJ,0.017476295913689825,0.01739483944839207,0.021721912180613583,0.04710523262559461,0.03565021961184937
pos_prop_SCONJ,0.020292644255083463,0.019069214312292027,0.021600466620136646,0.02526809540384201,0.02662863385917163
pos_prop_PART,0.014424932469908969,0.013131655710195988,0.01841216584113888,0.01852220178012033,0.008432782059434365
connectives,25.6,26.6,16.2,2.0,6.4
top_ngram_chr_fraction_3,0.010031048483401002,0.014779532203626712,0.014033529849428746,,0.026707730901833444
pos_prop_X,0.0033652509652509653,0.004552080344332855,0.0017452006980802793,0.008403361344537815,0.003935554374150866
duplicate_ngram_chr_fraction_6,0.009553379508000955,0.020891129469506987,0.01653625054874636,,
duplicate_ngram_chr_fraction_7,,0.019192144610577996,0.01920768307322929,,
top_ngram_chr_fraction_4,,0.012809564474807857,0.012998266897746967,,0.038834951456310676
