,continue,human-full,create,human-cont,explain
token_length_mean,4.918238993710692,4.823734729493892,5.341216216216216,4.85064935064935,5.560483870967742
token_length_median,4.0,4.0,5.0,4.0,5.0
token_length_std,2.923486661051734,2.80774210357851,2.8708325624980637,2.836334597793093,2.8434224763077527
sentence_length_mean,22.714285714285715,17.90625,21.142857142857142,17.11111111111111,20.666666666666668
sentence_length_median,21.5,17.5,20.0,15.0,19.5
sentence_length_std,5.508805567045384,8.719086015030474,6.418245675495791,9.101621073898842,4.515405728048022
syllables_per_token_mean,1.5251572327044025,1.4537521815008727,1.6182432432432432,1.4588744588744589,1.6693548387096775
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,0.8565301180941653,0.8165226921668122,0.8793069416247556,0.8357781643974564,0.922144889195909
n_tokens,318,573,592,462,248
n_unique_tokens,172,312,332,262,147
proportion_unique_tokens,0.5408805031446541,0.5445026178010471,0.5608108108108109,0.5670995670995671,0.592741935483871
n_characters,1613,2910,3251,2361,1416
n_sentences,14,32,28,27,12
flesch_reading_ease,54.75169811320757,65.67272169502618,48.47162162162164,66.04644300144302,44.63091397849465
flesch_kincaid_grade,11.265426774483377,8.547713241710301,11.750984555984555,8.298051948051953,12.168387096774193
smog,13.596283718651353,11.080906280650957,14.348710955821954,11.05711978918934,13.6886701853816
gunning_fog,14.997663971248878,11.490597731239092,15.754440154440154,11.346608946608947,14.879569892473121
automated_readability_index,13.092048517520219,10.242915575916232,14.298556949806951,9.972113997113993,15.093212365591398
coleman_liau_index,11.816100628930819,10.91050610820244,14.206351351351348,10.991948051948047,15.463387096774191
lix,50.701707097933514,44.60782068062827,55.771235521235525,44.38383838383838,56.55376344086022
rix,6.357142857142857,4.78125,7.321428571428571,4.666666666666667,7.416666666666667
entropy,12.372640410104381,20.59929726286424,20.01137591532753,17.147251755560962,8.143330296036831
perplexity,236248.71592529726,883407602.341255,490715905.93880075,27987030.252557125,3440.356215544662
per_word_perplexity,645.4882948778613,1271090.075311158,725911.1034597644,49798.98621451446,12.286986484088079
dependency_distance_mean,3.301131613148364,2.807687953071764,2.929803905135048,2.7592315990028404,2.9037432359307362
dependency_distance_std,0.5971501474396039,0.5469924862627749,0.36408528983746163,0.5503616833567437,0.35242767531963354
prop_adjacent_dependency_relation_mean,0.43906193182213243,0.435082692951416,0.44565469502658045,0.4277102848049414,0.462660533910534
prop_adjacent_dependency_relation_std,0.039437322573469366,0.07151371222780499,0.06679145188515775,0.07450315558574463,0.043902563714705675
passed_quality_check,True,True,True,True,True
n_stop_words,164.0,290.0,257.0,243.0,110.0
alpha_ratio,0.8715846994535519,0.8316546762589928,0.8727810650887574,0.8362989323843416,0.9
mean_word_length,4.407103825136612,4.18705035971223,4.809171597633136,4.201067615658363,5.057142857142857
doc_length,366.0,695.0,676.0,562.0,280.0
duplicate_ngram_chr_fraction_5,0.027979274611398965,0.02613440551407237,0.00676730869338886,0.028338646829613887,
top_ngram_chr_fraction_2,0.007253886010362694,0.011200459506031017,0.006246746486205101,0.010626992561105207,0.0072158749248346366
top_ngram_chr_fraction_3,0.012435233160621761,0.010051694428489374,0.004164497657470068,0.010626992561105207,
top_ngram_chr_fraction_4,0.027979274611398965,0.01723147616312464,,0.017711654268508677,
first_order_coherence,0.814396702326261,0.6877357440610086,0.8182866043514676,0.6767797573254659,0.8470621542497114
second_order_coherence,0.8153350353240967,0.6950539896885554,0.8086788081205808,0.7000114703178406,0.8298844218254089
pos_prop_PUNCT,0.1284153005464481,0.1539568345323741,0.11686390532544379,0.15658362989323843,0.09642857142857143
pos_prop_PRON,0.10109289617486339,0.08920863309352518,0.05917159763313609,0.09430604982206406,0.04642857142857143
pos_prop_AUX,0.040983606557377046,0.051798561151079135,0.034023668639053255,0.05338078291814947,0.02142857142857143
pos_prop_PART,0.0273224043715847,0.03597122302158273,0.03550295857988166,0.03914590747330961,0.02857142857142857
pos_prop_VERB,0.13387978142076504,0.1223021582733813,0.13313609467455623,0.12633451957295375,0.11785714285714285
pos_prop_NOUN,0.18032786885245902,0.1553956834532374,0.21745562130177515,0.15480427046263345,0.20357142857142857
pos_prop_ADP,0.1092896174863388,0.09352517985611511,0.10650887573964497,0.09074733096085409,0.10357142857142858
pos_prop_CCONJ,0.05191256830601093,0.02014388489208633,0.034023668639053255,0.02491103202846975,0.03571428571428571
pos_prop_PROPN,0.040983606557377046,0.08920863309352518,0.04437869822485207,0.07473309608540925,0.125
pos_prop_DET,0.07650273224043716,0.06474820143884892,0.06804733727810651,0.06405693950177936,0.08214285714285714
pos_prop_ADJ,0.07103825136612021,0.058992805755395686,0.10059171597633136,0.05871886120996441,0.07857142857142857
pos_prop_SCONJ,0.01092896174863388,0.014388489208633094,0.01775147928994083,0.01601423487544484,0.02142857142857143
pos_prop_ADV,0.0273224043715847,0.034532374100719423,0.023668639053254437,0.03914590747330961,0.03571428571428571
connectives,4,12,13,12,9
duplicate_ngram_chr_fraction_6,,0.022975301550832855,0.00676730869338886,0.028338646829613887,
pos_prop_NUM,,0.014388489208633094,0.008875739644970414,0.0071174377224199285,0.0035714285714285713
pos_prop_SYM,,0.0014388489208633094,,,
