,human-full,create,explain,human-cont,continue
first_order_coherence,0.6961682051686304,0.8202963519096375,0.8375635345776876,0.7287171890122303,0.7892114903245654
second_order_coherence,0.6628555433316664,0.803719366590182,0.8244742229580879,0.6828498840332031,0.7585782811045647
flesch_reading_ease,73.12191278089628,55.33828754578755,53.22926415094341,72.874183639399,60.67763636363638
flesch_kincaid_grade,7.187678541655089,10.958386243386244,11.101584905660381,7.346507989506321,9.877494949494952
smog,10.064110947511566,12.960234197811797,13.023866798666859,10.125756701596842,11.654831186984918
gunning_fog,10.19366049760092,14.155175688509022,14.140377358490566,10.351557357500596,12.537373737373736
automated_readability_index,9.163722929287317,15.025803825803827,14.297405660377358,9.269647030765562,13.530006060606063
coleman_liau_index,10.241267159450892,14.74194003527337,14.173018867924522,10.113322203672784,13.629422222222217
lix,39.42290520387558,56.55196038529372,54.69056603773585,38.39976150727403,50.676767676767675
rix,3.789473684210526,7.576923076923077,7.1,3.642857142857143,6.181818181818182
passed_quality_check,True,True,True,True,True
n_stop_words,476.0,260.0,106.0,613.0,207.0
alpha_ratio,0.8388791593695272,0.9174757281553398,0.905982905982906,0.8427672955974843,0.9112903225806451
mean_word_length,4.1243432574430825,5.059870550161812,4.927350427350428,4.1257861635220126,4.862903225806452
doc_length,1142.0,618.0,234.0,1431.0,496.0
duplicate_ngram_chr_fraction_5,0.023358697575650327,,,0.009853603603603604,0.013286713286713287
duplicate_ngram_chr_fraction_6,0.015926384710670677,,,0.009853603603603604,
top_ngram_chr_fraction_2,0.0037161564324898247,0.00676773145641581,0.014684287812041116,0.005067567567567568,0.006993006993006993
top_ngram_chr_fraction_3,0.004247035922845514,,,,
top_ngram_chr_fraction_4,0.006370553884268271,,,,
oov_ratio,0.006129597197898424,,,0.005590496156533892,
entropy,33.194918104977695,13.511538419484491,6.27672859943751,41.78763166200195,11.855164905366689
perplexity,260837338538936.25,737881.4246624295,532.0452804978868,1.406493866493816e+18,140809.7412555729
per_word_perplexity,228403974202.2209,1193.982887803284,2.273697779905499,982874819352771.5,283.8906073701067
token_length_mean,4.731784582893347,5.425044091710759,5.334905660377358,4.701168614357262,5.251111111111111
token_length_median,4.0,5.0,5.0,4.0,5.0
token_length_std,2.48583596558334,2.7578857191753303,2.7619565956732655,2.420181280883138,2.5606528874247174
sentence_length_mean,16.614035087719298,21.807692307692307,21.2,17.114285714285714,20.454545454545453
sentence_length_median,14.0,20.0,18.0,14.5,18.5
sentence_length_std,11.455105941854914,7.493685704897623,6.823488843692792,10.834525313806331,8.233674054135982
syllables_per_token_mean,1.3812038014783528,1.529100529100529,1.5613207547169812,1.3781302170283807,1.4822222222222223
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,0.7532999753539996,0.8391541063669558,0.89601536740496,0.744320180179756,0.7977158750356862
n_tokens,947,567,212,1198,450
n_unique_tokens,470,339,147,560,293
proportion_unique_tokens,0.4963041182682154,0.5978835978835979,0.6933962264150944,0.4674457429048414,0.6511111111111111
n_characters,4710,3127,1153,5904,2412
n_sentences,57,26,10,70,22
dependency_distance_mean,2.45199928706512,2.6255380128046935,2.5288259956258012,2.5453516860266467,2.5953360196227138
dependency_distance_std,0.8624860247937494,0.45393621512761384,0.47486729247784937,0.8386364562429429,0.6066937753074382
prop_adjacent_dependency_relation_mean,0.4563474346112562,0.5036254919632093,0.5143447448524308,0.4424642468419918,0.4975978774837134
prop_adjacent_dependency_relation_std,0.1073724348426372,0.056343748378189784,0.07458496268615843,0.10125116385484495,0.08751240737047748
pos_prop_DET,0.08581436077057793,0.09223300970873786,0.10683760683760683,0.07547169811320754,0.0907258064516129
pos_prop_NUM,0.01838879159369527,0.0048543689320388345,0.004273504273504274,0.018867924528301886,0.0020161290322580645
pos_prop_PUNCT,0.15148861646234676,0.0825242718446602,0.08974358974358974,0.14605171208944795,0.08870967741935484
pos_prop_NOUN,0.20140105078809106,0.2540453074433657,0.25213675213675213,0.1893780573025856,0.26814516129032256
pos_prop_ADJ,0.05516637478108581,0.08737864077669903,0.04700854700854701,0.053109713487071976,0.06653225806451613
pos_prop_VERB,0.11471103327495621,0.1262135922330097,0.14957264957264957,0.12159329140461216,0.13911290322580644
pos_prop_ADP,0.09106830122591944,0.12944983818770225,0.14102564102564102,0.09294199860237597,0.13709677419354838
pos_prop_PRON,0.07180385288966724,0.06472491909385113,0.05982905982905983,0.07058001397624039,0.05241935483870968
pos_prop_PROPN,0.063922942206655,0.009708737864077669,0.021367521367521368,0.07127882599580712,0.012096774193548387
pos_prop_AUX,0.0446584938704028,0.042071197411003236,0.042735042735042736,0.04821802935010482,0.034274193548387094
pos_prop_PART,0.03239929947460595,0.014563106796116505,0.017094017094017096,0.033542976939203356,0.018145161290322582
pos_prop_SCONJ,0.013134851138353765,0.022653721682847898,0.008547008547008548,0.012578616352201259,0.018145161290322582
pos_prop_ADV,0.03239929947460595,0.040453074433656956,0.02564102564102564,0.03563941299790356,0.04233870967741935
pos_prop_CCONJ,0.023642732049036778,0.02912621359223301,0.03418803418803419,0.030747728860936407,0.03024193548387097
connectives,18,18,5,26,12
duplicate_ngram_chr_fraction_7,,,,0.009853603603603604,
duplicate_ngram_chr_fraction_8,,,,0.009853603603603604,
