,human-full,explain,create,human-cont,continue
flesch_reading_ease,69.00722689075631,59.23325358851676,55.20299295146327,72.76410596026493,52.871772118666314
flesch_kincaid_grade,7.85747899159664,9.717607655502395,10.393610813704498,6.99081068737155,11.4839590443686
smog,10.355215969177355,11.567385478589937,12.954912879858846,9.753983421225431,13.274406872562384
gunning_fog,10.564705882352943,12.193301435406699,13.864703783012136,9.69198447134049,14.612654239957994
automated_readability_index,9.66216806722689,12.634114832535886,12.908160242683799,8.412331582553094,14.90028878970859
coleman_liau_index,10.663058823529408,13.308133971291866,13.40085653104925,9.80997792494481,14.173105802047779
lix,44.73109243697479,51.057416267942585,51.792380442541045,41.66925477658522,57.35074822788134
rix,4.714285714285714,6.090909090909091,6.291666666666667,4.068965517241379,7.846153846153846
pos_prop_PUNCT,0.14326241134751774,0.09871244635193133,0.10456273764258556,0.14972273567467653,0.08307692307692308
pos_prop_PROPN,0.1148936170212766,0.07725321888412018,0.08555133079847908,0.09796672828096119,0.04
pos_prop_PRON,0.08226950354609928,0.0944206008583691,0.07224334600760456,0.08502772643253234,0.11076923076923077
pos_prop_VERB,0.11205673758865248,0.10300429184549356,0.11977186311787072,0.11275415896487985,0.11692307692307692
pos_prop_ADP,0.1276595744680851,0.1630901287553648,0.13498098859315588,0.12014787430683918,0.13846153846153847
pos_prop_NOUN,0.17163120567375886,0.19313304721030042,0.20342205323193915,0.17929759704251386,0.2153846153846154
pos_prop_SCONJ,0.019858156028368795,0.017167381974248927,0.015209125475285171,0.018484288354898338,0.024615384615384615
pos_prop_DET,0.07092198581560284,0.06437768240343347,0.06463878326996197,0.07578558225508318,0.06153846153846154
pos_prop_ADJ,0.04113475177304964,0.06866952789699571,0.058935361216730035,0.038817005545286505,0.08923076923076922
pos_prop_AUX,0.03971631205673759,0.034334763948497854,0.03802281368821293,0.04066543438077634,0.024615384615384615
pos_prop_ADV,0.015602836879432624,0.02145922746781116,0.045627376425855515,0.014787430683918669,0.027692307692307693
pos_prop_NUM,0.02269503546099291,0.02145922746781116,0.0076045627376425855,0.02033271719038817,0.009230769230769232
pos_prop_PART,0.01702127659574468,0.012875536480686695,0.015209125475285171,0.018484288354898338,0.021538461538461538
pos_prop_CCONJ,0.019858156028368795,0.030042918454935622,0.034220532319391636,0.025878003696857672,0.036923076923076927
pos_prop_SYM,0.0014184397163120568,,,0.0018484288354898336,
dependency_distance_mean,2.616457005055845,2.673345153685609,2.637719522533866,2.566177847245412,2.526515968260941
dependency_distance_std,0.8012648753132321,0.4394860303941505,0.4644353378524127,0.8242500050131824,0.373986352863335
prop_adjacent_dependency_relation_mean,0.405070433991335,0.45526787317437056,0.45474730241959965,0.3897186009162401,0.48968838573267975
prop_adjacent_dependency_relation_std,0.110973170116783,0.04793300999862743,0.05545703860655478,0.11516912294601171,0.058786921627812
entropy,19.696219788579764,5.628442236123467,13.375640399587187,15.70975012433766,7.940025060242228
perplexity,358063100.9893236,278.2283657816287,644120.0492463605,6647491.5060848445,2807.430862316495
per_word_perplexity,507890.92338911153,1.1941131578610675,1224.5628312668453,12287.41498352097,8.638248807127678
passed_quality_check,True,True,True,True,True
n_stop_words,286.0,101.0,211.0,226.0,144.0
alpha_ratio,0.8340425531914893,0.8798283261802575,0.8916349809885932,0.8280961182994455,0.9138461538461539
mean_word_length,4.221276595744681,4.785407725321888,4.760456273764259,4.096118299445472,4.9107692307692306
doc_length,705.0,233.0,526.0,541.0,325.0
top_ngram_chr_fraction_2,0.02155051777218024,0.024943310657596373,0.013472549680026945,0.02470984649943841,0.017478813559322032
top_ngram_chr_fraction_3,0.005877413937867338,,,,
oov_ratio,0.0014184397163120568,,0.0019011406844106464,,
token_length_mean,4.796638655462185,5.215311004784689,5.224839400428266,4.677704194260485,5.320819112627986
token_length_median,4.0,4.0,5.0,4.0,5.0
token_length_std,2.6385612572168164,2.9161413555704683,2.7295636845156444,2.6011310209206404,2.8880375869781423
sentence_length_mean,17.0,19.0,19.458333333333332,15.620689655172415,22.53846153846154
sentence_length_median,15.0,20.0,21.5,15.0,22.0
sentence_length_std,10.169983846032963,5.8775381364525865,5.823652681569837,9.415371851954793,7.164177816538492
syllables_per_token_mean,1.4252100840336135,1.5167464114832536,1.5588865096359743,1.3973509933774835,1.5494880546075085
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,0.714109716330156,0.7892561683821214,0.8369550974130429,0.6912841510304577,0.8516845848727493
n_tokens,595,209,467,453,293
n_unique_tokens,316,134,262,261,193
proportion_unique_tokens,0.5310924369747899,0.6411483253588517,0.5610278372591007,0.5761589403973509,0.658703071672355
n_characters,2976,1115,2504,2216,1596
n_sentences,35,11,24,29,13
first_order_coherence,0.6333957313943435,0.803279060125351,0.7649562954902649,0.6204807182906994,0.8558752983808517
second_order_coherence,0.653283980308157,0.7812036474545797,0.7757327312772925,0.6473361954644874,0.8692468242211775
connectives,26,14,17,20,12
