,continue,human-full,human-cont,create,explain
pos_prop_SCONJ,0.015904572564612324,0.010256410256410256,0.010683760683760684,0.009985734664764621,0.01073345259391771
pos_prop_ADJ,0.147117296222664,0.15555555555555556,0.15598290598290598,0.1768901569186876,0.15742397137745975
pos_prop_NOUN,0.27236580516898606,0.24102564102564103,0.23931623931623933,0.2553495007132668,0.25760286225402507
pos_prop_PUNCT,0.12524850894632206,0.06324786324786325,0.06196581196581197,0.10984308131241084,0.12880143112701253
pos_prop_DET,0.06759443339960239,0.06837606837606838,0.06623931623931624,0.07132667617689016,0.06440071556350627
pos_prop_PART,0.019880715705765408,0.008547008547008548,0.008547008547008548,0.008559201141226819,0.005366726296958855
pos_prop_AUX,0.02982107355864811,0.041025641025641026,0.03632478632478633,0.017118402282453638,0.025044722719141325
pos_prop_CCONJ,0.033797216699801194,0.037606837606837605,0.038461538461538464,0.028530670470756064,0.03041144901610018
pos_prop_ADP,0.10536779324055666,0.12991452991452992,0.1282051282051282,0.1326676176890157,0.1252236135957066
pos_prop_VERB,0.10536779324055666,0.09230769230769231,0.0876068376068376,0.0912981455064194,0.08050089445438283
pos_prop_ADV,0.027833001988071572,0.03076923076923077,0.038461538461538464,0.021398002853067047,0.026833631484794274
pos_prop_PROPN,0.019880715705765408,0.03247863247863248,0.03632478632478633,0.03281027104136947,0.03220035778175313
pos_prop_PRON,0.02982107355864811,0.0735042735042735,0.07692307692307693,0.029957203994293864,0.044722719141323794
passed_quality_check,True,True,True,True,True
n_stop_words,168.0,243.0,196.0,231.0,189.0
alpha_ratio,0.8667992047713717,0.9162393162393162,0.9230769230769231,0.8758915834522111,0.8586762075134168
mean_word_length,5.333996023856859,4.902564102564103,4.948717948717949,5.339514978601997,5.04830053667263
doc_length,503.0,585.0,468.0,701.0,559.0
top_ngram_chr_fraction_2,0.008715300193673338,0.007344300822561692,0.012727272727272728,0.014482758620689656,0.021851289833080424
top_ngram_chr_fraction_3,0.011620400258231117,0.007931844888366627,0.009818181818181818,0.011954022988505748,0.01456752655538695
top_ngram_chr_fraction_4,0.020335700451904453,,,0.011724137931034483,
oov_ratio,0.0019880715705765406,0.015384615384615385,0.017094017094017096,0.011412268188302425,0.008944543828264758
token_length_mean,6.027713625866051,5.206642066420664,5.224256292906179,5.8969404186795495,5.683229813664596
token_length_median,5.0,4.0,4.0,5.0,5.0
token_length_std,3.275518905875428,2.9512821932273225,2.9827969317646503,3.154988429712405,3.1242503569562685
sentence_length_mean,21.65,18.066666666666666,19.0,23.0,19.32
sentence_length_median,20.5,17.5,19.0,22.0,17.0
sentence_length_std,7.391041875135061,9.608792270045642,8.622518546628735,10.684013672218327,9.586323591450478
syllables_per_token_mean,1.8452655889145497,1.562730627306273,1.562929061784897,1.7632850241545894,1.68944099378882
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,1.1317716848165968,0.9345432796080085,0.9561548791187057,1.0057827153277454,1.0489234835113275
n_tokens,433,542,437,621,483
n_unique_tokens,264,268,222,333,266
proportion_unique_tokens,0.6096997690531177,0.4944649446494465,0.5080091533180778,0.5362318840579711,0.5507246376811594
n_characters,2683,2868,2316,3743,2822
n_sentences,20,30,23,27,25
entropy,11.311320635824242,13.919844315878898,10.914833549318022,16.309303077648117,13.472673157808888
perplexity,81741.78838498995,1109970.8546579648,54985.98146753006,12107105.597208915,709753.6080046082
