,create,human-full,explain,continue,human-cont
pos_prop_ADJ,0.1297709923664122,0.10551948051948051,0.1174496644295302,0.1256544502617801,0.10400682011935208
pos_prop_NOUN,0.32251908396946566,0.2621753246753247,0.29194630872483224,0.3403141361256545,0.26342710997442453
pos_prop_PUNCT,0.13740458015267176,0.15827922077922077,0.17281879194630873,0.10209424083769633,0.15430520034100598
pos_prop_ADP,0.11641221374045801,0.10714285714285714,0.09228187919463088,0.13350785340314136,0.10656436487638533
pos_prop_DET,0.061068702290076333,0.06818181818181818,0.04697986577181208,0.060209424083769635,0.06649616368286446
pos_prop_PROPN,0.02480916030534351,0.07467532467532467,0.05704697986577181,0.010471204188481676,0.07075873827791987
pos_prop_NUM,0.015267175572519083,0.036525974025974024,0.015100671140939598,0.002617801047120419,0.03495311167945439
pos_prop_ADV,0.011450381679389313,0.025162337662337664,0.028523489932885907,0.01832460732984293,0.027280477408354646
pos_prop_AUX,0.019083969465648856,0.036525974025974024,0.020134228187919462,0.031413612565445025,0.040068201193520885
pos_prop_VERB,0.09541984732824428,0.06737012987012987,0.08892617449664429,0.112565445026178,0.07246376811594203
pos_prop_PART,0.015267175572519083,0.00487012987012987,0.006711409395973154,0.013089005235602094,0.005967604433077579
pos_prop_CCONJ,0.026717557251908396,0.041396103896103896,0.03859060402684564,0.028795811518324606,0.041773231031543054
pos_prop_PRON,0.02099236641221374,0.00974025974025974,0.020134228187919462,0.015706806282722512,0.00937766410912191
pos_prop_SCONJ,0.003816793893129771,0.0008116883116883117,0.003355704697986577,0.005235602094240838,0.0017050298380221654
passed_quality_check,True,True,True,True,True
n_stop_words,147.0,376.0,160.0,125.0,365.0
alpha_ratio,0.8396946564885496,0.8165584415584416,0.8137583892617449,0.887434554973822,0.8218243819266837
mean_word_length,5.25763358778626,4.702922077922078,5.184563758389261,5.303664921465969,4.73998294970162
doc_length,524.0,1232.0,596.0,382.0,1173.0
duplicate_ngram_chr_fraction_5,0.03146633102580239,0.01795966436037097,0.006188466947960619,,0.018720270062912384
top_ngram_chr_fraction_2,0.007866582756450597,0.007360518180479906,0.005063291139240506,0.008488964346349746,0.010741138560687433
top_ngram_chr_fraction_3,0.020453115166771556,0.007654938907699102,0.014627285513361463,0.016553480475382003,0.00797913150222495
token_length_mean,6.0,5.4281553398058255,6.0961145194274025,5.843657817109144,5.452791878172589
token_length_median,6.0,5.0,5.0,5.0,5.0
token_length_std,3.30239755275051,3.2765989197220824,3.3938723254003578,3.089956068988619,3.2804690178372167
sentence_length_mean,18.583333333333332,20.19607843137255,19.56,18.833333333333332,19.7
sentence_length_median,18.0,17.0,19.0,18.0,17.0
sentence_length_std,7.370643722829702,11.429270314215914,10.29205518834795,7.213028336127468,10.978615577567146
syllables_per_token_mean,1.8856502242152466,1.6951456310679611,1.8302658486707566,1.7640117994100295,1.7025380710659899
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,1.1276867880784436,1.040106290384039,1.0861764474189983,0.9732725320739728,1.0460676448424007
n_tokens,446,1030,489,339,985
n_unique_tokens,263,500,305,226,478
proportion_unique_tokens,0.5896860986547086,0.4854368932038835,0.623721881390593,0.6666666666666666,0.4852791878172589
n_characters,2755,5794,3090,2026,5560
n_sentences,24,51,25,18,50
entropy,11.897554006006274,30.30193958613421,13.703496043021136,8.364033390566568,28.506384103127917
perplexity,146906.8521405323,14453237966831.176,894031.2805929767,4289.9630145443625,2399746213048.3677
per_word_perplexity,280.356588054451,11731524323.726604,1500.0524842164039,11.2302696715821,2045819448.4640815
dependency_distance_mean,2.700101595582145,2.741940171275217,2.8005519316081826,2.5274146568399214,2.7316920594950362
dependency_distance_std,0.6597737751195282,0.766784524984456,0.8287504190464698,0.44439488053128984,0.7180669435294667
prop_adjacent_dependency_relation_mean,0.4719455858257346,0.46940874842840885,0.463751817108687,0.490790529911192,0.4649224844154331
prop_adjacent_dependency_relation_std,0.08007353214381914,0.07696319187609915,0.08416451155293816,0.09110289889508894,0.07469151147837706
first_order_coherence,0.7281229547832323,0.7394922333955765,0.7489638403058052,0.7637420033707338,0.7381445795905833
second_order_coherence,0.7307131642645056,0.6976534114884478,0.7414495763571366,0.7706978656351566,0.707006835572732
flesch_reading_ease,28.446907698056805,42.92666000380737,32.141109202454004,38.483768436578174,42.804779187817275
flesch_kincaid_grade,13.90817264573991,12.28918903483724,13.635537014314927,12.57033923303835,12.182949238578683
smog,16.00919986374329,14.413705625259887,15.00282015840023,14.712192995108573,14.294559927831006
gunning_fog,18.375037369207774,15.806586712354846,16.65835582822086,16.264896755162244,15.636345177664976
automated_readability_index,16.121666666666663,14.234650866171712,17.062699386503063,15.510294985250738,14.102649746192895
coleman_liau_index,17.887174887892375,14.65192233009709,18.531860940695292,16.989026548672566,14.75987817258883
lix,61.63266068759343,53.59413668379973,61.07329243353783,60.721238938053105,53.40558375634518
rix,8.0,6.745098039215686,8.12,7.888888888888889,6.64
connectives,4,16,17,10,17
pos_prop_X,,0.0008116883116883117,,,
pos_prop_SYM,,0.0008116883116883117,,,0.0008525149190110827
duplicate_ngram_chr_fraction_6,,0.005005152362726336,,,0.005217124443762468
duplicate_ngram_chr_fraction_7,,0.005005152362726336,,,0.005217124443762468
duplicate_ngram_chr_fraction_8,,0.005005152362726336,,,0.005217124443762468
oov_ratio,,0.012987012987012988,0.013422818791946308,,0.011935208866155157
