,explain,human-full,create,human-cont,continue
entropy,16.713409038745958,16.447493192238202,18.99048426803455,14.24986066262485,9.360367865641303
perplexity,18135992.157568302,13901303.799651643,176791966.36696434,1543959.3208574255,11618.661862489978
per_word_perplexity,31108.048297715784,21619.44603367285,251840.40793014862,2853.8989294961652,31.40178881754048
flesch_reading_ease,54.15665188284518,61.57342996289427,54.118145695364234,62.60245161290325,40.40697601963748
flesch_kincaid_grade,10.455502928870295,9.453307050092768,11.069877010406817,9.148301075268819,12.762717145015106
smog,13.348371206891418,12.226035060777338,13.81666964889586,11.905187351434009,14.554592549557764
gunning_fog,14.342560669456066,12.969016697588126,15.118637653736995,12.515268817204301,16.009138972809666
automated_readability_index,11.965753138075314,10.853682745825601,12.492419583727532,10.51851612903226,15.893085347432027
coleman_liau_index,12.408619246861921,10.949610389610385,11.711854304635757,10.883182795698925,16.450392749244717
lix,51.12836820083682,45.59508348794063,50.71050141911069,44.83655913978495,61.170883685800604
rix,6.12,5.071428571428571,6.285714285714286,4.88,8.375
passed_quality_check,True,True,True,True,True
n_stop_words,189.0,211.0,242.0,185.0,144.0
alpha_ratio,0.7993138936535163,0.7822706065318819,0.8276353276353277,0.8096118299445472,0.9027027027027027
mean_word_length,4.341337907375643,4.2006220839813375,4.371794871794871,4.280961182994455,5.2405405405405405
doc_length,583.0,643.0,702.0,541.0,370.0
duplicate_ngram_chr_fraction_5,0.060828877005347594,0.04779639975170701,0.03776683087027915,0.05563583815028902,0.020309050772626933
duplicate_ngram_chr_fraction_6,0.01871657754010695,0.02669149596523898,0.03776683087027915,0.03106936416184971,
top_ngram_chr_fraction_2,0.029411764705882353,0.013966480446927373,0.010946907498631636,0.014450867052023121,0.017660044150110375
top_ngram_chr_fraction_3,0.02606951871657754,0.03227808814400993,0.021346469622331693,0.0328757225433526,0.022958057395143488
top_ngram_chr_fraction_4,0.015040106951871657,0.02638112973308504,,0.024566473988439308,0.031788079470198675
oov_ratio,0.0017152658662092624,0.006220839813374806,0.004273504273504274,0.005545286506469501,
token_length_mean,5.060669456066946,4.810760667903525,4.912251655629139,4.808602150537634,5.72809667673716
token_length_median,4.0,4.0,4.0,4.0,5.0
token_length_std,3.0302659430683287,2.866445112792088,2.9460798225396756,2.8367653817267153,3.0412713497282313
sentence_length_mean,19.12,19.25,21.571428571428573,18.6,20.6875
sentence_length_median,16.0,16.5,19.5,16.0,21.0
sentence_length_std,9.584654401698582,11.915251331202136,10.185523941319055,11.845674315968678,4.551356253909377
syllables_per_token_mean,1.5753138075313808,1.4860853432282004,1.5463576158940397,1.4817204301075269,1.7190332326283988
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,0.9156801241751139,0.8447652186970317,0.9059241985772463,0.8425443080859232,1.0295778189629117
n_tokens,478,539,604,465,331
n_unique_tokens,252,286,293,241,180
proportion_unique_tokens,0.5271966527196653,0.5306122448979592,0.48509933774834435,0.5182795698924731,0.5438066465256798
n_characters,2531,2701,3069,2316,1939
n_sentences,25,28,28,25,16
pos_prop_DET,0.07204116638078903,0.07620528771384137,0.0754985754985755,0.08502772643253234,0.06486486486486487
pos_prop_ADJ,0.07032590051457976,0.07309486780715396,0.0754985754985755,0.066543438077634,0.10270270270270271
pos_prop_NOUN,0.27787307032590053,0.28149300155520995,0.27635327635327633,0.28650646950092423,0.2810810810810811
pos_prop_VERB,0.09777015437392796,0.07620528771384137,0.10683760683760683,0.07763401109057301,0.13243243243243244
pos_prop_NUM,0.032590051457975985,0.06531881804043546,0.039886039886039885,0.059149722735674676,0.002702702702702703
pos_prop_PUNCT,0.14751286449399656,0.1321928460342146,0.11396011396011396,0.11645101663585952,0.0945945945945946
pos_prop_ADP,0.08747855917667238,0.07465007776049767,0.10398860398860399,0.07578558225508318,0.08378378378378379
pos_prop_ADV,0.025728987993138937,0.03265940902021773,0.024216524216524215,0.03512014787430684,0.032432432432432434
pos_prop_PRON,0.03945111492281304,0.024883359253499222,0.037037037037037035,0.022181146025878003,0.07567567567567568
pos_prop_AUX,0.03773584905660377,0.049766718506998445,0.039886039886039885,0.05545286506469501,0.021621621621621623
pos_prop_PROPN,0.022298456260720412,0.029548989113530325,0.021367521367521368,0.033271719038817,
pos_prop_CCONJ,0.036020583190394515,0.04354587869362364,0.045584045584045586,0.04066543438077634,0.051351351351351354
pos_prop_SCONJ,0.008576329331046312,0.007776049766718507,0.004273504273504274,0.0073937153419593345,0.01891891891891892
pos_prop_PART,0.0274442538593482,0.02021772939346812,0.018518518518518517,0.024029574861367836,0.03783783783783784
pos_prop_SYM,0.017152658662092625,0.012441679626749611,0.017094017094017096,0.014787430683918669,
dependency_distance_mean,2.729485151940629,2.7550084256138567,2.8881538180801343,2.6587718298499126,2.6840258864175706
dependency_distance_std,0.5116383017217287,0.9498647092613082,0.5780994610748351,0.8268456526832035,0.4491924994890823
prop_adjacent_dependency_relation_mean,0.45548580598357175,0.4455610324218749,0.4487497779534034,0.44967548695963055,0.4478026949393081
prop_adjacent_dependency_relation_std,0.0643155967736457,0.07006688043270491,0.061808866028497125,0.06959220645483699,0.05352047593371897
first_order_coherence,0.7062855338056883,0.676682702921055,0.7523973451720344,0.6959480742613474,0.8907202879587809
second_order_coherence,0.7302980604379073,0.6717524264867489,0.7763201273404635,0.6645478360030962,0.8829236882073539
connectives,8,14,8,12,8
duplicate_ngram_chr_fraction_7,,0.02669149596523898,0.022441160372194856,0.03106936416184971,
