,continue,human-full,human-cont,create,explain
entropy,1.5804636146196347,11.391308038488276,10.158820818812746,4.82065023961983,4.563014747008616
perplexity,4.857207161568342,88548.70676124832,25817.835197676573,124.0457240059429,95.8720746415501
per_word_perplexity,0.03981317345547821,99.82943265078728,33.39952806943929,0.328163291021013,0.2922929104925308
dependency_distance_mean,3.0310355250295826,3.5767353851582087,3.4986567058133384,3.335710700649236,3.3858924107690553
dependency_distance_std,0.678708180925104,0.8921408662776221,0.855796208628751,0.727996372513378,0.9546270858188388
prop_adjacent_dependency_relation_mean,0.5012817049956269,0.4244274140682603,0.431351889541555,0.450862008244088,0.4673361421716685
prop_adjacent_dependency_relation_std,0.09690064823994171,0.06871481141842822,0.074919491808861,0.0887645135460387,0.06832241659096228
flesch_reading_ease,13.685384615384635,-14.456824176278445,-13.139626327389294,-11.5203963035365,-17.549950657894726
flesch_kincaid_grade,17.809615384615388,20.79387324817066,20.252929272690846,19.703227296961085,20.132313596491233
smog,17.693802365651003,19.469769564561354,19.024435895343842,18.370089372702267,18.31093147301405
gunning_fog,20.400000000000002,23.618818471205923,23.216509717491487,22.410591789585926,22.98464912280702
automated_readability_index,16.886249999999997,20.422786390508087,19.76956571829293,19.653118891060956,19.785197368421052
coleman_liau_index,14.666538461538462,21.2518417462483,21.241677018633542,21.814622356495473,22.872982456140345
lix,54.84615384615384,62.184836082516846,61.45742336205169,60.2560867247201,59.91776315789473
rix,7.5,8.878787878787879,8.451612903225806,7.9411764705882355,7.5
token_length_mean,5.375,6.527967257844475,6.541925465838509,6.6555891238670695,6.859649122807017
token_length_median,4.0,5.0,5.0,6.0,6.0
token_length_std,3.883365659599138,4.258155912503661,4.12383392372553,3.9934754794788625,4.2245672320295515
sentence_length_mean,26.0,22.21212121212121,20.774193548387096,19.470588235294116,17.8125
sentence_length_median,28.5,19.0,18.0,19.0,17.5
sentence_length_std,5.338539126015656,10.98692770290876,8.44988901404248,6.660839437107039,4.544484981821372
syllables_per_token_mean,1.9711538461538463,2.34924965893588,2.3509316770186337,2.3474320241691844,2.43859649122807
syllables_per_token_median,1.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.3899137408848765,1.6279415970902391,1.5785289957308437,1.4759351761411568,1.5874236421437131
n_tokens,104,733,644,331,285
n_unique_tokens,63,373,341,211,175
proportion_unique_tokens,0.6057692307692307,0.5088676671214188,0.5295031055900621,0.6374622356495468,0.6140350877192983
n_characters,577,4940,4342,2250,1998
n_sentences,4,33,31,17,16
pos_prop_ADP,0.1885245901639344,0.10597519729425028,0.1073738680465718,0.09788359788359788,0.10060975609756098
pos_prop_DET,0.08196721311475409,0.10710259301014656,0.11642949547218628,0.12698412698412698,0.125
pos_prop_NOUN,0.1885245901639344,0.2040586245772266,0.2056921086675291,0.2222222222222222,0.2225609756097561
pos_prop_PROPN,0.1721311475409836,0.07328072153325817,0.062095730918499355,0.018518518518518517,0.012195121951219513
pos_prop_PUNCT,0.11475409836065574,0.1488162344983089,0.14359637774902975,0.11904761904761904,0.13109756097560976
pos_prop_CCONJ,0.00819672131147541,0.014656144306651634,0.014230271668822769,0.018518518518518517,0.027439024390243903
pos_prop_AUX,0.01639344262295082,0.04509582863585118,0.04915912031047866,0.08465608465608465,0.0701219512195122
pos_prop_VERB,0.04918032786885246,0.05186020293122886,0.05304010349288486,0.082010582010582,0.07926829268292683
pos_prop_SCONJ,0.00819672131147541,0.012401352874859075,0.0129366106080207,0.031746031746031744,0.03048780487804878
pos_prop_ADJ,0.05737704918032787,0.08906426155580609,0.08926261319534282,0.08465608465608465,0.08841463414634146
pos_prop_ADV,0.03278688524590164,0.0552423900789177,0.05821474773609314,0.06084656084656084,0.0701219512195122
pos_prop_X,0.01639344262295082,0.02367531003382187,0.02328589909443726,0.005291005291005291,0.009146341463414634
pos_prop_NUM,0.05737704918032787,0.04284103720405862,0.03880983182406209,0.021164021164021163,0.006097560975609756
pos_prop_PRON,0.00819672131147541,0.013528748590755355,0.0129366106080207,0.021164021164021163,0.027439024390243903
first_order_coherence,0.6112534403800964,0.5576715455390513,0.5512818867961565,0.6384626030921936,0.6409036457538605
second_order_coherence,0.6392260789871216,0.48751675541843137,0.5022261002711181,0.6342003206411998,0.627003612262862
passed_quality_check,True,True,True,True,True
n_stop_words,36.0,295.0,271.0,152.0,141.0
alpha_ratio,0.7950819672131147,0.7779030439684329,0.7891332470892626,0.8544973544973545,0.8658536585365854
mean_word_length,4.729508196721311,5.569334836527621,5.6170763260025875,5.9523809523809526,6.091463414634147
doc_length,122.0,887.0,773.0,378.0,328.0
duplicate_ngram_chr_fraction_5,0.08235294117647059,0.03479789103690686,0.013994402239104359,0.06431615652847733,0.03244191144234985
duplicate_ngram_chr_fraction_6,0.08235294117647059,,,0.04416892677256877,0.03244191144234985
top_ngram_chr_fraction_2,0.03529411764705882,0.00843585237258348,0.007996801279488205,0.016272762495156915,0.01578255151249452
oov_ratio,0.07377049180327869,0.07102593010146561,0.06727037516170763,0.0291005291005291,0.039634146341463415
connectives,1,14,14,7,13
pos_prop_PART,,0.012401352874859075,0.0129366106080207,0.005291005291005291,
top_ngram_chr_fraction_3,,0.007381370826010545,0.007197121151539384,,0.01183691363437089
top_ngram_chr_fraction_4,,0.00843585237258348,0.004198320671731308,,
