,human-full,explain,create,human-cont,continue
entropy,10.139259052471022,4.218070001680022,6.258849089023638,8.785792275734835,2.2158349941406206
perplexity,25317.70044613955,67.90230640630452,522.617108080765,6540.652929185519,9.16906202916284
per_word_perplexity,33.0087359141324,0.21974856442169746,1.2746758733677195,10.03167627175693,0.06032277650765026
dependency_distance_mean,3.1787212765418165,3.0724511829703474,2.6534481473293763,3.3073123794139745,3.1413235080431474
dependency_distance_std,1.0280450928588802,0.7522824728563217,0.6819328572404673,1.0302695244633584,0.43817551671209387
prop_adjacent_dependency_relation_mean,0.46399360026428454,0.4473418825905702,0.47004545746617876,0.46091974831073484,0.4949411376783293
prop_adjacent_dependency_relation_std,0.07312405396843877,0.05436018668693788,0.09450326853038278,0.066532946372252,0.06196949677675349
flesch_reading_ease,-16.971498093185176,-30.317794117647026,-0.7685073260072954,-14.681639058413197,-47.83709899749371
flesch_kincaid_grade,20.004211573536725,21.711323529411768,17.134340659340662,19.75478058703865,25.438458646616542
smog,17.79939972611514,19.223945234577435,16.62779280708321,17.639490048335663,21.932049901544705
gunning_fog,22.017973802022883,25.476470588235298,20.791941391941393,21.575704736995064,28.415538847117798
automated_readability_index,19.18775866357155,21.563823529411764,16.871849816849817,18.896153443766345,25.562656641604015
coleman_liau_index,22.228282208588954,25.521176470588234,20.597582417582412,21.71488288288288,27.694135338345863
lix,59.33941303266457,68.10294117647058,58.57326007326007,58.263586166811976,72.54260651629073
rix,7.351351351351352,8.6875,6.583333333333333,7.225806451612903,11.166666666666666
token_length_mean,6.7530674846625764,7.323529411764706,6.521978021978022,6.661261261261261,7.62406015037594
token_length_median,5.0,7.0,5.0,5.0,7.0
token_length_std,4.477490372785921,4.621532647709073,4.011941028069054,4.420329186942047,4.901436806008951
sentence_length_mean,17.62162162162162,17.0,15.166666666666666,17.903225806451612,22.166666666666668
sentence_length_median,16.0,17.0,15.5,17.0,21.0
sentence_length_std,7.768096053040426,4.8218253804964775,5.557777333511022,7.402505411572914,6.986097305044895
syllables_per_token_mean,2.434049079754601,2.599264705882353,2.271978021978022,2.4036036036036035,2.744360902255639
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.712532347296238,1.7228138885662252,1.5173666603476397,1.6881104062740677,1.8704433768870254
n_tokens,652,272,364,555,133
n_unique_tokens,332,166,204,287,99
proportion_unique_tokens,0.50920245398773,0.6102941176470589,0.5604395604395604,0.5171171171171172,0.7443609022556391
n_characters,4518,2029,2420,3794,1033
n_sentences,37,16,24,31,6
pos_prop_PROPN,0.06910039113428944,0.019417475728155338,0.04390243902439024,0.0736196319018405,0.046052631578947366
pos_prop_NOUN,0.18904823989569752,0.21359223300970873,0.25609756097560976,0.18558282208588958,0.23026315789473684
pos_prop_CCONJ,0.024771838331160364,0.032362459546925564,0.03902439024390244,0.02147239263803681,0.05263157894736842
pos_prop_ADJ,0.10691003911342895,0.1553398058252427,0.10975609756097561,0.10736196319018405,0.10526315789473684
pos_prop_PUNCT,0.12516297262059975,0.11974110032362459,0.10975609756097561,0.12269938650306748,0.125
pos_prop_DET,0.12255541069100391,0.11326860841423948,0.15365853658536585,0.12423312883435583,0.1118421052631579
pos_prop_ADP,0.10821382007822686,0.10032362459546926,0.1024390243902439,0.11042944785276074,0.10526315789473684
pos_prop_VERB,0.048239895697522815,0.061488673139158574,0.08048780487804878,0.049079754601226995,0.06578947368421052
pos_prop_PRON,0.014341590612777053,0.032362459546925564,0.014634146341463415,0.013803680981595092,0.006578947368421052
pos_prop_ADV,0.10039113428943937,0.08090614886731391,0.03170731707317073,0.09815950920245399,0.05921052631578947
pos_prop_AUX,0.04432855280312908,0.042071197411003236,0.02926829268292683,0.04294478527607362,0.05921052631578947
pos_prop_SCONJ,0.005215123859191656,0.019417475728155338,0.007317073170731708,0.004601226993865031,0.013157894736842105
pos_prop_NUM,0.024771838331160364,,0.0024390243902439024,0.02607361963190184,
pos_prop_PART,0.010430247718383311,0.009708737864077669,0.01951219512195122,0.012269938650306749,0.013157894736842105
pos_prop_X,0.00651890482398957,,,0.007668711656441718,0.006578947368421052
first_order_coherence,0.43092077458277345,0.650465323527654,0.5133090051619903,0.4708032986770074,0.5016279518604279
second_order_coherence,0.4967915288039616,0.6137114082063947,0.5462690971114419,0.5241392933089157,0.6815938875079155
passed_quality_check,True,True,True,True,True
n_stop_words,281.0,123.0,155.0,241.0,60.0
alpha_ratio,0.8252933507170795,0.8802588996763754,0.8853658536585366,0.8251533742331288,0.875
mean_word_length,5.8904823989569755,6.566343042071197,5.902439024390244,5.819018404907975,6.796052631578948
doc_length,767.0,309.0,410.0,652.0,152.0
duplicate_ngram_chr_fraction_5,0.023192887514495556,,0.04311893639956881,0.02756086357372531,
top_ngram_chr_fraction_2,0.006957866254348666,0.012179208351457155,0.007186489399928135,0.008268259072117593,0.04463519313304721
top_ngram_chr_fraction_3,0.00676459219172787,0.0674206176598521,,0.008038585209003215,0.03862660944206009
top_ngram_chr_fraction_4,0.004638577502899111,0.04567203131796433,,0.005512172714745062,0.048927038626609444
oov_ratio,0.08735332464146023,0.09061488673139159,0.06829268292682927,0.0736196319018405,0.10526315789473684
connectives,21,7,7,19,4
duplicate_ngram_chr_fraction_6,,,0.04311893639956881,,
duplicate_ngram_chr_fraction_7,,,0.04311893639956881,,
duplicate_ngram_chr_fraction_8,,,0.04311893639956881,,
duplicate_ngram_chr_fraction_9,,,0.04311893639956881,,
duplicate_ngram_chr_fraction_10,,,0.04311893639956881,,
