,continue,human-full,create,human-cont,explain
pos_prop_ADV,0.06557377049180328,0.07470288624787776,0.04356435643564356,0.07306889352818371,0.0659025787965616
pos_prop_AUX,0.060109289617486336,0.06451612903225806,0.03564356435643564,0.06889352818371608,0.06876790830945559
pos_prop_PRON,0.01092896174863388,0.01867572156196944,0.0297029702970297,0.016701461377870562,0.03151862464183381
pos_prop_PUNCT,0.13114754098360656,0.14261460101867574,0.15247524752475247,0.1544885177453027,0.14613180515759314
pos_prop_DET,0.16393442622950818,0.1273344651952462,0.1485148514851485,0.12734864300626306,0.1346704871060172
pos_prop_NOUN,0.24043715846994534,0.21392190152801357,0.23564356435643563,0.21085594989561587,0.20630372492836677
pos_prop_ADP,0.08196721311475409,0.0831918505942275,0.07920792079207921,0.07933194154488518,0.0830945558739255
pos_prop_ADJ,0.09289617486338798,0.08488964346349745,0.08316831683168317,0.06680584551148225,0.0830945558739255
pos_prop_CCONJ,0.0546448087431694,0.022071307300509338,0.02574257425742574,0.018789144050104383,0.0057306590257879654
pos_prop_PART,0.01092896174863388,0.013582342954159592,0.0019801980198019802,0.014613778705636743,0.02005730659025788
pos_prop_VERB,0.04371584699453552,0.07640067911714771,0.07326732673267326,0.07933194154488518,0.08882521489971347
pos_prop_PROPN,0.03825136612021858,0.04753820033955857,0.04554455445544554,0.05845511482254697,0.017191977077363897
pos_prop_SCONJ,0.00546448087431694,0.011884550084889643,0.009900990099009901,0.012526096033402923,0.034383954154727794
passed_quality_check,True,True,True,True,True
n_stop_words,76.0,223.0,182.0,180.0,154.0
alpha_ratio,0.8688524590163934,0.830220713073005,0.8198019801980198,0.8162839248434238,0.8424068767908309
mean_word_length,6.540983606557377,6.32088285229202,5.992079207920792,6.062630480167015,6.19484240687679
doc_length,183.0,589.0,505.0,479.0,349.0
top_ngram_chr_fraction_2,0.01107011070110701,0.007575757575757576,0.006956521739130435,0.009679370840895343,0.009760065067100447
top_ngram_chr_fraction_3,0.04649446494464945,0.008285984848484848,0.00782608695652174,0.01058681185722928,0.018300122000813338
oov_ratio,0.08196721311475409,0.12563667232597622,0.08118811881188119,0.11482254697286012,0.10888252148997135
flesch_reading_ease,-35.10044025157231,-35.458463855421684,-15.31826801326497,-29.356766917293186,-28.986883142518707
flesch_kincaid_grade,22.544025157232706,22.623537005163517,18.825824540247215,22.074135338345865,21.65720884326885
smog,18.946978176291534,18.473206523352868,15.861915592131453,18.649436658719743,17.394153596732366
gunning_fog,24.425157232704404,23.33918531267929,19.915104009647273,23.138847117794487,21.239952625345442
automated_readability_index,22.150691823899372,21.700206540447503,17.915001507386194,21.405939849624062,20.699840110540862
coleman_liau_index,25.903396226415094,25.277911646586336,22.556635514018698,24.25894736842105,24.164697986577185
lix,64.83647798742139,63.76965002868617,56.56346095869762,63.611528822055135,59.81129095933676
rix,8.333333333333334,8.178571428571429,5.903225806451613,8.476190476190476,7.411764705882353
dependency_distance_mean,2.9930409908480082,3.108771177408624,2.708122171663154,3.229285899860434,3.4348015479930947
dependency_distance_std,0.9893188563798362,1.1337588687502578,0.7729352448876334,1.145744199554367,0.9205347375588857
prop_adjacent_dependency_relation_mean,0.46330192950419985,0.47367881693473485,0.4417677103523126,0.46495741050606476,0.4313469991841913
prop_adjacent_dependency_relation_std,0.06252910700378088,0.08394762178689001,0.09218523274188255,0.06923560006851362,0.08346568346723017
first_order_coherence,0.5217751562595367,0.5633429592406308,0.3597072946528594,0.5520197324454784,0.5881658559665084
second_order_coherence,0.510355029787336,0.5499986392947344,0.3716571942485612,0.521001124852582,0.54615601648887
entropy,3.2612579497905676,8.233288740998178,6.27791305726614,6.796052947868128,4.93967082033598
perplexity,26.08232677184086,3764.1928734039084,532.6758390568494,894.3104262716298,139.72424760808173
per_word_perplexity,0.14252637580240907,6.390819819021916,1.0548036416967315,1.8670363805253232,0.40035601033834306
token_length_mean,7.377358490566038,7.269076305220883,6.88785046728972,7.0776942355889725,7.083892617449664
token_length_median,6.0,6.0,5.0,6.0,6.0
token_length_std,4.947115601121079,4.872252345875402,4.735187633195247,4.741591020983097,4.944287831727197
sentence_length_mean,17.666666666666668,17.785714285714285,13.806451612903226,19.0,17.529411764705884
sentence_length_median,17.0,15.5,13.0,16.0,17.0
sentence_length_std,4.422166387140534,9.751765931128075,6.649857407342001,10.244626930854093,5.030701588994189
syllables_per_token_mean,2.647798742138365,2.6506024096385543,2.460280373831776,2.56390977443609,2.577181208053691
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.9783048609901575,2.0006047375275027,1.862269722548631,1.9182021532235016,2.023954558386122
n_tokens,159,498,428,399,298
n_unique_tokens,103,292,244,240,176
proportion_unique_tokens,0.6477987421383647,0.5863453815261044,0.5700934579439252,0.6015037593984962,0.5906040268456376
n_characters,1197,3723,3026,2904,2162
n_sentences,9,28,31,21,17
connectives,7,15,8,13,16
pos_prop_NUM,,0.013582342954159592,0.02574257425742574,0.012526096033402923,0.014326647564469915
pos_prop_X,,0.0050933786078098476,0.009900990099009901,0.006263048016701462,
duplicate_ngram_chr_fraction_5,,0.004261363636363636,0.028405797101449276,0.0054446460980036296,0.016266775111834077
top_ngram_chr_fraction_4,,0.005681818181818182,0.02,0.007259528130671506,
duplicate_ngram_chr_fraction_6,,,0.016231884057971015,,
