,create,human-full,explain,continue,human-cont
dependency_distance_mean,3.4174386985256,3.1787212765418165,3.2155926137625674,3.0153691493691497,3.3073123794139745
dependency_distance_std,0.7532462185366525,1.0280450928588802,1.0268163689501044,0.8172980356493906,1.0302695244633584
prop_adjacent_dependency_relation_mean,0.41115555505412243,0.46399360026428454,0.45942560394326,0.49457113257113255,0.46091974831073484
prop_adjacent_dependency_relation_std,0.07504502487115718,0.07312405396843877,0.059281744724257186,0.08129140313104966,0.066532946372252
entropy,6.841620644241843,10.139259052471022,5.679108328354177,3.6431443353801036,8.785792275734835
perplexity,936.0048370398371,25317.70044613955,292.6883316464928,38.21179873686915,6540.652929185519
per_word_perplexity,2.084643289621018,33.0087359141324,0.7743077556785525,0.16833391514039273,10.03167627175693
token_length_mean,6.842105263157895,6.7530674846625764,7.05607476635514,7.534313725490196,6.661261261261261
token_length_median,6.0,5.0,6.0,6.0,5.0
token_length_std,4.222820397461917,4.477490372785921,4.702021390135151,5.118574309356058,4.420329186942047
sentence_length_mean,19.0,17.62162162162162,17.833333333333332,20.4,17.903225806451612
sentence_length_median,19.0,16.0,17.5,22.5,17.0
sentence_length_std,4.947341758580104,7.768096053040426,4.935697631653616,7.8,7.402505411572914
syllables_per_token_mean,2.4461152882205512,2.434049079754601,2.479750778816199,2.7401960784313726,2.4036036036036035
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.6040296051436513,1.712532347296238,1.7686420332952189,2.1065146292209502,1.6881104062740677
n_tokens,399,652,321,204,555
n_unique_tokens,214,332,197,126,287
proportion_unique_tokens,0.5363408521303258,0.50920245398773,0.6137071651090342,0.6176470588235294,0.5171171171171172
n_characters,2780,4518,2322,1560,3794
n_sentences,21,37,18,10,31
first_order_coherence,0.6905231893062591,0.43092077458277345,0.5912076331236783,0.765828808148702,0.4708032986770074
second_order_coherence,0.6864205018470162,0.4967915288039616,0.5774245243519545,0.7529837489128113,0.5241392933089157
pos_prop_ADJ,0.133630289532294,0.10691003911342895,0.10052910052910052,0.11013215859030837,0.10736196319018405
pos_prop_NOUN,0.22271714922049,0.18904823989569752,0.20105820105820105,0.2290748898678414,0.18558282208588958
pos_prop_PUNCT,0.111358574610245,0.12516297262059975,0.1455026455026455,0.1013215859030837,0.12269938650306748
pos_prop_ADP,0.08463251670378619,0.10821382007822686,0.08465608465608465,0.09251101321585903,0.11042944785276074
pos_prop_DET,0.1759465478841871,0.12255541069100391,0.1455026455026455,0.14537444933920704,0.12423312883435583
pos_prop_VERB,0.0757238307349666,0.048239895697522815,0.05555555555555555,0.06607929515418502,0.049079754601226995
pos_prop_PRON,0.0200445434298441,0.014341590612777053,0.013227513227513227,0.00881057268722467,0.013803680981595092
pos_prop_CCONJ,0.026726057906458798,0.024771838331160364,0.03439153439153439,0.06167400881057269,0.02147239263803681
pos_prop_AUX,0.044543429844097995,0.04432855280312908,0.0582010582010582,0.06607929515418502,0.04294478527607362
pos_prop_SCONJ,0.031180400890868598,0.005215123859191656,0.013227513227513227,0.004405286343612335,0.004601226993865031
pos_prop_ADV,0.035634743875278395,0.10039113428943937,0.08465608465608465,0.07048458149779736,0.09815950920245399
pos_prop_PROPN,0.022271714922048998,0.06910039113428944,0.047619047619047616,0.022026431718061675,0.0736196319018405
pos_prop_PART,0.013363028953229399,0.010430247718383311,0.010582010582010581,0.01762114537444934,0.012269938650306749
pos_prop_NUM,0.0022271714922048997,0.024771838331160364,0.005291005291005291,,0.02607361963190184
flesch_reading_ease,-19.391353383458608,-16.971498093185176,-21.052749221183745,-45.69158823529409,-14.681639058413197
flesch_kincaid_grade,20.684160401002504,20.004211573536725,20.626059190031153,24.700313725490194,19.75478058703865
smog,19.525871328526843,17.79939972611514,18.422482065455632,20.55063469129514,17.639490048335663
gunning_fog,24.943358395989975,22.017973802022883,23.208099688473524,26.395294117647058,21.575704736995064
automated_readability_index,20.29631578947368,19.18775866357155,20.72077881619937,24.256617647058825,18.896153443766345
coleman_liau_index,22.87368421052631,22.228282208588954,24.02990654205607,27.050784313725483,21.71488288288288
lix,65.61654135338345,59.33941303266457,62.070093457943926,67.94901960784313,58.263586166811976
rix,8.857142857142858,7.351351351351352,7.888888888888889,9.7,7.225806451612903
passed_quality_check,True,True,True,True,True
n_stop_words,180.0,281.0,148.0,99.0,241.0
alpha_ratio,0.8864142538975501,0.8252933507170795,0.843915343915344,0.8986784140969163,0.8251533742331288
mean_word_length,6.1915367483296215,5.8904823989569755,6.142857142857143,6.872246696035242,5.819018404907975
doc_length,449.0,767.0,378.0,227.0,652.0
duplicate_ngram_chr_fraction_5,0.06893295561850803,0.023192887514495556,0.01968951154865581,,0.02756086357372531
duplicate_ngram_chr_fraction_6,0.04406672961913755,,0.01968951154865581,,
top_ngram_chr_fraction_2,0.00881334592382751,0.006957866254348666,0.013252555850056797,0.014180374361883154,0.008268259072117593
top_ngram_chr_fraction_3,0.012275731822474031,0.00676459219172787,0.022718667171525937,,0.008038585209003215
top_ngram_chr_fraction_4,0.0169971671388102,0.004638577502899111,,,0.005512172714745062
oov_ratio,0.05790645879732739,0.08735332464146023,0.10052910052910052,0.09251101321585903,0.0736196319018405
connectives,5,21,6,2,19
pos_prop_X,,0.00651890482398957,,0.004405286343612335,0.007668711656441718
