,human-full,continue,human-cont,explain,create
passed_quality_check,True,True,True,,True
n_stop_words,352.0,35.0,548.0,27.0,201.0
alpha_ratio,0.7319252640129975,0.7818181818181819,0.7161152614727855,0.8095238095238095,0.8677354709418837
mean_word_length,5.138099106417546,5.345454545454546,5.022945570971185,5.063492063492063,5.907815631262525
doc_length,1231.0,110.0,1874.0,63.0,499.0
duplicate_ngram_chr_fraction_5,0.030727023319615913,0.09821428571428571,0.06757999264435455,0.1774193548387097,0.11409991132131245
duplicate_ngram_chr_fraction_6,0.02496570644718793,0.09821428571428571,0.05654652445752115,,0.09932013006207509
duplicate_ngram_chr_fraction_7,0.019478737997256516,0.09821428571428571,0.030893710923133505,,0.06030150753768844
duplicate_ngram_chr_fraction_8,0.008093278463648833,0.09821428571428571,0.016274365575579257,,0.03665385752290866
duplicate_ngram_chr_fraction_9,0.0031550068587105624,0.09821428571428571,0.002114748069143067,,0.03665385752290866
top_ngram_chr_fraction_2,0.01646090534979424,,0.0158146377344612,,0.016553355010345848
top_ngram_chr_fraction_3,0.013991769547325103,,0.013791835233541744,,0.01182382500738989
top_ngram_chr_fraction_4,0.009602194787379973,,0.011585141596175064,,
oov_ratio,0.11616571892770106,0.12727272727272726,0.11259338313767342,0.09523809523809523,0.08617234468937876
token_length_mean,6.295218295218295,6.031578947368421,6.166552433173407,5.7407407407407405,6.540723981900452
token_length_median,5.0,4.0,5.0,4.0,5.0
token_length_std,4.199811648602842,4.1611046903157,4.130540208223011,3.878646123017599,4.274455052013919
sentence_length_mean,13.0,9.5,14.028846153846153,13.5,11.333333333333334
sentence_length_median,12.0,3.0,13.0,13.0,12.0
sentence_length_std,8.933689652702897,9.635870484808313,10.801937798705406,5.024937810560445,5.653831618098647
syllables_per_token_mean,2.258835758835759,2.1578947368421053,2.2159013022618232,2.037037037037037,2.239819004524887
syllables_per_token_median,2.0,1.0,2.0,1.5,2.0
syllables_per_token_std,1.6617720597092267,1.6690103558297762,1.6093862554135774,1.3738694067401043,1.53730326374034
n_tokens,962,95,1459,54.0,442
n_unique_tokens,470,66,657,42.0,230
proportion_unique_tokens,0.4885654885654886,0.6947368421052632,0.45030843043180263,0.7777777777777778,0.5203619909502263
n_characters,6325,588,9413,319.0,2948
n_sentences,74,10,104,4.0,39
pos_prop_ADJ,0.07148659626320066,0.09090909090909091,0.06296691568836713,0.06349206349206349,0.06813627254509018
pos_prop_NOUN,0.21039805036555645,0.16363636363636364,0.2305229455709712,0.2698412698412698,0.2785571142284569
pos_prop_PUNCT,0.16084484159220147,0.12727272727272726,0.16275346851654215,0.09523809523809523,0.11623246492985972
pos_prop_VERB,0.0463038180341186,0.05454545454545454,0.0432230522945571,0.047619047619047616,0.0781563126252505
pos_prop_ADP,0.10804224207961008,0.08181818181818182,0.11686232657417289,0.1746031746031746,0.12424849699398798
pos_prop_DET,0.0926076360682372,0.05454545454545454,0.09284951974386339,0.1111111111111111,0.1342685370741483
