,human-full,create,explain,human-cont,continue
passed_quality_check,True,True,True,True,
n_stop_words,484.0,418.0,81.0,463.0,
alpha_ratio,0.8539458186101295,0.8475524475524475,0.8924050632911392,0.85375,0.5
mean_word_length,4.422850412249706,4.282517482517482,5.056962025316456,4.3775,6.5
doc_length,849.0,715.0,158.0,800.0,2.0
duplicate_ngram_chr_fraction_5,0.028118723499218925,0.024529844644317254,,0.009553379508000955,
duplicate_ngram_chr_fraction_6,0.028118723499218925,0.024529844644317254,,0.009553379508000955,
duplicate_ngram_chr_fraction_7,0.019192144610577996,,,,
top_ngram_chr_fraction_2,0.012274045971881276,0.01362769146906514,,0.013135896823501313,
top_ngram_chr_fraction_3,0.01740682883284981,0.012264922322158627,,0.010031048483401002,
oov_ratio,0.016489988221436984,0.005594405594405594,0.03164556962025317,0.01125,
first_order_coherence,0.5853385000955313,0.5517560984600675,0.7692170043786367,0.575457944264335,
second_order_coherence,0.5617930268247923,0.5258237472562878,0.7598799228668213,0.5551103733357836,
token_length_mean,4.991758241758242,4.860197368421052,5.546099290780142,4.938775510204081,12.0
token_length_median,4.0,4.0,5.0,4.0,12.0
token_length_std,2.708338403631629,2.529795074495253,3.1611003948709695,2.6262380313706797,
sentence_length_mean,11.2,10.857142857142858,20.142857142857142,10.88888888888889,1.0
sentence_length_median,12.0,11.0,19.0,12.0,1.0
sentence_length_std,4.452138639074311,5.015791389731646,4.997958767010258,4.440474417350738,
syllables_per_token_mean,1.6524725274725274,1.6398026315789473,1.851063829787234,1.6384839650145773,3.0
syllables_per_token_median,1.0,1.0,2.0,1.0,3.0
syllables_per_token_std,0.9266176451127355,0.9302277383825064,1.0976194111859918,0.908611235910476,
n_tokens,728,608,141,686,1.0
n_unique_tokens,342,284,105,331,1.0
proportion_unique_tokens,0.4697802197802198,0.46710526315789475,0.7446808510638298,0.48250728862973763,1.0
n_characters,3755,3062,799,3502,13.0
n_sentences,65,56,7,63,1.0
flesch_reading_ease,55.667824175824194,57.08769736842106,29.79000000000002,57.16703433754458,-47.97999999999996
flesch_kincaid_grade,8.277175824175824,7.993956766917297,14.108267477203647,7.990777453838678,20.200000000000006
smog,10.355215969177355,10.49104208412427,15.532846611407376,10.107222479100901,
gunning_fog,10.194285714285714,10.461278195488724,17.418844984802433,9.83660511823777,40.400000000000006
automated_readability_index,7.681181318681318,6.890101033834583,14.763556231003044,7.27607709750567,35.589999999999996
coleman_liau_index,10.908681318681317,10.0516447368421,15.341560283687944,10.521632653061218,25.160000000000007
lix,32.35384615384615,31.7453007518797,52.05775075987842,31.588597343699384,101.0
rix,2.3692307692307693,2.267857142857143,6.428571428571429,2.253968253968254,1.0
entropy,10.806575757670576,9.01117194648976,2.595889344532538,10.074311839202117,0.00011350325058497107
perplexity,49344.21221654465,8194.118718669863,13.408506842609475,23725.645701838213,1.0001135096923226
per_word_perplexity,58.12039130335059,11.46030590023757,0.08486396735828781,29.657057127297765,0.5000567548461613
dependency_distance_mean,2.6673476634301934,2.596219390989128,3.6054998322746337,2.6610535369288866,0.5
dependency_distance_std,0.6863108854906559,0.8229401961515799,0.7733925034167569,0.7110135810439095,
prop_adjacent_dependency_relation_mean,0.42816951404989967,0.417295061611321,0.45535907116469776,0.42283848789451023,0.5
prop_adjacent_dependency_relation_std,0.08151219466025514,0.0929410762015717,0.044275090615254996,0.0770478452661879,
pos_prop_PUNCT,0.1425206124852768,0.14965034965034965,0.10759493670886076,0.1425,0.5
pos_prop_PRON,0.13427561837455831,0.13706293706293707,0.06962025316455696,0.13625,
pos_prop_VERB,0.10247349823321555,0.1034965034965035,0.10126582278481013,0.1025,
pos_prop_SCONJ,0.02944640753828033,0.032167832167832165,0.02531645569620253,0.02875,
pos_prop_DET,0.07656065959952886,0.07972027972027972,0.12025316455696203,0.075,
pos_prop_NOUN,0.1166077738515901,0.11608391608391608,0.18354430379746836,0.11375,0.5
pos_prop_AUX,0.08244994110718493,0.08531468531468532,0.04430379746835443,0.085,
pos_prop_PROPN,0.02237926972909305,0.012587412587412588,0.02531645569620253,0.01625,
pos_prop_ADP,0.08598351001177856,0.07692307692307693,0.13291139240506328,0.08625,
pos_prop_ADJ,0.02120141342756184,0.022377622377622378,0.0379746835443038,0.01875,
pos_prop_CCONJ,0.01884570082449941,0.01818181818181818,0.04430379746835443,0.0175,
pos_prop_ADV,0.14487632508833923,0.14685314685314685,0.0759493670886076,0.15375,
pos_prop_PART,0.011778563015312132,0.013986013986013986,0.02531645569620253,0.0125,
pos_prop_NUM,0.01060070671378092,0.005594405594405594,0.006329113924050633,0.01125,
connectives,58,54,8,55,0.0
