,human-full,continue,human-cont,explain,create
pos_prop_PUNCT,0.1425206124852768,0.5,0.1425,0.10588235294117647,0.13109243697478992
pos_prop_PRON,0.13427561837455831,,0.13625,0.0784313725490196,0.12605042016806722
pos_prop_VERB,0.10247349823321555,,0.1025,0.12156862745098039,0.1092436974789916
pos_prop_SCONJ,0.02944640753828033,,0.02875,0.03137254901960784,0.025210084033613446
pos_prop_DET,0.07656065959952886,,0.075,0.11372549019607843,0.10756302521008404
pos_prop_NOUN,0.1166077738515901,0.5,0.11375,0.16862745098039217,0.13445378151260504
pos_prop_AUX,0.08244994110718493,,0.085,0.050980392156862744,0.08907563025210084
pos_prop_PROPN,0.02237926972909305,,0.01625,0.0392156862745098,0.018487394957983194
pos_prop_ADP,0.08598351001177856,,0.08625,0.12156862745098039,0.06890756302521009
pos_prop_ADJ,0.02120141342756184,,0.01875,0.03137254901960784,0.023529411764705882
pos_prop_CCONJ,0.01884570082449941,,0.0175,0.03529411764705882,0.040336134453781515
pos_prop_ADV,0.14487632508833923,,0.15375,0.07058823529411765,0.10084033613445378
pos_prop_PART,0.011778563015312132,,0.0125,0.03137254901960784,0.025210084033613446
pos_prop_NUM,0.01060070671378092,,0.01125,,
token_length_mean,4.991758241758242,12.0,4.938775510204081,5.5701754385964914,5.303675048355899
token_length_median,4.0,12.0,4.0,5.0,4.0
token_length_std,2.708338403631629,,2.6262380313706797,2.979371469821481,3.1448963959429475
sentence_length_mean,11.2,1.0,10.88888888888889,17.53846153846154,10.34
sentence_length_median,12.0,1.0,12.0,17.0,10.0
sentence_length_std,4.452138639074311,,4.440474417350738,4.733113865512357,4.5060403904093
syllables_per_token_mean,1.6524725274725274,3.0,1.6384839650145773,1.8070175438596492,1.702127659574468
syllables_per_token_median,1.0,3.0,1.0,2.0,1.0
syllables_per_token_std,0.9266176451127355,,0.908611235910476,0.9812022073059342,0.9972182388080105
n_tokens,728,1.0,686,228,517
n_unique_tokens,342,1.0,331,143,257
proportion_unique_tokens,0.4697802197802198,1.0,0.48250728862973763,0.6271929824561403,0.49709864603481624
n_characters,3755,13.0,3502,1297,2820
n_sentences,65,1.0,63,13,50
flesch_reading_ease,55.667824175824194,-47.97999999999996,57.16703433754458,36.159777327935245,52.3399
flesch_kincaid_grade,8.277175824175824,20.200000000000006,7.990777453838678,12.572807017543862,8.527706382978725
smog,10.355215969177355,,10.107222479100901,14.44419872828201,10.920247168421348
gunning_fog,10.194285714285714,40.400000000000006,9.83660511823777,15.962753036437249,11.331357833655707
automated_readability_index,7.681181318681318,35.589999999999996,7.27607709750567,13.574757085020245,8.720309477756281
coleman_liau_index,10.908681318681317,25.160000000000007,10.521632653061218,15.26491228070175,12.522940038684716
lix,32.35384615384615,101.0,31.588597343699384,49.11740890688259,35.29164410058027
rix,2.3692307692307693,1.0,2.253968253968254,5.538461538461538,2.58
dependency_distance_mean,2.6673476634301934,0.5,2.6610535369288866,3.0415476066893072,2.417641752983858
dependency_distance_std,0.6863108854906559,,0.7110135810439095,0.5093088332009569,0.7598984604414535
prop_adjacent_dependency_relation_mean,0.42816951404989967,0.5,0.42283848789451023,0.4362903622468399,0.4467611861822388
prop_adjacent_dependency_relation_std,0.08151219466025514,,0.0770478452661879,0.04578816583375267,0.11680214658930649
entropy,10.806575757670576,0.00011350325058497107,10.074311839202117,3.882672615727607,8.926192613147585
perplexity,49344.21221654465,1.0001135096923226,23725.645701838213,48.553807488369316,7526.554250056154
per_word_perplexity,58.12039130335059,0.5000567548461613,29.657057127297765,0.1904070881896836,12.649671008497737
passed_quality_check,True,,True,True,True
n_stop_words,484.0,,463.0,133.0,329.0
alpha_ratio,0.8539458186101295,0.5,0.85375,0.8941176470588236,0.8689075630252101
mean_word_length,4.422850412249706,6.5,4.3775,5.086274509803921,4.739495798319328
doc_length,849.0,2.0,800.0,255.0,595.0
duplicate_ngram_chr_fraction_5,0.028118723499218925,,0.009553379508000955,,
duplicate_ngram_chr_fraction_6,0.028118723499218925,,0.009553379508000955,,
duplicate_ngram_chr_fraction_7,0.019192144610577996,,,,
top_ngram_chr_fraction_2,0.012274045971881276,,0.013135896823501313,0.013123359580052493,0.016182199580461493
top_ngram_chr_fraction_3,0.01740682883284981,,0.010031048483401002,,0.008091099790230746
oov_ratio,0.016489988221436984,,0.01125,0.01568627450980392,0.0016806722689075631
first_order_coherence,0.5853385000955313,,0.575457944264335,0.753732313712438,0.5370813948767525
second_order_coherence,0.5617930268247923,,0.5551103733357836,0.772364312952215,0.5484768331128483
connectives,58,0.0,55,12,17
