,human-full,continue,create,human-cont,explain
first_order_coherence,0.4972665705939844,,0.48766636771374733,0.526710255337613,0.6060109168291092
second_order_coherence,0.4826508518762705,,0.4597462611938162,0.5031449601930731,0.6397531096424375
token_length_mean,5.217948717948718,5.0,5.514066496163683,5.185430463576159,5.112359550561798
token_length_median,4.0,4.0,4.0,4.0,4.0
token_length_std,3.1585293856720775,2.7284509239574835,3.38556913214299,3.159632191779296,2.848634085902854
sentence_length_mean,12.69767441860465,18.0,13.033333333333333,12.583333333333334,16.6875
sentence_length_median,13.0,18.0,12.5,13.0,17.5
sentence_length_std,5.7568357091694775,,6.944942204383145,5.524566347989074,6.141241222261181
syllables_per_token_mean,1.7344322344322345,1.7777777777777777,1.8286445012787724,1.7041942604856513,1.6591760299625469
syllables_per_token_median,1.0,1.5,1.0,1.0,1.0
syllables_per_token_std,1.1015246460130288,0.9749960430435691,1.2047637558377369,1.0655782570348893,0.9598396767004939
n_tokens,546,18,391,453,267
n_unique_tokens,293,17,240,255,162
proportion_unique_tokens,0.5366300366300366,0.9444444444444444,0.6138107416879796,0.5629139072847682,0.6067415730337079
n_characters,2928,92,2210,2414,1391
n_sentences,43,1,30,36,16
dependency_distance_mean,2.5683754520089654,3.3,2.6421972598933383,2.4486139207317286,2.772486413440361
dependency_distance_std,0.9029103288623027,,0.8973279137608459,0.7958745587819667,0.703261538886836
prop_adjacent_dependency_relation_mean,0.4254285795087163,0.5,0.4136975578887344,0.429800334326609,0.46807906186876236
prop_adjacent_dependency_relation_std,0.09113557418422215,,0.08334742257894139,0.09339747760758514,0.06682846140171972
pos_prop_NOUN,0.1968,0.2,0.21123595505617979,0.19111969111969113,0.2150170648464164
pos_prop_VERB,0.0976,0.1,0.10561797752808989,0.10231660231660232,0.10238907849829351
pos_prop_DET,0.1408,0.25,0.15280898876404495,0.13706563706563707,0.16723549488054607
pos_prop_PUNCT,0.1232,0.1,0.11685393258426967,0.12548262548262548,0.08873720136518772
pos_prop_CCONJ,0.0208,,0.02247191011235955,0.021235521235521235,0.027303754266211604
pos_prop_PRON,0.0896,0.05,0.07191011235955057,0.0945945945945946,0.05460750853242321
pos_prop_PROPN,0.0288,0.1,0.035955056179775284,0.023166023166023165,0.010238907849829351
pos_prop_X,0.0048,,0.0022471910112359553,0.0019305019305019305,0.0034129692832764505
pos_prop_ADP,0.1104,0.1,0.11685393258426967,0.10810810810810811,0.13993174061433447
pos_prop_ADV,0.0768,,0.058426966292134834,0.08687258687258688,0.08191126279863481
pos_prop_AUX,0.056,0.05,0.04719101123595506,0.055984555984555984,0.06143344709897611
pos_prop_ADJ,0.0208,,0.02696629213483146,0.015444015444015444,0.020477815699658702
pos_prop_NUM,0.0096,,0.0022471910112359553,0.009652509652509652,0.0034129692832764505
pos_prop_PART,0.0064,,0.008988764044943821,0.005791505791505791,0.0034129692832764505
pos_prop_SCONJ,0.0176,0.05,0.020224719101123594,0.021235521235521235,0.020477815699658702
entropy,9.61725699711587,0.28371604765085395,7.159181721533594,8.191669039989137,4.792814858747693
perplexity,15021.788564883826,1.328055772651423,1285.858312128493,3610.7436956643855,120.64047707038132
per_word_perplexity,24.03486170381412,0.06640278863257115,2.8895692407381866,6.970547675027771,0.4117422425610284
passed_quality_check,True,True,True,True,True
n_stop_words,312.0,10.0,213.0,264.0,158.0
alpha_ratio,0.8656,0.9,0.8741573033707866,0.8687258687258688,0.9044368600682594
mean_word_length,4.6848,4.6,4.966292134831461,4.66023166023166,4.747440273037543
doc_length,625.0,20.0,445.0,518.0,293.0
top_ngram_chr_fraction_2,0.03223949337938975,,0.006917755572636433,0.039078855547801813,0.01448400724200362
oov_ratio,0.0096,0.05,0.02696629213483146,0.005791505791505791,0.0034129692832764505
flesch_reading_ease,47.21389343214926,38.16500000000002,38.90284185848253,49.88808222958059,49.53089536516853
flesch_kincaid_grade,9.82839338955618,12.407777777777778,11.071005115089516,9.426992273730686,10.496402153558055
smog,11.753397827838263,,12.10132525352546,11.645159339076184,12.494345625449444
gunning_fog,12.25855694692904,13.866666666666667,12.78366581415175,12.097350993377484,13.116947565543072
automated_readability_index,9.495375670840787,11.119999999999997,11.057919863597618,9.285044150110377,10.992963483146063
coleman_liau_index,12.550402930402932,11.955555555555552,14.351611253196932,12.338013245033114,12.486891385767787
lix,37.05664877757901,40.22222222222222,40.91057118499574,35.7621412803532,43.27926029962546
rix,3.0930232558139537,4.0,3.6333333333333333,2.9166666666666665,4.4375
connectives,22,1,16,20,15
