,create,human-full,explain,continue,human-cont
dependency_distance_mean,2.4996393284276297,2.5858403008934627,3.5697850286359603,3.3372665237608925,2.5966685933141815
dependency_distance_std,1.03782785203615,0.9417119535159123,0.48588052627796324,0.7499612160958526,0.9534827886409731
prop_adjacent_dependency_relation_mean,0.4465730678038003,0.4366720867425202,0.4233517517679008,0.4163042076668855,0.4299712710143415
prop_adjacent_dependency_relation_std,0.12552829436848367,0.10823218437993402,0.054481364644121205,0.04703387253283683,0.10472876892016533
entropy,7.716033235979193,10.060006117028202,2.165490811190602,2.0683165684769085,8.955566475916479
perplexity,2244.040323553637,23388.649440747708,8.718880190820158,7.911493443742727,7750.917294441882
per_word_perplexity,3.4000610962933893,27.744542634338917,0.05098760345508865,0.04681357067303389,10.44598018118852
flesch_reading_ease,28.89237262737265,32.540855072463785,8.26176470588237,34.25433333333336,30.933441692466488
flesch_kincaid_grade,12.12943627800771,11.767913043478263,17.53690009337068,12.622000000000003,12.091486068111454
smog,12.576217020551823,12.716760846108397,17.77360955136429,13.5591,12.86084465949693
gunning_fog,14.040017125731413,14.09144927536232,20.769000933706817,14.66666666666667,14.230753353973169
automated_readability_index,10.912836092478948,11.088292572463772,17.296806722689077,12.933933333333336,11.340577915376677
coleman_liau_index,14.754755244755241,14.726141304347827,17.54928104575163,14.920799999999993,14.867616099071203
lix,44.715427429713145,43.788405797101454,57.804855275443515,46.66666666666667,43.936016511867905
rix,3.857142857142857,3.8666666666666667,7.857142857142857,5.0,3.9607843137254903
passed_quality_check,True,True,True,True,True
n_stop_words,286.0,365.0,66.0,77.0,323.0
alpha_ratio,0.8469696969696969,0.8564650059311981,0.8888888888888888,0.8816568047337278,0.8571428571428571
mean_word_length,5.010606060606061,5.01779359430605,5.385964912280702,5.017751479289941,5.0161725067385445
doc_length,660.0,843.0,171.0,169.0,742.0
duplicate_ngram_chr_fraction_5,0.010819165378670788,,0.048462255358807084,,
top_ngram_chr_fraction_2,0.005151983513652756,0.011068625477963372,0.04100652376514446,0.015045135406218655,0.012582932967284374
oov_ratio,0.02878787878787879,0.022538552787663108,0.011695906432748537,,0.0215633423180593
first_order_coherence,0.3566683978618433,0.4247107444552042,0.7151359816392263,0.6477831676602364,0.42522047124803064
second_order_coherence,0.3541069938702152,0.4315305715466946,0.624952906370163,0.687307323728289,0.4434653287230782
token_length_mean,5.6276223776223775,5.601902173913044,5.901960784313726,5.526666666666666,5.613003095975232
token_length_median,5.0,5.0,6.0,5.0,5.0
token_length_std,3.096829973597738,3.091089344916472,3.2313106790193484,2.7992776846100056,3.098299437186018
sentence_length_mean,11.673469387755102,12.266666666666667,21.857142857142858,16.666666666666668,12.666666666666666
sentence_length_median,11.0,11.0,21.0,16.0,11.0
sentence_length_std,7.51159037782046,6.791825151525096,2.356060357495806,3.1269438398822866,7.089530161336274
syllables_per_token_mean,1.9632867132867133,1.9130434782608696,2.084967320261438,1.84,1.9272445820433437
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.3563042525509528,1.265359322683065,1.3033276285833761,1.0461357464497618,1.302284546192126
n_tokens,572,736,153,150,646
n_unique_tokens,327,404,97,111,359
proportion_unique_tokens,0.5716783216783217,0.5489130434782609,0.6339869281045751,0.74,0.5557275541795665
n_characters,3307,4230,921,848,3722
n_sentences,49,60,7,9,51
pos_prop_NUM,0.016666666666666666,0.014234875444839857,0.005847953216374269,0.005917159763313609,0.013477088948787063
pos_prop_NOUN,0.17575757575757575,0.17556346381969157,0.15204678362573099,0.16568047337278108,0.16981132075471697
pos_prop_VERB,0.07878787878787878,0.0830367734282325,0.08771929824561403,0.11834319526627218,0.08490566037735849
pos_prop_PUNCT,0.13333333333333333,0.1269276393831554,0.10526315789473684,0.11242603550295859,0.1293800539083558
pos_prop_AUX,0.04696969696969697,0.04863582443653618,0.03508771929824561,0.05917159763313609,0.04986522911051213
pos_prop_ADP,0.11060606060606061,0.10794780545670225,0.14035087719298245,0.08284023668639054,0.09838274932614555
pos_prop_DET,0.11969696969696969,0.1162514827995255,0.08771929824561403,0.1242603550295858,0.11590296495956873
pos_prop_ADJ,0.048484848484848485,0.0498220640569395,0.05263157894736842,0.0650887573964497,0.04582210242587601
pos_prop_PRON,0.04393939393939394,0.045077105575326216,0.029239766081871343,0.05325443786982249,0.04851752021563342
pos_prop_ADV,0.08484848484848485,0.08778173190984578,0.04093567251461988,0.07100591715976332,0.09433962264150944
pos_prop_PROPN,0.10303030303030303,0.10320284697508897,0.19883040935672514,0.07692307692307693,0.10242587601078167
pos_prop_CCONJ,0.015151515151515152,0.017793594306049824,0.029239766081871343,0.023668639053254437,0.02021563342318059
pos_prop_SCONJ,0.00909090909090909,0.009489916963226572,0.023391812865497075,0.029585798816568046,0.01078167115902965
pos_prop_PART,0.013636363636363636,0.014234875444839857,0.011695906432748537,0.011834319526627219,0.016172506738544475
connectives,16,20,1,6,20
