,human-full,continue,explain,human-cont,create
first_order_coherence,0.5633429592406308,0.6606783047318459,0.6607814033826193,0.5520197324454784,0.5196152773093093
second_order_coherence,0.5499986392947344,0.6114679532391685,0.6280855302299772,0.521001124852582,0.45311950856731054
dependency_distance_mean,3.108771177408624,3.2827266980620955,3.2188560277368707,3.229285899860434,2.883508811125398
dependency_distance_std,1.1337588687502578,0.9792032839289356,0.8178562177406707,1.145744199554367,0.7254993432137625
prop_adjacent_dependency_relation_mean,0.47367881693473485,0.3898212630926769,0.4418913307798925,0.46495741050606476,0.43057208660597757
prop_adjacent_dependency_relation_std,0.08394762178689001,0.05128064865231988,0.08510761887698212,0.06923560006851362,0.07628787658670998
passed_quality_check,True,True,True,True,True
n_stop_words,223.0,67.0,146.0,180.0,155.0
alpha_ratio,0.830220713073005,0.9041916167664671,0.8575949367088608,0.8162839248434238,0.8493506493506493
mean_word_length,6.32088285229202,6.874251497005988,5.889240506329114,6.062630480167015,6.062337662337662
doc_length,589.0,167.0,316.0,479.0,385.0
duplicate_ngram_chr_fraction_5,0.004261363636363636,,0.023430178069353328,0.0054446460980036296,0.027340823970037453
top_ngram_chr_fraction_2,0.007575757575757576,,0.014058106841611996,0.009679370840895343,0.020599250936329586
top_ngram_chr_fraction_3,0.008285984848484848,,0.012652296157450796,0.01058681185722928,0.008988764044943821
top_ngram_chr_fraction_4,0.005681818181818182,,,0.007259528130671506,0.019101123595505618
oov_ratio,0.12563667232597622,0.12574850299401197,0.07278481012658228,0.11482254697286012,0.06233766233766234
token_length_mean,7.269076305220883,7.46,6.638686131386861,7.0776942355889725,6.817910447761194
token_length_median,6.0,6.0,6.0,6.0,5.0
token_length_std,4.872252345875402,4.576213864466273,4.34095667371748,4.741591020983097,4.87451261622244
sentence_length_mean,17.785714285714285,16.666666666666668,17.125,19.0,14.565217391304348
sentence_length_median,15.5,17.0,16.0,16.0,15.0
sentence_length_std,9.751765931128075,4.714045207910317,4.02919036532155,10.244626930854093,5.578110066076391
syllables_per_token_mean,2.6506024096385543,2.7266666666666666,2.3503649635036497,2.56390977443609,2.3940298507462687
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,2.0006047375275027,1.9387166430972376,1.7554554834551863,1.9182021532235016,1.9036399224466831
n_tokens,498,150,274,399,335
n_unique_tokens,292,111,165,240,211
proportion_unique_tokens,0.5863453815261044,0.74,0.6021897810218978,0.6015037593984962,0.6298507462686567
n_characters,3723,1148,1861,2904,2334
n_sentences,28,9,16,21,23
pos_prop_ADJ,0.08488964346349745,0.15568862275449102,0.07278481012658228,0.06680584551148225,0.08051948051948052
pos_prop_NOUN,0.21392190152801357,0.23353293413173654,0.21518987341772153,0.21085594989561587,0.23116883116883116
pos_prop_CCONJ,0.022071307300509338,0.023952095808383235,0.0189873417721519,0.018789144050104383,0.02857142857142857
pos_prop_DET,0.1273344651952462,0.1497005988023952,0.13291139240506328,0.12734864300626306,0.14805194805194805
pos_prop_PUNCT,0.14261460101867574,0.09580838323353294,0.13291139240506328,0.1544885177453027,0.13246753246753246
pos_prop_NUM,0.013582342954159592,,0.012658227848101266,0.012526096033402923,0.025974025974025976
pos_prop_ADP,0.0831918505942275,0.0718562874251497,0.10126582278481013,0.07933194154488518,0.09610389610389611
pos_prop_ADV,0.07470288624787776,0.08383233532934131,0.060126582278481014,0.07306889352818371,0.05714285714285714
pos_prop_AUX,0.06451612903225806,0.0658682634730539,0.07911392405063292,0.06889352818371608,0.046753246753246755
pos_prop_VERB,0.07640067911714771,0.05389221556886228,0.09177215189873418,0.07933194154488518,0.07792207792207792
pos_prop_SCONJ,0.011884550084889643,0.023952095808383235,0.028481012658227847,0.012526096033402923,0.01818181818181818
pos_prop_PRON,0.01867572156196944,0.029940119760479042,0.03164556962025317,0.016701461377870562,0.02857142857142857
pos_prop_PART,0.013582342954159592,0.011976047904191617,0.0189873417721519,0.014613778705636743,0.005194805194805195
pos_prop_PROPN,0.04753820033955857,,0.0031645569620253164,0.05845511482254697,0.023376623376623377
pos_prop_X,0.0050933786078098476,,,0.006263048016701462,
flesch_reading_ease,-35.458463855421684,-40.75766666666664,-9.387750912408734,-29.356766917293186,-10.483621025308224
flesch_kincaid_grade,22.623537005163517,23.084666666666667,18.82305656934307,22.074135338345865,18.339987021414668
smog,18.473206523352868,18.481644305966572,16.373557378465907,18.649436658719743,16.01378924563265
gunning_fog,23.33918531267929,24.0,19.404744525547446,23.138847117794487,19.796236210253085
automated_readability_index,21.700206540447503,22.039933333333337,18.400711678832117,21.405939849624062,17.964966904607394
coleman_liau_index,25.277911646586336,26.28879999999999,21.507007299270075,24.25894736842105,22.25707462686567
lix,63.76965002868617,66.0,58.36587591240876,63.611528822055135,56.35626216742375
rix,8.178571428571429,8.222222222222221,7.0625,8.476190476190476,6.086956521739131
entropy,8.233288740998178,2.3118457840229745,4.742096779651294,6.796052947868128,5.387383978094624
perplexity,3764.1928734039084,10.093037039018744,114.67439671568395,894.3104262716298,218.6306941088999
per_word_perplexity,6.390819819021916,0.060437347539034396,0.36289366049267074,1.8670363805253232,0.5678719327503893
connectives,15,3,13,13,9
duplicate_ngram_chr_fraction_6,,,0.023430178069353328,,0.017228464419475654
