,human-full,create,explain,human-cont,continue
pos_prop_ADJ,0.08906426155580609,0.0821917808219178,0.07417582417582418,0.08926261319534282,0.08235294117647059
pos_prop_PROPN,0.07328072153325817,0.025440313111545987,0.019230769230769232,0.062095730918499355,0.052941176470588235
pos_prop_NOUN,0.2040586245772266,0.25048923679060664,0.2087912087912088,0.2056921086675291,0.2
pos_prop_PUNCT,0.1488162344983089,0.1232876712328767,0.0989010989010989,0.14359637774902975,0.12941176470588237
pos_prop_PART,0.012401352874859075,0.01761252446183953,0.005494505494505495,0.0129366106080207,0.01764705882352941
pos_prop_ADV,0.0552423900789177,0.04892367906066536,0.06593406593406594,0.05821474773609314,0.052941176470588235
pos_prop_ADP,0.10597519729425028,0.09393346379647749,0.12912087912087913,0.1073738680465718,0.08823529411764706
pos_prop_PRON,0.013528748590755355,0.023483365949119372,0.03296703296703297,0.0129366106080207,0.03529411764705882
pos_prop_NUM,0.04284103720405862,0.015655577299412915,0.03021978021978022,0.03880983182406209,
pos_prop_VERB,0.05186020293122886,0.07632093933463796,0.07417582417582418,0.05304010349288486,0.09411764705882353
pos_prop_AUX,0.04509582863585118,0.050880626223091974,0.07142857142857142,0.04915912031047866,0.047058823529411764
pos_prop_DET,0.10710259301014656,0.14677103718199608,0.1401098901098901,0.11642949547218628,0.15294117647058825
pos_prop_CCONJ,0.014656144306651634,0.03522504892367906,0.013736263736263736,0.014230271668822769,0.01764705882352941
pos_prop_X,0.02367531003382187,,0.005494505494505495,0.02328589909443726,0.0058823529411764705
pos_prop_SCONJ,0.012401352874859075,0.009784735812133072,0.03021978021978022,0.0129366106080207,0.023529411764705882
passed_quality_check,True,True,True,True,True
n_stop_words,295.0,199.0,161.0,271.0,73.0
alpha_ratio,0.7779030439684329,0.863013698630137,0.8598901098901099,0.7891332470892626,0.8647058823529412
mean_word_length,5.569334836527621,5.921722113502935,5.967032967032967,5.6170763260025875,5.882352941176471
doc_length,887.0,511.0,364.0,773.0,170.0
duplicate_ngram_chr_fraction_5,0.03479789103690686,0.03570400230348402,,0.013994402239104359,0.0924956369982548
top_ngram_chr_fraction_2,0.00843585237258348,0.022171033688453787,0.016826923076923076,0.007996801279488205,0.020942408376963352
top_ngram_chr_fraction_3,0.007381370826010545,0.011229484595450619,0.020032051282051284,0.007197121151539384,0.034904013961605584
top_ngram_chr_fraction_4,0.00843585237258348,,,0.004198320671731308,
oov_ratio,0.07102593010146561,0.033268101761252444,0.0521978021978022,0.06727037516170763,0.03529411764705882
flesch_reading_ease,-14.456824176278445,1.7934464285714569,-11.485112659098718,-13.139626327389294,-12.455510204081605
flesch_kincaid_grade,20.79387324817066,16.189053571428573,19.31916924664603,20.252929272690846,20.213605442176874
smog,19.469769564561354,15.532846611407376,17.755912252390015,19.024435895343842,19.142268018852484
gunning_fog,23.618818471205923,19.852142857142862,21.79078087375301,23.216509717491487,23.365986394557826
automated_readability_index,20.422786390508087,16.12118303571429,18.6165565875473,19.76956571829293,20.373877551020406
coleman_liau_index,21.2518417462483,20.776875,21.34390092879256,21.241677018633542,21.870476190476186
lix,62.184836082516846,54.9875,56.95373237014104,61.45742336205169,61.136054421768705
rix,8.878787878787879,5.4,7.0,8.451612903225806,8.428571428571429
dependency_distance_mean,3.5767353851582087,2.5476925867283535,3.395729190246734,3.4986567058133384,3.8971090699833475
dependency_distance_std,0.8921408662776221,0.9810845307361364,0.7474634482996757,0.855796208628751,0.4853344572597398
prop_adjacent_dependency_relation_mean,0.4244274140682603,0.4663750034085207,0.4330167694202782,0.431351889541555,0.43585053008912505
prop_adjacent_dependency_relation_std,0.06871481141842822,0.09911132234901392,0.09898214764664572,0.074919491808861,0.06428456276519545
first_order_coherence,0.5576715455390513,0.39895993547842784,0.6874233571922078,0.5512818867961565,0.7108790377775828
second_order_coherence,0.48751675541843137,0.3643954145637425,0.6624408373609185,0.5022261002711181,0.7528900444507599
entropy,11.391308038488276,8.084567229789748,5.6296845741539405,10.158820818812746,2.841243748271059
perplexity,88548.70676124832,3244.0156184522157,278.57423425989316,25817.835197676573,17.137066484703013
per_word_perplexity,99.82943265078728,6.348367159397682,0.7653138303843219,33.39952806943929,0.10080627343942948
token_length_mean,6.527967257844475,6.613839285714286,6.597523219814241,6.541925465838509,6.64625850340136
token_length_median,5.0,5.0,5.0,5.0,6.0
token_length_std,4.258155912503661,4.158198172958991,4.19998452694181,4.12383392372553,4.256731717264764
sentence_length_mean,22.21212121212121,12.8,17.944444444444443,20.774193548387096,21.0
sentence_length_median,19.0,12.0,17.0,18.0,19.0
sentence_length_std,10.98692770290876,6.4222826382614375,4.8816233891585945,8.44988901404248,4.47213595499958
syllables_per_token_mean,2.34924965893588,2.2700892857142856,2.365325077399381,2.3509316770186337,2.3401360544217686
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.6279415970902391,1.4897860557905829,1.5766206373959353,1.5785289957308437,1.523050102308606
n_tokens,733,448,323,644,147
n_unique_tokens,373,225,172,341,90
proportion_unique_tokens,0.5088676671214188,0.5022321428571429,0.5325077399380805,0.5295031055900621,0.6122448979591837
n_characters,4940,3026,2172,4342,1000
n_sentences,33,35,18,31,7
connectives,14,8,11,14,4
duplicate_ngram_chr_fraction_6,,0.0161243881370573,,,
