,human-full,continue,explain,human-cont
entropy,19.311946617248505,3.7139806242286832,6.792745626772501,19.035968054814695
perplexity,243821416.87803474,41.01675428081009,891.3575402954696,185018810.23405656
per_word_perplexity,221253.5543357847,0.2000817281990736,2.2452330989810316,158542.25384237923
flesch_reading_ease,-22.524060559006188,-25.25130434782608,-23.306125698323996,-25.748340707964587
flesch_kincaid_grade,20.686361283643894,22.495217391304354,20.9569217877095,21.206757027091175
smog,18.2628723734038,20.267338824336647,18.7741,18.59322686922822
gunning_fog,23.17329192546584,24.85217391304348,23.919776536312852,23.729623978571187
automated_readability_index,20.68670807453416,22.374456521739134,20.911005586592175,21.39558946190622
coleman_liau_index,24.295362318840578,23.242173913043477,24.231955307262563,25.03059980334317
lix,63.00569358178054,67.02173913043478,63.430726256983235,64.92877971043977
rix,7.892857142857143,10.125,8.15,8.310344827586206
first_order_coherence,0.5860872437500141,0.7196834002222333,0.7011534101084659,0.5758869124641806
second_order_coherence,0.5650556564538015,0.7630172669887543,0.7264441574613253,0.554168043890968
dependency_distance_mean,2.8846796115010496,3.541426767676768,3.3036892318627364,3.0575948465032265
dependency_distance_std,1.2652565940188871,1.1175240672611106,0.9366328418525551,1.3579666045294505
prop_adjacent_dependency_relation_mean,0.45503513981615384,0.5030988455988455,0.4678928773869907,0.4458169157129085
prop_adjacent_dependency_relation_std,0.11322349122750644,0.05486902732910417,0.07500155181197765,0.11288638422009863
token_length_mean,7.1107660455486545,6.858695652173913,7.089385474860335,7.2310717797443465
token_length_median,6.0,5.0,6.0,6.0
token_length_std,4.59984112079642,4.316504024593157,4.381633730413636,4.5702963560865815
sentence_length_mean,17.25,23.0,17.9,17.53448275862069
sentence_length_median,15.0,22.5,16.0,15.5
sentence_length_std,10.793930172621488,10.41633332799983,5.98247440445841,10.654795775064082
syllables_per_token_mean,2.5041407867494825,2.467391304347826,2.505586592178771,2.538839724680433
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.779071871937923,1.6282231376599898,1.6608277087813728,1.7651481844182062
n_tokens,966,184,358,1017
n_unique_tokens,457,124,196,492
proportion_unique_tokens,0.4730848861283644,0.6739130434782609,0.547486033519553,0.4837758112094395
n_characters,7005,1283,2577,7504
n_sentences,56,8,20,58
pos_prop_NOUN,0.24954627949183303,0.23902439024390243,0.24685138539042822,0.2365038560411311
pos_prop_DET,0.14519056261343014,0.16585365853658537,0.15113350125944586,0.13624678663239073
pos_prop_CCONJ,0.047186932849364795,0.05365853658536585,0.05289672544080604,0.04541559554413025
pos_prop_PUNCT,0.11705989110707804,0.1024390243902439,0.0982367758186398,0.12253641816623821
pos_prop_ADP,0.10980036297640654,0.1024390243902439,0.08564231738035265,0.09940017137960583
pos_prop_NUM,0.007259528130671506,0.00975609756097561,,0.005141388174807198
pos_prop_PROPN,0.020871143375680582,0.00975609756097561,,0.018851756640959727
pos_prop_VERB,0.06442831215970962,0.06829268292682927,0.07304785894206549,0.06855184233076264
pos_prop_AUX,0.0499092558983666,0.03902439024390244,0.055415617128463476,0.05398457583547558
pos_prop_X,0.004537205081669692,,0.0025188916876574307,0.003427592116538132
pos_prop_SCONJ,0.012704174228675136,0.01951219512195122,0.02518891687657431,0.012853470437017995
pos_prop_ADJ,0.07713248638838476,0.1024390243902439,0.10075566750629723,0.08911739502999143
pos_prop_ADV,0.060798548094373864,0.04390243902439024,0.055415617128463476,0.07197943444730077
pos_prop_PART,0.011796733212341199,0.024390243902439025,0.012594458438287154,0.011996572407883462
pos_prop_PRON,0.021778584392014518,0.01951219512195122,0.04030226700251889,0.023993144815766924
passed_quality_check,True,True,True,True
n_stop_words,472.0,95.0,184.0,488.0
alpha_ratio,0.867513611615245,0.8878048780487805,0.9017632241813602,0.8663239074550129
mean_word_length,6.356624319419238,6.258536585365854,6.491183879093199,6.430162810625536
doc_length,1102.0,205.0,397.0,1167.0
duplicate_ngram_chr_fraction_5,0.01605216955104088,0.11186903137789904,0.09171496760995568,0.020869973033180913
duplicate_ngram_chr_fraction_6,0.009029345372460496,,0.09171496760995568,0.008441786844882167
duplicate_ngram_chr_fraction_7,0.009029345372460496,,0.07296283668598705,0.008441786844882167
top_ngram_chr_fraction_2,0.007524454477050414,0.010231923601637109,0.008182748039549948,0.005862351975612616
top_ngram_chr_fraction_3,0.0043892651116127415,,0.012274122059324924,0.004103646382928831
top_ngram_chr_fraction_4,0.0030097817908201654,,0.03579952267303103,0.0028139289482940555
oov_ratio,0.045372050816696916,0.03414634146341464,0.027707808564231738,0.043701799485861184
connectives,22,2,10,28
duplicate_ngram_chr_fraction_8,,,0.04977838390726219,
