,create,human-full,explain,continue,human-cont
entropy,4.689896462917833,8.233288740998178,3.542691879651023,1.304154783469972,6.796052947868128
perplexity,108.84191005022308,3764.1928734039084,34.559824978759394,3.6845735147802956,894.3104262716298
per_word_perplexity,0.33387088972461065,6.390819819021916,0.14163862696212867,0.04979153398351751,1.8670363805253232
dependency_distance_mean,3.247072976450996,3.108771177408624,2.5310789655297663,3.107291666666667,3.229285899860434
dependency_distance_std,0.770746332409628,1.1337588687502578,0.5595553040310606,0.6755808650401027,1.145744199554367
prop_adjacent_dependency_relation_mean,0.4029649870992358,0.47367881693473485,0.4727675575696843,0.47187500000000004,0.46495741050606476
prop_adjacent_dependency_relation_std,0.0733157062475921,0.08394762178689001,0.0725430697443587,0.05753735199850616,0.06923560006851362
flesch_reading_ease,-13.760043859649102,-35.458463855421684,-15.587722741433026,-40.639772727272685,-29.356766917293186
flesch_kincaid_grade,19.112017543859654,22.623537005163517,18.977738317757012,23.026818181818182,22.074135338345865
smog,17.122413403193683,18.473206523352868,15.6451,18.7741,18.649436658719743
gunning_fog,21.491228070175442,23.33918531267929,19.16461059190031,24.78181818181818,23.138847117794487
automated_readability_index,18.6799298245614,21.700206540447503,18.1891277258567,22.644545454545458,21.405939849624062
coleman_liau_index,22.520842105263153,25.277911646586336,22.680747663551404,27.12969696969697,24.25894736842105
lix,60.39473684210527,63.76965002868617,56.79003115264797,66.5,63.611528822055135
rix,7.055555555555555,8.178571428571429,6.066666666666666,8.25,8.476190476190476
token_length_mean,6.8350877192982455,7.269076305220883,6.897196261682243,7.606060606060606,7.0776942355889725
token_length_median,6.0,6.0,5.0,6.5,6.0
token_length_std,4.2182764929829695,4.872252345875402,4.7986263210379265,4.876905339792501,4.741591020983097
sentence_length_mean,15.833333333333334,17.785714285714285,14.266666666666667,16.5,19.0
sentence_length_median,16.0,15.5,15.0,16.5,16.0
sentence_length_std,5.262551134615648,9.751765931128075,3.434465832637669,1.118033988749895,10.244626930854093
syllables_per_token_mean,2.4175438596491228,2.6506024096385543,2.457943925233645,2.727272727272727,2.56390977443609
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.7303404803393154,2.0006047375275027,1.9919481556505294,1.8219657594615046,1.9182021532235016
n_tokens,285,498,214,66,399
n_unique_tokens,192,292,152,54,240
proportion_unique_tokens,0.6736842105263158,0.5863453815261044,0.7102803738317757,0.8181818181818182,0.6015037593984962
n_characters,1989,3723,1506,510,2904
n_sentences,18,28,15,4,21
pos_prop_ADJ,0.08588957055214724,0.08488964346349745,0.08196721311475409,0.16216216216216217,0.06680584551148225
pos_prop_NOUN,0.22085889570552147,0.21392190152801357,0.22950819672131148,0.24324324324324326,0.21085594989561587
pos_prop_PUNCT,0.12576687116564417,0.14261460101867574,0.12295081967213115,0.10810810810810811,0.1544885177453027
pos_prop_DET,0.1656441717791411,0.1273344651952462,0.13114754098360656,0.16216216216216217,0.12734864300626306
pos_prop_VERB,0.08282208588957055,0.07640067911714771,0.0778688524590164,0.05405405405405406,0.07933194154488518
pos_prop_PRON,0.02147239263803681,0.01867572156196944,0.01639344262295082,0.02702702702702703,0.016701461377870562
pos_prop_ADP,0.09202453987730061,0.0831918505942275,0.10245901639344263,0.05405405405405406,0.07933194154488518
pos_prop_ADV,0.0705521472392638,0.07470288624787776,0.06557377049180328,0.05405405405405406,0.07306889352818371
pos_prop_CCONJ,0.02147239263803681,0.022071307300509338,0.03278688524590164,0.05405405405405406,0.018789144050104383
pos_prop_SCONJ,0.018404907975460124,0.011884550084889643,0.01639344262295082,,0.012526096033402923
pos_prop_AUX,0.049079754601226995,0.06451612903225806,0.06967213114754098,0.06756756756756757,0.06889352818371608
pos_prop_PROPN,0.027607361963190184,0.04753820033955857,0.020491803278688523,,0.05845511482254697
pos_prop_PART,0.006134969325153374,0.013582342954159592,0.012295081967213115,0.013513513513513514,0.014613778705636743
pos_prop_NUM,0.012269938650306749,0.013582342954159592,0.012295081967213115,,0.012526096033402923
first_order_coherence,0.5624284113154692,0.5633429592406308,0.48947359222386566,0.75328661998113,0.5520197324454784
second_order_coherence,0.5394302103668451,0.5499986392947344,0.4561416575541863,0.7123724520206451,0.521001124852582
passed_quality_check,True,True,True,True,True
n_stop_words,129.0,223.0,104.0,30.0,180.0
alpha_ratio,0.8588957055214724,0.830220713073005,0.8688524590163934,0.8918918918918919,0.8162839248434238
mean_word_length,6.101226993865031,6.32088285229202,6.172131147540983,6.891891891891892,6.062630480167015
doc_length,326.0,589.0,244.0,74.0,479.0
top_ngram_chr_fraction_2,0.01056338028169014,0.007575757575757576,0.008726003490401396,,0.009679370840895343
oov_ratio,0.05828220858895705,0.12563667232597622,0.09016393442622951,0.06756756756756757,0.11482254697286012
connectives,8,15,8,3,13
pos_prop_X,,0.0050933786078098476,0.00819672131147541,,0.006263048016701462
duplicate_ngram_chr_fraction_5,,0.004261363636363636,,,0.0054446460980036296
top_ngram_chr_fraction_3,,0.008285984848484848,,,0.01058681185722928
top_ngram_chr_fraction_4,,0.005681818181818182,,,0.007259528130671506
