,explain,human,create,continue
token_length_mean,5.936842105263158,5.51394422310757,5.561538461538461,5.366666666666666
token_length_median,6.0,5.0,5.0,5.0
token_length_std,3.2013501306917025,3.1093620329368235,3.0166304333805347,2.7366704367470116
sentence_length_mean,15.833333333333334,13.210526315789474,11.304347826086957,17.5
sentence_length_median,15.5,13.0,11.0,18.0
sentence_length_std,5.565269285687999,9.671330107011196,6.139216651691672,5.041494487418058
syllables_per_token_mean,2.031578947368421,1.904382470119522,1.8461538461538463,1.7952380952380953
syllables_per_token_median,2.0,2.0,1.0,2.0
syllables_per_token_std,1.1872359015261356,1.3503801726509166,1.136536834568665,0.9665728314766315
n_tokens,190,251,260,210
n_unique_tokens,133,163,175,136
proportion_unique_tokens,0.7,0.649402390438247,0.6730769230769231,0.6476190476190476
n_characters,1154,1430,1479,1149
n_sentences,12,19,23,12
dependency_distance_mean,3.168188243720573,2.6174488895991663,2.3372336600597468,3.2885693656288626
dependency_distance_std,0.9407060325849659,1.1754019236446638,1.0106418075025498,0.48955182078844184
prop_adjacent_dependency_relation_mean,0.48898581718454387,0.4205781660629306,0.4879189892233371,0.4447061983274798
prop_adjacent_dependency_relation_std,0.11182496886571008,0.12021147863375413,0.11325913478053172,0.08423563960495838
first_order_coherence,0.6154659390449524,0.29811340135832626,0.39334384487433866,0.5674478059465234
second_order_coherence,0.6849495112895966,0.3057119778549189,0.3966520261906442,0.6624871104955673
passed_quality_check,True,True,True,True
n_stop_words,92.0,132.0,134.0,108.0
alpha_ratio,0.875,0.835016835016835,0.863481228668942,0.8879310344827587
mean_word_length,5.342592592592593,4.814814814814815,5.047781569965871,4.952586206896552
doc_length,216.0,297.0,293.0,232.0
top_ngram_chr_fraction_2,0.022338049143708117,0.032699167657550536,0.010344827586206896,0.03240058910162003
top_ngram_chr_fraction_3,0.02680565897244974,,,
oov_ratio,0.018518518518518517,0.016835016835016835,0.006825938566552901,
flesch_reading_ease,18.892587719298263,32.31555881736216,39.176471571906376,37.195357142857176
flesch_kincaid_grade,14.557631578947372,12.033818410568259,10.6033110367893,12.418809523809525
smog,15.134931603849854,12.75995879102334,12.122386844133771,13.5591
gunning_fog,17.49122807017544,13.889788215558818,13.290969899665553,14.61904761904762
automated_readability_index,14.44919298245614,11.145940448731395,10.417020066889634,12.597000000000001
coleman_liau_index,17.239157894736838,14.38135458167331,14.283384615384616,14.064571428571426
lix,51.62280701754386,41.09897253092891,41.68896321070234,44.64285714285714
rix,5.666666666666667,3.6842105263157894,3.4347826086956523,4.75
pos_prop_DET,0.07407407407407407,0.12457912457912458,0.11262798634812286,0.09913793103448276
pos_prop_NOUN,0.14351851851851852,0.17845117845117844,0.18430034129692832,0.14655172413793102
pos_prop_VERB,0.10648148148148148,0.08754208754208755,0.09556313993174062,0.11206896551724138
pos_prop_ADP,0.09722222222222222,0.09764309764309764,0.12627986348122866,0.10344827586206896
pos_prop_ADJ,0.046296296296296294,0.04040404040404041,0.051194539249146756,0.05603448275862069
pos_prop_PUNCT,0.12037037037037036,0.15488215488215487,0.11262798634812286,0.09482758620689655
pos_prop_ADV,0.06481481481481481,0.07744107744107744,0.07849829351535836,0.06896551724137931
pos_prop_PROPN,0.1527777777777778,0.08417508417508418,0.08873720136518772,0.09051724137931035
pos_prop_CCONJ,0.037037037037037035,0.020202020202020204,0.034129692832764506,0.034482758620689655
pos_prop_PRON,0.05555555555555555,0.06060606060606061,0.023890784982935155,0.06465517241379311
pos_prop_AUX,0.06481481481481481,0.04040404040404041,0.051194539249146756,0.08189655172413793
pos_prop_SCONJ,0.027777777777777776,0.013468013468013467,0.010238907849829351,0.03017241379310345
pos_prop_PART,0.004629629629629629,0.010101010101010102,0.013651877133105802,0.008620689655172414
pos_prop_NUM,0.004629629629629629,0.010101010101010102,0.017064846416382253,0.008620689655172414
entropy,2.6457374134766694,3.4303723421818546,3.3526024493904725,2.8215484638384387
perplexity,14.093834235406309,30.888141566821286,28.577007170192466,16.80284914237928
per_word_perplexity,0.0652492325713255,0.10400047665596393,0.09753244767983776,0.07242607388956586
connectives,4,8,6,9
duplicate_ngram_chr_fraction_5,,,0.04482758620689655,
