,human,create,explain,continue
first_order_coherence,0.38824732307540744,0.42125169267611845,0.6449917132655779,0.4623213599746426
second_order_coherence,0.40403541384471786,0.44199893195182083,0.6450790193947878,0.5276545882225037
dependency_distance_mean,2.7628224634842278,2.519204009647825,3.1331697062640114,2.510498651675122
dependency_distance_std,0.9301613959118841,1.1481041495110664,0.7511881522267518,1.2120402009176487
prop_adjacent_dependency_relation_mean,0.39530163259942674,0.41145292811138573,0.46865874918959566,0.3127373443549914
prop_adjacent_dependency_relation_std,0.1362989423690963,0.1343184679776118,0.08045160862233687,0.15376485651200048
token_length_mean,5.470833333333333,5.886639676113361,5.298642533936651,5.392592592592592
token_length_median,5.0,5.0,4.0,4.0
token_length_std,3.02888581916776,3.310409242978375,2.9873713022584556,2.7082761943956744
sentence_length_mean,12.0,11.227272727272727,17.0,10.384615384615385
sentence_length_median,12.5,11.5,15.0,12.0
sentence_length_std,5.477225575051661,5.720233769713026,7.883771061734743,5.6912680963365885
syllables_per_token_mean,1.8208333333333333,1.9311740890688258,1.737556561085973,1.7555555555555555
syllables_per_token_median,2.0,2.0,1.0,1.0
syllables_per_token_std,1.1890048943923186,1.1485423952386815,0.9578876660326591,0.9772725967687121
n_tokens,240,247,221,135
n_unique_tokens,159,163,134,98
proportion_unique_tokens,0.6625,0.659919028340081,0.6063348416289592,0.725925925925926
n_characters,1363,1512,1198,759
n_sentences,20,22,13,13
entropy,3.5841731595555624,4.612267890008631,3.576126331937208,2.01349338560826
perplexity,36.023559665355066,100.71229524215988,35.73484745708985,7.489435186009819
per_word_perplexity,0.12421917125984505,0.33020424669560616,0.14409212684310424,0.045117079433794095
passed_quality_check,True,True,True,True
n_stop_words,131.0,130.0,120.0,78.0
alpha_ratio,0.8275862068965517,0.8032786885245902,0.8870967741935484,0.8132530120481928
mean_word_length,4.7,4.9573770491803275,4.830645161290323,4.572289156626506
doc_length,290.0,305.0,248.0,166.0
duplicate_ngram_chr_fraction_5,0.024968789013732832,,,
top_ngram_chr_fraction_2,0.018726591760299626,0.015358361774744027,0.03385049365303244,0.013437849944008958
oov_ratio,0.017241379310344827,0.006557377049180328,0.012096774193548387,
pos_prop_SCONJ,0.03793103448275862,0.022950819672131147,0.05241935483870968,0.024096385542168676
pos_prop_DET,0.11724137931034483,0.10819672131147541,0.12096774193548387,0.0783132530120482
pos_prop_NOUN,0.1793103448275862,0.15737704918032788,0.17338709677419356,0.10843373493975904
pos_prop_PART,0.020689655172413793,0.013114754098360656,0.012096774193548387,0.012048192771084338
pos_prop_VERB,0.10689655172413794,0.09508196721311475,0.11290322580645161,0.10843373493975904
pos_prop_AUX,0.06206896551724138,0.06885245901639345,0.07258064516129033,0.07228915662650602
pos_prop_PUNCT,0.1724137931034483,0.1901639344262295,0.10887096774193548,0.18674698795180722
pos_prop_ADP,0.10344827586206896,0.06229508196721312,0.11693548387096774,0.07228915662650602
pos_prop_ADV,0.06551724137931035,0.06885245901639345,0.036290322580645164,0.12650602409638553
pos_prop_PRON,0.04827586206896552,0.06557377049180328,0.06048387096774194,0.09036144578313253
pos_prop_PROPN,0.041379310344827586,0.036065573770491806,0.06854838709677419,0.04216867469879518
pos_prop_CCONJ,0.006896551724137931,0.029508196721311476,0.028225806451612902,0.04819277108433735
pos_prop_ADJ,0.03103448275862069,0.07540983606557378,0.03225806451612903,0.030120481927710843
pos_prop_NUM,0.006896551724137931,0.006557377049180328,0.004032258064516129,
flesch_reading_ease,40.61250000000001,32.061990246595514,42.58271493212672,47.7746153846154
flesch_kincaid_grade,10.575833333333335,11.57649061464851,11.54316742081448,9.175555555555558
smog,11.407655852321103,12.948620331739964,13.149919865122353,11.20814326018867
gunning_fog,11.8,15.017224880382777,14.039819004524887,11.85754985754986
automated_readability_index,10.337625,11.90970923813029,12.026606334841624,9.161418803418805
coleman_liau_index,13.901833333333336,16.177004048582994,13.614841628959276,13.05807407407407
lix,40.33333333333333,46.449944792050054,41.43438914027149,41.495726495726494
rix,3.4,3.9545454545454546,4.153846153846154,3.230769230769231
connectives,11,7,7,7
top_ngram_chr_fraction_3,,0.008532423208191127,0.0232722143864598,
