gpt,human
17.576923076923077,20.3
26.11111111111111,20.33333333333333
24.608695652173918,18.892857142857142
25.33333333333333,22.42105263157895
27.125,24.5
20.857142857142858,21.48
23.31578947368421,20.38095238095238
21.04,18.392857142857142
19.869565217391305,22.36842105263158
23.15,22.2
19.863636363636363,20.142857142857142
23.52380952380953,21.761904761904763
23.954545454545453,24.45
17.5,17.03846153846154
21.39130434782609,21.80952380952381
18.357142857142858,18.6
21.32,17.214285714285715
19.12903225806452,20.25
25.13636363636364,18.25
18.703703703703702,18.52
20.655172413793103,20.51851851851852
21.517241379310345,13.38095238095238
18.0,19.032258064516128
19.285714285714285,22.47826086956522
15.758620689655173,29.666666666666668
24.28,18.89655172413793
23.23809523809524,13.764705882352942
20.96,17.566666666666666
18.0,15.37037037037037
26.3,21.59090909090909
22.03448275862069,17.41176470588235
20.848484848484848,19.90909090909091
20.107142857142858,21.192307692307693
22.416666666666668,19.115384615384617
21.17391304347826,18.423076923076923
21.84,19.77777777777778
18.16,19.43478260869565
24.0,13.5
24.1,17.076923076923077
21.83333333333333,16.032258064516128
18.153846153846157,16.846153846153847
21.41379310344828,14.657894736842104
24.857142857142858,25.157894736842103
20.115384615384617,21.0
30.58333333333333,21.866666666666667
22.75,18.0
21.73913043478261,27.11111111111111
25.3,23.789473684210527
21.444444444444443,24.347826086956523
25.142857142857142,22.952380952380956
22.16,22.91304347826087
21.321428571428573,17.733333333333334
22.541666666666668,19.68
19.32,28.5625
24.52380952380953,19.12
25.642857142857142,20.53125
22.125,23.714285714285715
19.423076923076923,17.62962962962963
20.346153846153847,21.47826086956522
18.29032258064516,12.634146341463415
29.41176470588235,18.875
20.379310344827587,28.0
19.74074074074074,16.433333333333334
16.5,14.475
23.03448275862069,18.41176470588235
20.52,13.969696969696969
22.24,22.5
18.15625,17.9
16.43243243243243,22.185185185185187
21.066666666666663,16.75
26.0,27.9375
25.105263157894736,22.476190476190474
21.857142857142858,22.526315789473685
23.375,19.77777777777778
19.08,17.24
21.166666666666668,19.68
22.09523809523809,17.76
19.566666666666663,22.0
23.0,14.366666666666667
18.75,20.761904761904763
20.58620689655172,23.916666666666668
19.72222222222222,16.24390243902439
20.29032258064516,24.03846153846154
17.566666666666666,14.029411764705882
19.923076923076923,17.392857142857142
18.289473684210527,14.520833333333334
19.83333333333333,20.90909090909091
27.42105263157895,18.346153846153847
21.8,18.954545454545453
16.205882352941178,18.678571428571427
20.185185185185187,11.295454545454543
20.72,12.81081081081081
25.681818181818183,18.22222222222222
19.392857142857142,13.27027027027027
22.45,18.73913043478261
24.35,38.11111111111112
19.228571428571428,15.45
27.41176470588235,17.916666666666668
22.0,30.11764705882353
23.307692307692307,20.714285714285715
