,continue,human-cont,create,explain,human-full
flesch_reading_ease,-16.487770522388047,-12.85127484270447,0.7900000000000205,-16.446380090497712,-11.7269378486356
flesch_kincaid_grade,21.800789800995023,20.228737641066612,16.875555555555554,20.42627450980392,19.980869516056085
smog,20.852429223088986,19.024435895343842,16.48601715928492,18.8141640860857,18.803045445653858
gunning_fog,25.373383084577114,23.19616498551883,20.57777777777778,23.218702865761692,22.897165686717926
automated_readability_index,21.4780223880597,19.750175272146215,17.313000000000002,20.257927601809953,19.41152495100257
coleman_liau_index,20.905472636815926,21.18160990712074,21.23066666666666,22.490509803921565,20.962170963364994
lix,63.93097014925373,61.39598521921502,57.22222222222222,61.184012066365014,60.36367405397256
rix,9.75,8.451612903225806,6.333333333333333,8.153846153846153,8.166666666666666
entropy,3.260303844589865,10.170692718704048,6.351087997335689,4.004197234012932,11.484166390593213
perplexity,26.057453356036007,26126.16858267478,573.115918519444,54.82779284067748,97165.05317787582
per_word_perplexity,0.10948509813460507,33.45220048998051,1.134883006969196,0.18648909129482136,107.72178844553859
dependency_distance_mean,3.689571958692313,3.535026092277602,2.8347712349253933,3.375417378870065,3.3737460133237014
dependency_distance_std,0.8560642341833318,0.9272978114267698,0.8501365829187983,0.7668691605362331,1.1812527946655489
prop_adjacent_dependency_relation_mean,0.48208137628500536,0.42963507378299354,0.44446313276536403,0.43525651671431714,0.4198159981100401
prop_adjacent_dependency_relation_std,0.0576128485148744,0.07324378789654426,0.1023465916536567,0.05683609903350108,0.10131014076960902
pos_prop_ADP,0.08823529411764706,0.10627400768245839,0.10495049504950495,0.11564625850340136,0.10421286031042129
pos_prop_ADJ,0.08823529411764706,0.088348271446863,0.09504950495049505,0.09523809523809523,0.08647450110864745
pos_prop_NOUN,0.19747899159663865,0.20486555697823303,0.24554455445544554,0.2108843537414966,0.2017738359201774
pos_prop_PUNCT,0.13865546218487396,0.147247119078105,0.10891089108910891,0.1326530612244898,0.15299334811529933
pos_prop_PRON,0.02100840336134454,0.012804097311139564,0.02178217821782178,0.034013605442176874,0.013303769401330377
pos_prop_ADV,0.0546218487394958,0.05761843790012804,0.0594059405940594,0.047619047619047616,0.05432372505543237
pos_prop_PROPN,0.07142857142857142,0.06402048655569782,0.031683168316831684,0.01020408163265306,0.07760532150776053
pos_prop_NUM,0.03361344537815126,0.03841229193341869,0.015841584158415842,0.013605442176870748,0.04212860310421286
pos_prop_VERB,0.07142857142857142,0.052496798975672214,0.07524752475247524,0.08503401360544217,0.050997782705099776
pos_prop_AUX,0.05042016806722689,0.04865556978233035,0.04356435643564356,0.07142857142857142,0.04434589800443459
pos_prop_DET,0.08823529411764706,0.11523687580025609,0.14653465346534653,0.1292517006802721,0.10643015521064302
pos_prop_CCONJ,0.04201680672268908,0.014084507042253521,0.031683168316831684,0.013605442176870748,0.014412416851441241
pos_prop_X,0.012605042016806723,0.024327784891165175,,0.006802721088435374,0.026607538802660754
pos_prop_SCONJ,0.025210084033613446,0.012804097311139564,0.009900990099009901,0.034013605442176874,0.012195121951219513
pos_prop_PART,0.01680672268907563,0.012804097311139564,0.009900990099009901,,0.012195121951219513
token_length_mean,6.442786069651741,6.530959752321982,6.633333333333334,6.768627450980392,6.497964721845319
token_length_median,5.0,5.0,6.0,6.0,5.0
token_length_std,4.247089749733752,4.122144532820716,4.122701379758988,4.104205886556673,4.177579062209095
sentence_length_mean,25.125,20.838709677419356,15.0,19.615384615384617,20.47222222222222
sentence_length_median,21.0,18.0,15.0,18.0,18.0
sentence_length_std,14.198921613981817,8.519793932815999,6.016643582596529,5.916579853239819,11.629670175678317
syllables_per_token_mean,2.3383084577114426,2.346749226006192,2.2555555555555555,2.403921568627451,2.337856173677069
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.5944478057783367,1.5778694797121657,1.4372899739216867,1.5177331890237513,1.59070989023475
n_tokens,201,646,450,255,737
n_unique_tokens,132,341,231,168,373
proportion_unique_tokens,0.6567164179104478,0.5278637770897833,0.5133333333333333,0.6588235294117647,0.5061058344640434
n_characters,1332,4354,3040,1765,4954
n_sentences,8,31,30,13,36
passed_quality_check,True,True,True,True,True
n_stop_words,82.0,271.0,194.0,119.0,296.0
alpha_ratio,0.8067226890756303,0.7836107554417413,0.8752475247524752,0.8537414965986394,0.7694013303769401
mean_word_length,5.5966386554621845,5.574903969270166,6.01980198019802,6.003401360544218,5.492239467849224
doc_length,238.0,781.0,505.0,294.0,902.0
duplicate_ngram_chr_fraction_5,0.12140992167101827,0.025769077107471033,0.0825451418744626,0.022794846382556987,0.0433561523608917
duplicate_ngram_chr_fraction_6,0.0391644908616188,0.0037954454654414702,0.0825451418744626,,0.018781814990345796
duplicate_ngram_chr_fraction_7,0.0391644908616188,0.0037954454654414702,0.06649469762109488,,0.013866947516236615
duplicate_ngram_chr_fraction_8,0.0391644908616188,,0.043565491544855256,,0.010531858873091101
top_ngram_chr_fraction_2,0.0195822454308094,0.011186576108669596,0.018916595012897677,0.017839444995044598,0.01123398279796384
oov_ratio,0.07142857142857142,0.06658130601792574,0.02178217821782178,0.04081632653061224,0.06984478935698447
first_order_coherence,0.7199096509388515,0.5475638285279274,0.4825536320949423,0.6077843755483627,0.5504406345742089
second_order_coherence,0.5809012601772944,0.5004768858438936,0.47302581030609353,0.5638548068024896,0.46586501642185096
connectives,1,14,13,10,14
top_ngram_chr_fraction_3,,0.013983220135836995,0.014903983949555747,,0.0140424784974548
top_ngram_chr_fraction_4,,0.004794246903715541,,,0.01158504476040021
duplicate_ngram_chr_fraction_9,,,0.043565491544855256,,
duplicate_ngram_chr_fraction_10,,,0.043565491544855256,,
symbol_to_word_ratio_#,,,,,0.004070556309362279
