,continue,explain,create,human
dependency_distance_mean,4.192350242350242,3.178956693684104,2.87627038391189,3.3737460133237014
dependency_distance_std,0.055326316781976304,0.9681566809203217,0.755027576762432,1.1812527946655489
prop_adjacent_dependency_relation_mean,0.383570596070596,0.45386950205408355,0.4747010317146144,0.4198159981100401
prop_adjacent_dependency_relation_std,0.0821237749894342,0.08601349361668123,0.10663848151872338,0.10131014076960902
pos_prop_ADP,0.13636363636363635,0.11392405063291139,0.09933774834437085,0.10421286031042129
pos_prop_DET,0.10606060606060606,0.1360759493670886,0.16225165562913907,0.10643015521064302
pos_prop_NOUN,0.19696969696969696,0.23417721518987342,0.26158940397350994,0.2017738359201774
pos_prop_PROPN,0.09848484848484848,0.00949367088607595,0.009933774834437087,0.07760532150776053
pos_prop_VERB,0.06818181818181818,0.07278481012658228,0.0728476821192053,0.050997782705099776
pos_prop_PRON,0.015151515151515152,0.022151898734177215,0.023178807947019868,0.013303769401330377
pos_prop_PUNCT,0.11363636363636363,0.11708860759493671,0.11589403973509933,0.15299334811529933
pos_prop_SCONJ,0.022727272727272728,0.00949367088607595,0.013245033112582781,0.012195121951219513
pos_prop_ADJ,0.09848484848484848,0.13291139240506328,0.10264900662251655,0.08647450110864745
pos_prop_ADV,0.05303030303030303,0.060126582278481014,0.033112582781456956,0.05432372505543237
pos_prop_AUX,0.030303030303030304,0.04430379746835443,0.04304635761589404,0.04434589800443459
pos_prop_NUM,0.05303030303030303,0.00949367088607595,0.023178807947019868,0.04212860310421286
pos_prop_CCONJ,0.007575757575757576,0.0189873417721519,0.023178807947019868,0.014412416851441241
token_length_mean,5.771929824561403,7.046931407942238,6.734082397003745,6.497964721845319
token_length_median,5.0,6.0,5.0,5.0
token_length_std,3.718222287267337,4.220625773446736,4.552695974629263,4.177579062209095
sentence_length_mean,22.8,17.3125,16.6875,20.47222222222222
sentence_length_median,25.0,18.0,16.0,18.0
sentence_length_std,6.04648658313239,5.39350013905627,6.341517464298273,11.629670175678317
syllables_per_token_mean,2.1315789473684212,2.5812274368231045,2.3782771535580522,2.337856173677069
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.448006239050342,1.6316171936713721,1.729664087552891,1.59070989023475
n_tokens,114,277,267,737
n_unique_tokens,73,179,169,373
proportion_unique_tokens,0.6403508771929824,0.6462093862815884,0.6329588014981273,0.5061058344640434
n_characters,676,1991,1833,4954
n_sentences,5,16,16,36
flesch_reading_ease,3.3614210526315844,-29.109028655234624,-11.305059691011195,-11.7269378486356
flesch_kincaid_grade,18.454631578947374,21.620358754512633,18.981795411985022,19.980869516056085
smog,18.026119701940384,18.839152255641928,17.19510642950941,18.803045445653858
gunning_fog,21.04982456140351,24.397924187725632,21.206835205992512,22.897165686717926
automated_readability_index,17.15578947368421,20.41729693140794,18.631278089887637,19.41152495100257
coleman_liau_index,16.840701754385957,23.92620938628158,22.02262172284644,20.962170963364994
lix,57.01052631578948,60.63379963898917,60.88225655430712,60.36367405397256
rix,7.8,7.5,7.375,8.166666666666666
entropy,1.70386432330246,4.248696399479773,4.28974959872494,11.484166390593213
perplexity,5.4951414181003,70.01408243647484,72.94819989022089,97165.05317787582
per_word_perplexity,0.04162985922803258,0.22156355201416086,0.24155033076232083,107.72178844553859
passed_quality_check,True,True,True,True
n_stop_words,47.0,123.0,118.0,296.0
alpha_ratio,0.8106060606060606,0.8670886075949367,0.8675496688741722,0.7694013303769401
mean_word_length,5.121212121212121,6.300632911392405,6.069536423841059,5.492239467849224
doc_length,132.0,316.0,302.0,902.0
duplicate_ngram_chr_fraction_5,0.060759493670886074,,0.019102196752626553,0.0433561523608917
top_ngram_chr_fraction_2,0.02278481012658228,0.03968253968253968,0.0071633237822349575,0.01123398279796384
oov_ratio,0.07575757575757576,0.056962025316455694,0.046357615894039736,0.06984478935698447
first_order_coherence,0.47552596777677536,0.5389046922326088,0.4516611635684967,0.5504406345742089
second_order_coherence,0.6920485198497772,0.5209557717399937,0.48006533262585954,0.46586501642185096
connectives,2,4,2,14
pos_prop_X,,0.015822784810126583,0.009933774834437087,0.026607538802660754
pos_prop_PART,,0.0031645569620253164,0.006622516556291391,0.012195121951219513
duplicate_ngram_chr_fraction_6,,,0.019102196752626553,0.018781814990345796
symbol_to_word_ratio_#,,,,0.004070556309362279
duplicate_ngram_chr_fraction_7,,,,0.013866947516236615
duplicate_ngram_chr_fraction_8,,,,0.010531858873091101
top_ngram_chr_fraction_3,,,,0.0140424784974548
top_ngram_chr_fraction_4,,,,0.01158504476040021
