,continue,human-cont,create,human-full,explain
entropy,1.8047626665840644,10.170692718704048,5.109690403656353,11.484166390593213,3.5674269452752254
perplexity,6.078528639347858,26126.16858267478,165.61907187653395,97165.05317787582,35.425324483804786
per_word_perplexity,0.04250719328215285,33.45220048998051,0.4404762549907818,107.72178844553859,0.11887692779800264
pos_prop_DET,0.1048951048951049,0.11523687580025609,0.16489361702127658,0.10643015521064302,0.1040268456375839
pos_prop_NOUN,0.23076923076923078,0.20486555697823303,0.24468085106382978,0.2017738359201774,0.21140939597315436
pos_prop_ADP,0.13286713286713286,0.10627400768245839,0.10372340425531915,0.10421286031042129,0.10738255033557047
pos_prop_PROPN,0.09090909090909091,0.06402048655569782,0.013297872340425532,0.07760532150776053,0.013422818791946308
pos_prop_ADV,0.055944055944055944,0.05761843790012804,0.05585106382978723,0.05432372505543237,0.06040268456375839
pos_prop_CCONJ,0.006993006993006993,0.014084507042253521,0.026595744680851064,0.014412416851441241,0.016778523489932886
pos_prop_AUX,0.03496503496503497,0.04865556978233035,0.031914893617021274,0.04434589800443459,0.08053691275167785
pos_prop_VERB,0.04195804195804196,0.052496798975672214,0.08776595744680851,0.050997782705099776,0.08389261744966443
pos_prop_PUNCT,0.15384615384615385,0.147247119078105,0.09840425531914894,0.15299334811529933,0.12080536912751678
pos_prop_SCONJ,0.006993006993006993,0.012804097311139564,0.013297872340425532,0.012195121951219513,0.03355704697986577
pos_prop_ADJ,0.06993006993006994,0.088348271446863,0.10638297872340426,0.08647450110864745,0.09060402684563758
pos_prop_PART,0.006993006993006993,0.012804097311139564,0.010638297872340425,0.012195121951219513,0.003355704697986577
pos_prop_NUM,0.04895104895104895,0.03841229193341869,0.015957446808510637,0.04212860310421286,0.026845637583892617
pos_prop_X,0.006993006993006993,0.024327784891165175,,0.026607538802660754,0.013422818791946308
pos_prop_PRON,0.006993006993006993,0.012804097311139564,0.026595744680851064,0.013303769401330377,0.03355704697986577
first_order_coherence,0.426021970808506,0.5475638285279274,0.589435087222802,0.5504406345742089,0.4429680817411281
second_order_coherence,0.486698180437088,0.5004768858438936,0.5574712389045291,0.46586501642185096,0.451031517283991
token_length_mean,5.798319327731092,6.530959752321982,6.607669616519174,6.497964721845319,6.714285714285714
token_length_median,5.0,5.0,5.0,5.0,6.0
token_length_std,3.8731565567577886,4.122144532820716,4.160078588362031,4.177579062209095,4.135194617960073
sentence_length_mean,23.8,20.838709677419356,16.95,20.47222222222222,15.235294117647058
sentence_length_median,26.0,18.0,17.0,18.0,14.0
sentence_length_std,6.584831053261731,8.519793932815999,6.256796304819264,11.629670175678317,6.512697207263271
syllables_per_token_mean,2.1260504201680672,2.346749226006192,2.2684365781710913,2.337856173677069,2.3976833976833976
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.4351799690896938,1.5778694797121657,1.507671896289981,1.59070989023475,1.5939540815370707
n_tokens,119,646,339,737,259
n_unique_tokens,73,341,202,373,166
proportion_unique_tokens,0.6134453781512605,0.5278637770897833,0.5958702064896755,0.5061058344640434,0.640926640926641
n_characters,714,4354,2277,4954,1778
n_sentences,5,31,20,36,17
passed_quality_check,True,True,True,True,True
n_stop_words,43.0,271.0,154.0,296.0,119.0
alpha_ratio,0.7832167832167832,0.7836107554417413,0.8882978723404256,0.7694013303769401,0.8389261744966443
mean_word_length,4.993006993006993,5.574903969270166,6.055851063829787,5.492239467849224,5.966442953020135
doc_length,143.0,781.0,376.0,902.0,298.0
duplicate_ngram_chr_fraction_5,0.10084033613445378,0.025769077107471033,0.016073478760045924,0.0433561523608917,0.023587223587223587
duplicate_ngram_chr_fraction_6,0.055222088835534214,0.0037954454654414702,,0.018781814990345796,
top_ngram_chr_fraction_2,0.028811524609843937,0.011186576108669596,0.009184845005740528,0.01123398279796384,0.01769041769041769
oov_ratio,0.09090909090909091,0.06658130601792574,0.018617021276595744,0.06984478935698447,0.0436241610738255
flesch_reading_ease,2.81413445378152,-12.85127484270447,-2.2789845132743096,-11.7269378486356,-11.472838973427173
flesch_kincaid_grade,18.779394957983197,20.228737641066612,17.78805162241888,19.980869516056085,18.644428798546446
smog,18.669449996058646,19.024435895343842,16.827784334635936,18.803045445653858,16.63371718428618
gunning_fog,21.956974789915968,23.19616498551883,20.349321533923302,22.897165686717926,20.765932318873496
automated_readability_index,17.78008403361345,19.750175272146215,18.16712389380531,19.41152495100257,17.81193277310924
coleman_liau_index,17.050420168067223,21.18160990712074,21.30678466076696,20.962170963364994,21.737142857142853
lix,56.57310924369747,61.39598521921502,55.59306784660767,60.36367405397256,57.706336588689524
rix,7.8,8.451612903225806,6.55,8.166666666666666,6.470588235294118
dependency_distance_mean,3.8755028390578268,3.535026092277602,2.8260078158061583,3.3737460133237014,3.0573507833528772
dependency_distance_std,0.873102420513657,0.9272978114267698,0.722796519561296,1.1812527946655489,1.093571775080319
prop_adjacent_dependency_relation_mean,0.4698308676569546,0.42963507378299354,0.45943577836938587,0.4198159981100401,0.3855126634948161
prop_adjacent_dependency_relation_std,0.0713053828899347,0.07324378789654426,0.07144157166807046,0.10131014076960902,0.1457389751523434
connectives,1,14,10,14,8
duplicate_ngram_chr_fraction_7,,0.0037954454654414702,,0.013866947516236615,
top_ngram_chr_fraction_3,,0.013983220135836995,,0.0140424784974548,0.019656019656019656
top_ngram_chr_fraction_4,,0.004794246903715541,,0.01158504476040021,
symbol_to_word_ratio_#,,,,0.004070556309362279,
duplicate_ngram_chr_fraction_8,,,,0.010531858873091101,
