,continue,human-cont,create,explain,human-full
first_order_coherence,0.6711577797929446,0.5475638285279274,0.5681936447990352,0.6568227873908149,0.5504406345742089
second_order_coherence,0.5635914904996753,0.5004768858438936,0.5701208274279322,0.6399242617189884,0.46586501642185096
passed_quality_check,True,True,True,True,True
n_stop_words,92.0,271.0,186.0,96.0,296.0
alpha_ratio,0.8110236220472441,0.7836107554417413,0.8633540372670807,0.8433179723502304,0.7694013303769401
mean_word_length,5.5236220472440944,5.574903969270166,5.853002070393375,5.967741935483871,5.492239467849224
doc_length,254.0,781.0,483.0,217.0,902.0
duplicate_ngram_chr_fraction_5,0.11379097093382808,0.025769077107471033,0.1386928505676588,0.05266711681296422,0.0433561523608917
duplicate_ngram_chr_fraction_6,0.03710575139146568,0.0037954454654414702,0.1386928505676588,0.05266711681296422,0.018781814990345796
duplicate_ngram_chr_fraction_7,0.03710575139146568,0.0037954454654414702,0.10678122123350721,0.05266711681296422,0.013866947516236615
duplicate_ngram_chr_fraction_8,0.03710575139146568,,0.10678122123350721,0.05266711681296422,0.010531858873091101
top_ngram_chr_fraction_2,0.01855287569573284,0.011186576108669596,0.013807916538815588,0.01350438892640108,0.01123398279796384
top_ngram_chr_fraction_3,0.01855287569573284,0.013983220135836995,0.033752684872660324,0.024307900067521943,0.0140424784974548
oov_ratio,0.07874015748031496,0.06658130601792574,0.035196687370600416,0.03686635944700461,0.06984478935698447
token_length_mean,6.344186046511628,6.530959752321982,6.4511627906976745,6.764705882352941,6.497964721845319
token_length_median,5.0,5.0,6.0,6.0,5.0
token_length_std,4.360782003989299,4.122144532820716,3.89229244897951,4.145513042969548,4.177579062209095
sentence_length_mean,21.5,20.838709677419356,14.333333333333334,18.7,20.47222222222222
sentence_length_median,16.5,18.0,14.0,18.5,18.0
sentence_length_std,14.263590010933433,8.519793932815999,4.914830165484415,4.473253849269009,11.629670175678317
syllables_per_token_mean,2.3069767441860467,2.346749226006192,2.244186046511628,2.379679144385027,2.337856173677069
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.6645965149545108,1.5778694797121657,1.4120416236011049,1.558215729829486,1.59070989023475
n_tokens,215,646,430,187,737
n_unique_tokens,132,341,210,124,373
proportion_unique_tokens,0.6139534883720931,0.5278637770897833,0.4883720930232558,0.6631016042780749,0.5061058344640434
n_characters,1403,4354,2827,1295,4954
n_sentences,10,31,30,10,36
pos_prop_ADP,0.0984251968503937,0.10627400768245839,0.13043478260869565,0.10138248847926268,0.10421286031042129
pos_prop_ADJ,0.08267716535433071,0.088348271446863,0.10351966873706005,0.08755760368663594,0.08647450110864745
pos_prop_NOUN,0.20078740157480315,0.20486555697823303,0.2401656314699793,0.19815668202764977,0.2017738359201774
pos_prop_PUNCT,0.1377952755905512,0.147247119078105,0.10144927536231885,0.12903225806451613,0.15299334811529933
pos_prop_PRON,0.023622047244094488,0.012804097311139564,0.022774327122153208,0.04608294930875576,0.013303769401330377
pos_prop_ADV,0.05511811023622047,0.05761843790012804,0.039337474120082816,0.07834101382488479,0.05432372505543237
pos_prop_PROPN,0.06692913385826772,0.06402048655569782,0.026915113871635612,,0.07760532150776053
pos_prop_NUM,0.03543307086614173,0.03841229193341869,0.026915113871635612,0.018433179723502304,0.04212860310421286
pos_prop_VERB,0.05905511811023622,0.052496798975672214,0.07660455486542443,0.09216589861751152,0.050997782705099776
pos_prop_AUX,0.047244094488188976,0.04865556978233035,0.060041407867494824,0.08755760368663594,0.04434589800443459
pos_prop_DET,0.11023622047244094,0.11523687580025609,0.13043478260869565,0.1152073732718894,0.10643015521064302
pos_prop_CCONJ,0.027559055118110236,0.014084507042253521,0.016563146997929608,0.004608294930875576,0.014412416851441241
pos_prop_X,0.015748031496062992,0.024327784891165175,,0.009216589861751152,0.026607538802660754
pos_prop_SCONJ,0.027559055118110236,0.012804097311139564,0.012422360248447204,0.02304147465437788,0.012195121951219513
pos_prop_PART,0.011811023622047244,0.012804097311139564,0.012422360248447204,0.009216589861751152,0.012195121951219513
dependency_distance_mean,3.684494477615607,3.535026092277602,3.00986070982109,3.7592107673028723,3.3737460133237014
dependency_distance_std,1.0439463453015059,0.9272978114267698,0.7096793051784572,0.8563672555091743,1.1812527946655489
prop_adjacent_dependency_relation_mean,0.43562177738841823,0.42963507378299354,0.4131897304516142,0.4326385675727781,0.4198159981100401
prop_adjacent_dependency_relation_std,0.08210289706108546,0.07324378789654426,0.08251716608876421,0.04838438955427574,0.10131014076960902
entropy,3.918057335079765,10.170692718704048,6.510152041726871,3.185177879806487,11.484166390593213
perplexity,50.30262864477902,26126.16858267478,671.9285710053758,24.171587660794028,97165.05317787582
per_word_perplexity,0.19804184505818512,33.45220048998051,1.3911564617088525,0.11138980488845174,107.72178844553859
flesch_reading_ease,-10.157732558139514,-12.85127484270447,2.428527131782971,-13.466355614973253,-11.7269378486356
flesch_kincaid_grade,20.01732558139535,20.228737641066612,16.481395348837214,19.78321390374332,19.980869516056085
smog,18.7741,19.024435895343842,16.19785254184576,18.026119701940384,18.803045445653858
gunning_fog,22.553488372093025,23.19616498551883,20.337984496124037,22.025454545454547,22.897165686717926
automated_readability_index,19.201116279069772,19.750175272146215,16.121643410852712,19.781764705882352,19.41152495100257
coleman_liau_index,20.127069767441863,21.18160990712074,20.06772093023255,22.39358288770053,20.962170963364994
lix,59.17441860465116,61.39598521921502,57.12403100775194,58.80695187165776,60.36367405397256
rix,8.1,8.451612903225806,6.133333333333334,7.5,8.166666666666666
connectives,3,14,7,7,14
