,continue,explain,create,human
flesch_reading_ease,-1.801014188123986,-25.082083333333316,-14.10824999999997,-11.7269378486356
flesch_kincaid_grade,17.417624802942722,21.622819148936177,19.885166666666667,19.980869516056085
smog,16.471200829534098,19.117987234576393,18.31093147301405,18.803045445653858
gunning_fog,20.163741460851288,23.833333333333332,22.566666666666666,22.897165686717926
automated_readability_index,17.00779821334735,21.41183687943262,19.831699999999998,19.41152495100257
coleman_liau_index,20.486936416184964,23.948595744680848,22.428933333333337,20.962170963364994
lix,52.14345769837099,61.71099290780141,61.41666666666667,60.36367405397256
rix,5.7272727272727275,8.25,8.0,8.166666666666666
passed_quality_check,True,True,True,True
n_stop_words,68.0,113.0,139.0,296.0
alpha_ratio,0.835,0.8893129770992366,0.9102167182662538,0.7694013303769401
mean_word_length,5.75,6.396946564885496,6.359133126934984,5.492239467849224
doc_length,200.0,262.0,323.0,902.0
duplicate_ngram_chr_fraction_5,0.0709433962264151,,0.04929876753081173,0.0433561523608917
duplicate_ngram_chr_fraction_6,0.04226415094339623,,0.02379940501487463,0.018781814990345796
top_ngram_chr_fraction_2,0.018113207547169812,0.012572027239392353,0.014024649383765405,0.01123398279796384
oov_ratio,0.075,0.05725190839694656,0.043343653250773995,0.06984478935698447
entropy,2.371043146146831,3.4414792443771534,4.549748911107109,11.484166390593213
perplexity,10.708557049882144,31.233125438739584,94.60865015111902,97165.05317787582
per_word_perplexity,0.05354278524941072,0.11921040243793735,0.2929060376195635,107.72178844553859
dependency_distance_mean,2.985091650773469,3.422228553428266,2.99028156677344,3.3737460133237014
dependency_distance_std,1.4047827715259684,0.5622430595366387,0.6964827471859505,1.1812527946655489
prop_adjacent_dependency_relation_mean,0.4016475948294131,0.42590868927794223,0.397994650312278,0.4198159981100401
prop_adjacent_dependency_relation_std,0.1465744609360425,0.05812358193099193,0.07311725888371008,0.10131014076960902
token_length_mean,6.491329479768786,7.017021276595744,6.77,6.497964721845319
token_length_median,5.0,6.0,5.0,5.0
token_length_std,4.4716428258486065,4.283532005991763,4.195684290633253,4.177579062209095
sentence_length_mean,15.727272727272727,19.583333333333332,18.75,20.47222222222222
sentence_length_median,15.0,21.0,16.0,18.0
sentence_length_std,8.88400922076912,5.203497755249721,9.424038412485382,11.629670175678317
syllables_per_token_mean,2.277456647398844,2.5063829787234044,2.3866666666666667,2.337856173677069
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.5593871645763304,1.6512283313531984,1.625983463083872,1.59070989023475
n_tokens,173,235,300,737
n_unique_tokens,107,157,194,373
proportion_unique_tokens,0.6184971098265896,0.6680851063829787,0.6466666666666666,0.5061058344640434
n_characters,1150,1676,2054,4954
n_sentences,11,12,16,36
pos_prop_DET,0.12,0.13740458015267176,0.17027863777089783,0.10643015521064302
pos_prop_NOUN,0.205,0.22137404580152673,0.24458204334365324,0.2017738359201774
pos_prop_VERB,0.075,0.08396946564885496,0.07430340557275542,0.050997782705099776
pos_prop_ADP,0.12,0.11450381679389313,0.11455108359133127,0.10421286031042129
pos_prop_PUNCT,0.13,0.10305343511450382,0.07120743034055728,0.15299334811529933
pos_prop_SCONJ,0.015,0.026717557251908396,0.018575851393188854,0.012195121951219513
pos_prop_ADJ,0.065,0.11068702290076336,0.1238390092879257,0.08647450110864745
pos_prop_ADV,0.06,0.0648854961832061,0.043343653250773995,0.05432372505543237
pos_prop_AUX,0.05,0.08015267175572519,0.034055727554179564,0.04434589800443459
pos_prop_PROPN,0.085,,0.01238390092879257,0.07760532150776053
pos_prop_PRON,0.01,0.007633587786259542,0.018575851393188854,0.013303769401330377
pos_prop_NUM,0.03,0.011450381679389313,0.02476780185758514,0.04212860310421286
pos_prop_CCONJ,0.01,0.022900763358778626,0.02786377708978328,0.014412416851441241
pos_prop_PART,0.01,0.007633587786259542,0.01238390092879257,0.012195121951219513
pos_prop_X,0.015,0.007633587786259542,0.009287925696594427,0.026607538802660754
first_order_coherence,0.4934428155422211,0.6938925737684424,0.6251880864302317,0.5504406345742089
second_order_coherence,0.40510547161102295,0.6656026303768158,0.6461695773260934,0.46586501642185096
connectives,3,5,8,14
symbol_to_word_ratio_#,,,,0.004070556309362279
duplicate_ngram_chr_fraction_7,,,,0.013866947516236615
duplicate_ngram_chr_fraction_8,,,,0.010531858873091101
top_ngram_chr_fraction_3,,,,0.0140424784974548
top_ngram_chr_fraction_4,,,,0.01158504476040021
