,continue,explain,create,human
token_length_mean,5.632152588555858,5.372434017595308,5.6617429837518465,4.7084917617237005
token_length_median,5.0,5.0,5.0,4.0
token_length_std,2.934962875912362,2.821004625321661,2.988293047408885,2.5595451476254807
sentence_length_mean,20.38888888888889,21.3125,25.074074074074073,21.916666666666668
sentence_length_median,20.5,20.0,27.0,22.0
sentence_length_std,7.181294288240873,6.39060589850446,7.220987548784322,11.521417254641703
syllables_per_token_mean,1.6403269754768393,1.6011730205278591,1.6794682422451994,1.4068441064638784
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.9138998698468619,0.879481870247035,0.9749026452680682,0.7622286064216708
n_tokens,367,341,677,789
n_unique_tokens,240,219,374,315
proportion_unique_tokens,0.6539509536784741,0.6422287390029325,0.552437223042836,0.39923954372623577
n_characters,2120,1867,3917,3924
n_sentences,18,16,27,36
flesch_reading_ease,47.3686156524372,49.74357496334315,39.30180152087098,65.57057192648924
flesch_kincaid_grade,11.717524977293373,11.61571664222874,14.00661414738224,9.558260456273768
smog,14.314028922438442,14.099209189292512,15.664399934363136,12.261556223090622
gunning_fog,15.675991522858011,15.445821114369503,17.710574976749275,13.430798479087452
automated_readability_index,15.291883136542538,14.530414222873894,17.773846490508234,11.705329531051966
coleman_liau_index,15.865286103542232,14.401055718475071,16.310546528803545,10.535361216730035
lix,58.80850741749924,55.33009530791789,64.21735324689534,46.378010139416986
rix,7.833333333333333,7.25,9.814814814814815,5.361111111111111
dependency_distance_mean,2.754611788078533,2.6618976789506137,2.7793341850800766,3.1488405598293583
dependency_distance_std,0.5154858460520111,0.2920485601997913,0.3924957043414151,1.1714968503145393
prop_adjacent_dependency_relation_mean,0.4796883400364129,0.4957653692590129,0.4837295479860749,0.41070994505063385
prop_adjacent_dependency_relation_std,0.0447564587378432,0.04217239049215938,0.06147763906970298,0.1172270440393428
entropy,9.982332939150101,8.73316487808375,16.436524416998587,28.280904599648743
perplexity,21640.74023460498,6205.336198769106,13749656.734458668,1915317650324.9116
per_word_perplexity,52.78229325513409,16.591808018099215,18163.35103627301,2016123842.4472754
passed_quality_check,True,True,True,True
n_stop_words,170.0,141.0,267.0,385.0
alpha_ratio,0.9073170731707317,0.9144385026737968,0.8956406869220608,0.8410526315789474
mean_word_length,5.170731707317073,4.991978609625669,5.17437252311757,4.130526315789473
doc_length,410.0,374.0,757.0,950.0
top_ngram_chr_fraction_2,0.013268998793727383,0.016333938294010888,0.013946393549792983,0.010777683854606932
oov_ratio,0.01707317073170732,0.02406417112299465,,0.011578947368421053
first_order_coherence,0.8036339177804834,0.7752906362215678,0.7856684269813391,0.7239734520869595
second_order_coherence,0.7740854397416115,0.7590701069150653,0.7872320652008057,0.6951312782133326
pos_prop_ADP,0.1073170731707317,0.10962566844919786,0.1215323645970938,0.08105263157894736
pos_prop_DET,0.06829268292682927,0.0855614973262032,0.06869220607661823,0.10421052631578948
pos_prop_NOUN,0.23170731707317074,0.23529411764705882,0.24174372523117568,0.18210526315789474
pos_prop_PUNCT,0.09268292682926829,0.08288770053475936,0.09907529722589167,0.15157894736842106
pos_prop_AUX,0.04390243902439024,0.0213903743315508,0.03038309114927345,0.042105263157894736
pos_prop_VERB,0.13902439024390245,0.1497326203208556,0.12417437252311757,0.13052631578947368
pos_prop_SCONJ,0.03414634146341464,0.0213903743315508,0.018494055482166448,0.02
pos_prop_ADJ,0.07073170731707316,0.053475935828877004,0.0845442536327609,0.049473684210526316
pos_prop_PROPN,0.036585365853658534,0.10427807486631016,0.09379128137384413,0.08526315789473685
pos_prop_PART,0.02195121951219512,0.01871657754010695,0.019815059445178335,0.030526315789473683
pos_prop_CCONJ,0.026829268292682926,0.026737967914438502,0.02906208718626156,0.021052631578947368
pos_prop_PRON,0.08048780487804878,0.058823529411764705,0.036988110964332896,0.07473684210526316
pos_prop_ADV,0.04390243902439024,0.026737967914438502,0.02509907529722589,0.015789473684210527
pos_prop_INTJ,0.0024390243902439024,,,
connectives,13,9,18,16
pos_prop_NUM,,0.0053475935828877,0.005284015852047556,0.010526315789473684
duplicate_ngram_chr_fraction_5,,,0.02397036391370669,0.07100591715976332
top_ngram_chr_fraction_3,,,0.01176726955763783,0.026627218934911243
pos_prop_SYM,,,0.001321003963011889,0.0010526315789473684
duplicate_ngram_chr_fraction_6,,,,0.04268808114961961
duplicate_ngram_chr_fraction_7,,,,0.01098901098901099
top_ngram_chr_fraction_4,,,,0.028106508875739646
