,continue,create,explain,human
passed_quality_check,True,True,True,True
n_stop_words,189.0,144.0,175.0,385.0
alpha_ratio,0.9274193548387096,0.887012987012987,0.9057471264367816,0.8410526315789474
mean_word_length,5.63508064516129,6.722077922077922,4.855172413793103,4.130526315789473
doc_length,496.0,770.0,435.0,950.0
top_ngram_chr_fraction_2,0.007701786814540973,0.0077279752704791345,0.008003201280512205,0.010777683854606932
oov_ratio,0.018145161290322582,0.11428571428571428,0.020689655172413793,0.011578947368421053
pos_prop_PROPN,0.04838709677419355,0.15454545454545454,0.08275862068965517,0.08526315789473685
pos_prop_PUNCT,0.07258064516129033,0.10909090909090909,0.09195402298850575,0.15157894736842106
pos_prop_DET,0.06653225806451613,0.03636363636363636,0.08045977011494253,0.10421052631578948
pos_prop_VERB,0.1431451612903226,0.14805194805194805,0.13333333333333333,0.13052631578947368
pos_prop_NOUN,0.24193548387096775,0.2623376623376623,0.22758620689655173,0.18210526315789474
pos_prop_ADV,0.02620967741935484,0.02857142857142857,0.022988505747126436,0.015789473684210527
pos_prop_ADP,0.1431451612903226,0.08441558441558442,0.11724137931034483,0.08105263157894736
pos_prop_AUX,0.024193548387096774,0.01818181818181818,0.02528735632183908,0.042105263157894736
pos_prop_NUM,0.004032258064516129,0.003896103896103896,0.004597701149425287,0.010526315789473684
pos_prop_PRON,0.05846774193548387,0.01818181818181818,0.05517241379310345,0.07473684210526316
pos_prop_ADJ,0.09879032258064516,0.10649350649350649,0.0735632183908046,0.049473684210526316
pos_prop_PART,0.024193548387096774,0.006493506493506494,0.03218390804597701,0.030526315789473683
pos_prop_CCONJ,0.03225806451612903,0.00909090909090909,0.03908045977011494,0.021052631578947368
pos_prop_SCONJ,0.016129032258064516,0.006493506493506494,0.013793103448275862,0.02
entropy,10.897027269816824,9.189906130714188,10.728704994020088,28.280904599648743
perplexity,54015.55122943856,9797.731230002915,45647.53989635239,1915317650324.9116
per_word_perplexity,108.90232102709388,12.724326272731059,104.93687332494802,2016123842.4472754
first_order_coherence,0.8566371412838206,0.7568660199642181,0.7936637927504147,0.7239734520869595
second_order_coherence,0.853157252073288,0.7483664515771364,0.7936638407409191,0.6951312782133326
dependency_distance_mean,2.788765678588476,2.97235159609808,2.7964427588331104,3.1488405598293583
dependency_distance_std,0.5084405013230655,0.938604516958325,0.5932906455975537,1.1714968503145393
prop_adjacent_dependency_relation_mean,0.5055941876344175,0.48836447304481245,0.4853604972026024,0.41070994505063385
prop_adjacent_dependency_relation_std,0.07223563926126525,0.05576233982155556,0.09678953898668806,0.1172270440393428
flesch_reading_ease,30.29611845325502,2.8231467844870224,48.832564102564106,65.57057192648924
flesch_kincaid_grade,15.299530102790015,20.898055964653903,11.830769230769231,9.558260456273768
smog,16.99224021665606,20.626293775002893,14.554592549557764,12.261556223090622
gunning_fog,19.428095937347038,24.538635247913604,16.051282051282055,13.430798479087452
automated_readability_index,19.627851199216842,29.780731467844866,14.305948717948716,11.705329531051966
coleman_liau_index,18.53955947136564,27.033814432989697,13.922461538461537,10.535361216730035
lix,68.83455702398433,85.64702994599902,54.230769230769226,46.378010139416986
rix,11.0,17.238095238095237,7.055555555555555,5.361111111111111
token_length_mean,6.039647577092511,7.440353460972018,5.287179487179487,4.7084917617237005
token_length_median,6.0,7.0,5.0,4.0
token_length_std,3.0844523941590243,5.024730345444625,2.897317900932931,2.5595451476254807
sentence_length_mean,25.22222222222222,32.333333333333336,21.666666666666668,21.916666666666668
sentence_length_median,25.5,26.0,19.0,22.0
sentence_length_std,5.883645464388323,20.249240628521008,9.140872800534725,11.521417254641703
syllables_per_token_mean,1.7841409691629957,2.023564064801178,1.6076923076923078,1.4068441064638784
syllables_per_token_median,1.0,2.0,1.0,1.0
syllables_per_token_std,1.0053226354126668,1.3079697783341986,0.9594027563620959,0.7622286064216708
n_tokens,454,679,390,789
n_unique_tokens,278,555,232,315
proportion_unique_tokens,0.6123348017621145,0.8173784977908689,0.5948717948717949,0.39923954372623577
n_characters,2795,5176,2112,3924
n_sentences,18,21,18,36
connectives,8,6,12,16
symbol_to_word_ratio_#,,0.0014577259475218659,,
pos_prop_X,,0.005194805194805195,,
pos_prop_SYM,,0.0012987012987012987,,0.0010526315789473684
pos_prop_INTJ,,0.0012987012987012987,,
duplicate_ngram_chr_fraction_5,,,0.03361344537815126,0.07100591715976332
duplicate_ngram_chr_fraction_6,,,0.03361344537815126,0.04268808114961961
duplicate_ngram_chr_fraction_7,,,,0.01098901098901099
top_ngram_chr_fraction_3,,,,0.026627218934911243
top_ngram_chr_fraction_4,,,,0.028106508875739646
