,human-cont,continue,create,explain,human-full
flesch_reading_ease,42.36877263581488,38.80215696672414,20.29679338842979,37.389545717592625,37.2747334710744
flesch_kincaid_grade,11.607273988760152,13.0380405674135,16.44028650137741,12.755164930555555,12.569216253443525
smog,13.304227280403612,14.77791319909322,17.58133193835471,14.232682905230785,14.191785591663535
gunning_fog,14.259598973149242,16.31759246983959,20.258512396694215,15.553935185185185,15.524462809917356
automated_readability_index,14.688200929716231,16.446889831631978,20.00694214876033,16.026305700231482,15.729834710743802
coleman_liau_index,16.86551307847083,17.02659949622166,19.601322314049586,17.563046874999994,17.63046831955923
lix,55.97092902241032,62.45644968845288,69.93002754820937,62.71296296296296,59.61005509641873
rix,6.655172413793103,8.68421052631579,11.066666666666666,8.296296296296296,7.525
first_order_coherence,0.5552703196715031,0.8370138737890456,0.8705250791140965,0.8337481113580557,0.6369857750833035
second_order_coherence,0.6377142195900282,0.8407651711912716,0.8569437540494479,0.8207554149627686,0.6903685921509015
dependency_distance_mean,2.6690379659498595,2.6929002592051376,3.173360034124218,2.7037600291452253,2.706079224687429
dependency_distance_std,1.0253557840705299,0.4015887750826948,0.5123031033856792,0.5787738227539977,0.9380093050619777
prop_adjacent_dependency_relation_mean,0.470340839336692,0.4570931027071847,0.4707512429232288,0.4839837976095828,0.47544226806044587
prop_adjacent_dependency_relation_std,0.06436815780924443,0.054382598017534416,0.06084893073608255,0.06486771299985929,0.06641668609942078
token_length_mean,5.849094567404427,5.82367758186398,6.228650137741047,5.939453125,5.962809917355372
token_length_median,5.0,5.0,6.0,6.0,6.0
token_length_std,4.073687983613582,3.2540064167156144,3.466495296106282,3.2280276022561725,3.8747604329692953
sentence_length_mean,17.137931034482758,20.894736842105264,24.2,18.962962962962962,18.15
sentence_length_median,18.0,19.0,24.0,18.0,18.0
sentence_length_std,9.069555507228126,7.114808403250115,6.685307272918227,6.298038974518512,8.46625655174706
syllables_per_token_mean,1.738430583501006,1.7355163727959697,1.9146005509641872,1.775390625,1.7865013774104683
syllables_per_token_median,1.0,1.0,2.0,1.0,1.0
syllables_per_token_std,1.009009690260953,0.9512410283752616,1.1088830121592377,0.9694250892472865,1.0095328772077667
n_tokens,497,397,363,512.0,726
n_unique_tokens,264,206,211,228.0,324
proportion_unique_tokens,0.5311871227364185,0.5188916876574308,0.581267217630854,0.4453125,0.4462809917355372
n_characters,3009,2369,2319,3113.0,4470
n_sentences,29,19,15,27.0,40
pos_prop_DET,0.045075125208681135,0.09030837004405286,0.0688836104513064,0.07876712328767123,0.05074971164936563
pos_prop_NOUN,0.27879799666110183,0.2907488986784141,0.30641330166270786,0.3202054794520548,0.29988465974625145
pos_prop_ADP,0.12020033388981637,0.11233480176211454,0.12351543942992874,0.1232876712328767,0.11880046136101499
pos_prop_ADJ,0.09682804674457429,0.08149779735682819,0.12826603325415678,0.0976027397260274,0.09919261822376009
pos_prop_PUNCT,0.1302170283806344,0.12555066079295155,0.13064133016627077,0.11472602739726027,0.13494809688581316
pos_prop_PROPN,0.06343906510851419,0.030837004405286344,0.028503562945368172,0.039383561643835614,0.05536332179930796
