,continue,explain,create,human
token_length_mean,6.046153846153846,5.2145748987854255,6.277392510402219,4.7084917617237005
token_length_median,6.0,4.0,6.0,4.0
token_length_std,3.0898738440162496,2.806605518395513,3.33321066536369,2.5595451476254807
sentence_length_mean,22.75,19.0,28.84,21.916666666666668
sentence_length_median,22.5,18.0,24.0,22.0
sentence_length_std,5.5666417165109525,4.489303526589191,28.749511300194303,11.521417254641703
syllables_per_token_mean,1.8,1.5222672064777327,1.7572815533980584,1.4068441064638784
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,1.0107118588096518,0.8669074131726258,1.0550218538629976,0.7622286064216708
n_tokens,455,247,721,789
n_unique_tokens,282,169,538,315
proportion_unique_tokens,0.6197802197802198,0.6842105263157895,0.7461858529819695,0.39923954372623577
n_characters,2810,1322,4664,3924
n_sentences,20,13,25,36
pos_prop_PROPN,0.03578528827037773,0.08363636363636363,0.1419828641370869,0.08526315789473685
pos_prop_PUNCT,0.08349900596421471,0.09454545454545454,0.09547123623011015,0.15157894736842106
pos_prop_ADV,0.02584493041749503,0.03636363636363636,0.03427172582619339,0.015789473684210527
pos_prop_ADP,0.12326043737574553,0.10909090909090909,0.09057527539779682,0.08105263157894736
pos_prop_AUX,0.019880715705765408,0.02181818181818182,0.01591187270501836,0.042105263157894736
pos_prop_NOUN,0.2624254473161034,0.2290909090909091,0.26805385556915545,0.18210526315789474
pos_prop_ADJ,0.10934393638170974,0.06181818181818182,0.09057527539779682,0.049473684210526316
pos_prop_SCONJ,0.02584493041749503,0.025454545454545455,0.009791921664626682,0.02
pos_prop_PRON,0.0536779324055666,0.05454545454545454,0.02937576499388005,0.07473684210526316
pos_prop_VERB,0.1272365805168986,0.14545454545454545,0.13219094247246022,0.13052631578947368
pos_prop_DET,0.06958250497017893,0.08,0.04773561811505508,0.10421052631578948
pos_prop_PART,0.02982107355864811,0.025454545454545455,0.019583843329253364,0.030526315789473683
pos_prop_CCONJ,0.033797216699801194,0.02909090909090909,0.01591187270501836,0.021052631578947368
first_order_coherence,0.8700382929099234,0.7562397842605909,0.7387730237096548,0.7239734520869595
second_order_coherence,0.8638440900378757,0.7544220252470537,0.7036657087180925,0.6951312782133326
dependency_distance_mean,2.8097445217264507,2.7278526904512903,2.8381479553978495,3.1488405598293583
dependency_distance_std,0.407259492126,0.640460829811157,0.8823325930831947,1.1714968503145393
prop_adjacent_dependency_relation_mean,0.48885204826246687,0.4592502124787762,0.5063307507023194,0.41070994505063385
prop_adjacent_dependency_relation_std,0.07493223219767073,0.08285389120132157,0.055529850815830006,0.1172270440393428
entropy,11.763175963817538,6.893745886453002,11.988349086791365,28.280904599648743
perplexity,128434.71038639895,986.0882823564435,160869.55316923643,1915317650324.9116
per_word_perplexity,255.3373963944313,3.5857755722052493,196.90275785708255,2016123842.4472754
flesch_reading_ease,31.463750000000005,58.766194331983826,28.8963805825243,65.57057192648924
flesch_kincaid_grade,14.522500000000004,9.78275303643725,16.39352233009709,9.558260456273768
smog,16.52667757954773,13.149919865122353,16.887214914478655,12.261556223090622
gunning_fog,18.77032967032967,14.077732793522268,19.580382801664356,13.430798479087452
automated_readability_index,18.422384615384615,12.630647773279357,22.55651872399445,11.705329531051966
coleman_liau_index,18.45028571428571,13.303805668016196,20.084715672676833,10.535361216730035
lix,66.48626373626374,51.388663967611336,72.2519278779473,46.378010139416986
rix,9.95,6.153846153846154,12.52,5.361111111111111
passed_quality_check,True,True,True,True
n_stop_words,193.0,108.0,201.0,385.0
alpha_ratio,0.9165009940357853,0.8981818181818182,0.8886168910648715,0.8410526315789474
mean_word_length,5.58648111332008,4.807272727272728,5.708690330477356,4.130526315789473
doc_length,503.0,275.0,817.0,950.0
top_ngram_chr_fraction_2,0.01966205837173579,0.02875399361022364,0.005957922174641594,0.010777683854606932
oov_ratio,0.013916500994035786,0.02181818181818182,0.09791921664626684,0.011578947368421053
connectives,13,9,13,16
pos_prop_NUM,,0.0036363636363636364,0.006119951040391677,0.010526315789473684
pos_prop_INTJ,,,0.0012239902080783353,
pos_prop_X,,,0.0012239902080783353,
symbol_to_word_ratio_#,,,0.0013623978201634877,
pos_prop_SYM,,,,0.0010526315789473684
duplicate_ngram_chr_fraction_5,,,,0.07100591715976332
duplicate_ngram_chr_fraction_6,,,,0.04268808114961961
duplicate_ngram_chr_fraction_7,,,,0.01098901098901099
top_ngram_chr_fraction_3,,,,0.026627218934911243
top_ngram_chr_fraction_4,,,,0.028106508875739646
