,continue,human-cont,create,human-full,explain
first_order_coherence,0.8121391407081059,0.7994919283823534,0.8422738313674927,0.7976052284240722,0.6565660417079926
second_order_coherence,0.8118116351274344,0.7615506138120379,0.8410014537247744,0.7591285212286587,0.7266182657331228
flesch_reading_ease,26.209946236559148,55.32620137299773,31.399602272727293,56.936792015683494,55.92567470664932
flesch_kincaid_grade,14.737741935483871,10.262562929061787,16.053068181818183,9.669282956098144,9.405000000000001
smog,15.381575749822971,12.200932325342574,16.827784334635936,11.77466266942573,11.661520659325951
gunning_fog,17.169892473118278,12.908924485125858,19.515367965367968,12.236654191172102,11.971279567889738
automated_readability_index,18.57633333333333,12.676247139588106,20.139274891774896,11.797512029941181,11.715939653566771
coleman_liau_index,19.81174193548387,13.360732265446224,17.04640692640692,13.05797421731123,13.800968523002421
lix,67.76344086021506,50.121281464530895,69.85624098124097,49.19200380205549,51.23570497299311
rix,9.733333333333333,5.913043478260869,11.833333333333334,5.548387096774194,5.615384615384615
entropy,7.579279645591847,10.914833549318022,15.527889582392703,14.064108680104653,12.799072783254022
perplexity,1957.218566433449,54985.98146753006,5542130.670747984,1282226.631018388,361881.751182936
per_word_perplexity,5.608076121585814,117.49141339215825,7169.638642623524,2184.3724548865216,749.2375800888944
passed_quality_check,True,True,True,True,True
n_stop_words,118.0,196.0,269.0,244.0,162.0
alpha_ratio,0.8939828080229226,0.9230769230769231,0.8952134540750324,0.9148211243611585,0.8322981366459627
mean_word_length,5.713467048710601,4.948717948717949,5.276843467011643,4.885860306643952,4.722567287784679
doc_length,349.0,468.0,773.0,587.0,483.0
top_ngram_chr_fraction_2,0.00914235959947758,0.012727272727272728,0.008412197686645636,0.007342143906020558,0.026845637583892617
oov_ratio,0.0028653295128939827,0.017094017094017096,0.009055627425614488,0.013628620102214651,0.008281573498964804
pos_prop_ADP,0.10601719197707736,0.1282051282051282,0.12160413971539456,0.131175468483816,0.11387163561076605
pos_prop_NOUN,0.2636103151862464,0.23931623931623933,0.22897800776196636,0.2402044293015332,0.2318840579710145
pos_prop_PUNCT,0.10315186246418338,0.06196581196581197,0.09184993531694696,0.06473594548551959,0.12629399585921325
pos_prop_DET,0.05730659025787966,0.06623931623931624,0.055627425614489,0.06814310051107325,0.062111801242236024
pos_prop_VERB,0.1489971346704871,0.0876068376068376,0.10866752910737387,0.0919931856899489,0.09316770186335403
pos_prop_ADV,0.011461318051575931,0.038461538461538464,0.03880983182406209,0.030664395229982964,0.020703933747412008
pos_prop_CCONJ,0.03724928366762178,0.038461538461538464,0.02328589909443726,0.03747870528109029,0.028985507246376812
pos_prop_ADJ,0.1318051575931232,0.15598290598290598,0.15135834411384216,0.15502555366269166,0.15527950310559005
pos_prop_PRON,0.04011461318051576,0.07692307692307693,0.04915912031047866,0.07325383304940375,0.041407867494824016
pos_prop_AUX,0.04011461318051576,0.03632478632478633,0.0258732212160414,0.04088586030664395,0.028985507246376812
pos_prop_PART,0.02005730659025788,0.008547008547008548,0.018111254851228976,0.008517887563884156,0.008281573498964804
pos_prop_PROPN,0.034383954154727794,0.03632478632478633,0.055627425614489,0.03236797274275979,0.041407867494824016
pos_prop_SCONJ,0.0057306590257879654,0.010683760683760684,0.018111254851228976,0.010221465076660987,0.004140786749482402
dependency_distance_mean,2.675663426559521,2.5836353926576487,3.135753455178911,2.5023238904694356,2.477674982877619
dependency_distance_std,0.6441757780123579,0.5360999723482944,0.5449424917238007,0.6362324304350659,0.930764179531923
prop_adjacent_dependency_relation_mean,0.46320413140945077,0.4592047696167487,0.4376408058924708,0.4719656237483654,0.46638032688150727
prop_adjacent_dependency_relation_std,0.06053092613473943,0.08634546867930762,0.07496400344780639,0.09185500299618148,0.07814753814083923
token_length_mean,6.3,5.224256292906179,5.7604617604617605,5.195211786372007,5.351089588377724
token_length_median,6.0,4.0,5.0,4.0,5.0
token_length_std,3.3921636448656756,2.9827969317646503,3.2098865700440697,2.9530729852876423,2.9647207340177664
sentence_length_mean,20.666666666666668,19.0,28.875,17.516129032258064,15.884615384615385
sentence_length_median,18.0,19.0,27.0,17.0,16.0
sentence_length_std,11.659998094148882,8.622518546628735,13.039403424492496,8.605590709952551,8.29423768035525
syllables_per_token_mean,1.8870967741935485,1.562929061784897,1.7272727272727273,1.561694290976059,1.5932203389830508
syllables_per_token_median,2.0,1.0,1.0,1.0,1.0
syllables_per_token_std,1.0969876452634104,0.9561548791187057,0.985797078960366,0.9339940189060666,0.9460776897455451
n_tokens,310,437,693,543,413
n_unique_tokens,212,222,388,267,243
proportion_unique_tokens,0.6838709677419355,0.5080091533180778,0.5598845598845599,0.49171270718232046,0.5883777239709443
n_characters,1994,2316,4079,2868,2281
n_sentences,15,23,24,31,26
connectives,5,13,19,15,10
duplicate_ngram_chr_fraction_5,,0.06254545454545454,0.02145110410094637,0.059324522760646106,
duplicate_ngram_chr_fraction_6,,0.06254545454545454,,0.05051395007342144,
duplicate_ngram_chr_fraction_7,,0.06254545454545454,,0.05051395007342144,
duplicate_ngram_chr_fraction_8,,0.06254545454545454,,0.05051395007342144,
duplicate_ngram_chr_fraction_9,,0.06254545454545454,,0.05051395007342144,
duplicate_ngram_chr_fraction_10,,0.06254545454545454,,0.05051395007342144,
top_ngram_chr_fraction_3,,0.009818181818181818,0.007360672975814932,0.007929515418502203,0.013422818791946308
pos_prop_NUM,,0.014957264957264958,0.0129366106080207,0.015332197614991482,0.022774327122153208
pos_prop_X,,,,,0.020703933747412008
