,continue,human-cont,create,explain,human-full
token_length_mean,5.668246445497631,4.75975975975976,5.39853747714808,5.104026845637584,4.7084917617237005
token_length_median,5.0,4.0,5.0,4.0,4.0
token_length_std,3.0985222369717946,2.568450755148708,2.929743713476935,2.787661674238387,2.5595451476254807
sentence_length_mean,23.444444444444443,22.2,19.535714285714285,18.625,21.916666666666668
sentence_length_median,24.5,21.0,19.5,18.0,22.0
sentence_length_std,4.657398203363264,11.157658057734755,6.13818343798614,4.675401052316261,11.521417254641703
syllables_per_token_mean,1.6966824644549763,1.4159159159159158,1.6288848263254114,1.4932885906040267,1.4068441064638784
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,0.9966476456114925,0.7728416533534506,0.9305535100134107,0.8483829410720377,0.7622286064216708
n_tokens,422,666,547,298,789
n_unique_tokens,219,286,268,162,315
proportion_unique_tokens,0.518957345971564,0.4294294294294294,0.489945155393053,0.5436241610738255,0.39923954372623577
n_characters,2431,3337,3043,1555,3924
n_sentences,18,30,28,16,36
dependency_distance_mean,2.6837749871375327,3.195914629927275,2.842130296819454,2.590843574569976,3.1488405598293583
dependency_distance_std,0.4236212920808243,1.177031483998133,0.5410155080935958,0.38557625608034346,1.1714968503145393
prop_adjacent_dependency_relation_mean,0.4930941863120032,0.40713695821534995,0.4712601557857104,0.4888238889733455,0.41070994505063385
prop_adjacent_dependency_relation_std,0.0613414961025691,0.1255047407162315,0.058249562147138625,0.05944541458703702,0.1172270440393428
first_order_coherence,0.8940278256640715,0.7367932158040589,0.782904205498872,0.8005612015724182,0.7239734520869595
second_order_coherence,0.8815865479409695,0.7453567521380526,0.7853711511080081,0.7987501663821084,0.6951312782133326
pos_prop_PROPN,0.024017467248908297,0.08104738154613467,0.06814580031695722,0.06990881458966565,0.08526315789473685
pos_prop_PUNCT,0.07205240174672489,0.15336658354114713,0.12361331220285261,0.0851063829787234,0.15157894736842106
pos_prop_DET,0.09606986899563319,0.1084788029925187,0.09508716323296355,0.0972644376899696,0.10421052631578948
pos_prop_VERB,0.12882096069868995,0.13216957605985039,0.13312202852614896,0.1458966565349544,0.13052631578947368
pos_prop_NOUN,0.27510917030567683,0.18204488778054864,0.2329635499207607,0.23404255319148937,0.18210526315789474
pos_prop_ADV,0.026200873362445413,0.017456359102244388,0.011093502377179081,0.015197568389057751,0.015789473684210527
pos_prop_ADP,0.12445414847161572,0.08104738154613467,0.10776545166402536,0.09422492401215805,0.08105263157894736
pos_prop_AUX,0.04148471615720524,0.04114713216957606,0.03486529318541997,0.030395136778115502,0.042105263157894736
pos_prop_ADJ,0.07205240174672489,0.04738154613466334,0.06339144215530904,0.057750759878419454,0.049473684210526316
pos_prop_SCONJ,0.017467248908296942,0.0199501246882793,0.022187004754358162,0.015197568389057751,0.02
pos_prop_PRON,0.048034934497816595,0.07231920199501247,0.044374009508716325,0.06990881458966565,0.07473684210526316
pos_prop_PART,0.026200873362445413,0.032418952618453865,0.03328050713153724,0.0364741641337386,0.030526315789473683
pos_prop_CCONJ,0.048034934497816595,0.0199501246882793,0.028526148969889066,0.04559270516717325,0.021052631578947368
flesch_reading_ease,39.49955239599791,64.51551351351355,49.20259369287024,61.59841023489936,65.57057192648924
flesch_kincaid_grade,13.574186413902051,9.775807807807805,11.24976952206843,9.294555369127519,9.558260456273768
smog,15.973960126395564,12.340626583579944,14.244340213328723,12.38480682065935,12.261556223090622
gunning_fog,18.003370194839388,13.564684684684686,15.565656829459389,13.087583892617449,13.430798479087452
automated_readability_index,16.989662980516066,12.08846846846847,13.764968660224604,11.922466442953016,11.705329531051966
coleman_liau_index,16.266729857819907,10.854054054054053,14.428226691042045,12.622416107382548,10.535361216730035
lix,62.7809373354397,47.42522522522522,54.8190780882737,49.497483221476514,46.378010139416986
rix,9.222222222222221,5.6,6.892857142857143,5.75,5.361111111111111
passed_quality_check,True,True,True,True,True
n_stop_words,194.0,326.0,244.0,135.0,385.0
alpha_ratio,0.9279475982532751,0.8403990024937655,0.8748019017432647,0.9118541033434651,0.8410526315789474
mean_word_length,5.307860262008734,4.160847880299252,4.822503961965134,4.72644376899696,4.130526315789473
doc_length,458.0,802.0,631.0,329.0,950.0
top_ngram_chr_fraction_2,0.00876577840112202,0.012689723811893506,0.008365867261572783,0.008653326122228232,0.010777683854606932
oov_ratio,0.017467248908296942,0.012468827930174564,,0.02127659574468085,0.011578947368421053
entropy,13.111491088567742,24.456590520700544,19.126799436149156,9.298392087777684,28.280904599648743
perplexity,494593.3004402286,41817908623.793015,202611201.3282601,10920.44596529457,1915317650324.9116
per_word_perplexity,1079.8980358956956,52142030.70298381,321095.4062254518,33.192844879314805,2016123842.4472754
connectives,7,12,10,7,16
pos_prop_NUM,,0.00997506234413965,0.001584786053882726,0.00303951367781155,0.010526315789473684
pos_prop_SYM,,0.0012468827930174563,,,0.0010526315789473684
duplicate_ngram_chr_fraction_5,,0.0781288877830306,,0.058409951325040566,0.07100591715976332
duplicate_ngram_chr_fraction_6,,0.05026125901965663,,0.025959978366684695,0.04268808114961961
duplicate_ngram_chr_fraction_7,,0.012938541925852202,,,0.01098901098901099
top_ngram_chr_fraction_3,,0.03135108235879572,,0.03569497025419145,0.026627218934911243
top_ngram_chr_fraction_4,,0.03309280915650659,,,0.028106508875739646
