,continue,human,create,explain
dependency_distance_mean,3.1461043871848826,2.600820009242423,2.681970099341795,3.7099996659400682
dependency_distance_std,0.863783325278493,1.1594928672536813,0.7175804686863361,0.7437410318524416
prop_adjacent_dependency_relation_mean,0.4337977100299081,0.4171675439756212,0.46617306147849125,0.4527255793025917
prop_adjacent_dependency_relation_std,0.06755414622171305,0.1290446125471667,0.08503753562994425,0.07326245583549898
pos_prop_PRON,0.06352459016393443,0.052845528455284556,0.03218390804597701,0.040865384615384616
pos_prop_DET,0.12295081967213115,0.11382113821138211,0.15862068965517243,0.08413461538461539
pos_prop_PART,0.03278688524590164,0.014227642276422764,0.02528735632183908,0.021634615384615384
pos_prop_ADJ,0.055327868852459015,0.04878048780487805,0.05057471264367816,0.04567307692307692
pos_prop_NOUN,0.15368852459016394,0.17276422764227642,0.2045977011494253,0.1466346153846154
pos_prop_ADP,0.0860655737704918,0.0975609756097561,0.09885057471264368,0.10576923076923077
pos_prop_AUX,0.06557377049180328,0.044715447154471545,0.05517241379310345,0.052884615384615384
pos_prop_PROPN,0.0778688524590164,0.0975609756097561,0.027586206896551724,0.13221153846153846
pos_prop_PUNCT,0.10860655737704918,0.14227642276422764,0.09425287356321839,0.1201923076923077
pos_prop_VERB,0.09836065573770492,0.08130081300813008,0.10344827586206896,0.09375
pos_prop_ADV,0.06967213114754098,0.09349593495934959,0.09195402298850575,0.07932692307692307
pos_prop_CCONJ,0.02663934426229508,0.018292682926829267,0.03908045977011494,0.036057692307692304
pos_prop_SCONJ,0.036885245901639344,0.01016260162601626,0.016091954022988506,0.03365384615384615
pos_prop_NUM,0.0020491803278688526,0.012195121951219513,0.0022988505747126436,0.007211538461538462
flesch_reading_ease,37.08848275862073,31.85317256760527,22.898008590394397,15.110317622950845
flesch_kincaid_grade,12.408873563218389,11.899877334820186,13.83015228426396,16.83452868852459
smog,13.023866798666859,12.778300805065182,15.091289759661642,17.410965686947208
gunning_fog,13.856551724137933,14.159018678561473,17.635142522452167,20.078961748633883
automated_readability_index,12.454965517241384,10.881782826874826,13.928750488090593,17.276598360655733
coleman_liau_index,13.939954022988505,14.405971563981034,16.9297461928934,16.948961748633874
lix,43.147126436781605,42.03261778645108,50.94064818430301,57.02800546448087
rix,4.48,3.676470588235294,5.423076923076923,7.8125
entropy,7.303070792929812,5.771816372024986,7.369019847931461,5.423708500789957
perplexity,1484.8526087291484,321.1204774983958,1586.0784228771772,226.71835058344465
per_word_perplexity,3.042730755592517,0.6526838973544631,3.6461572939705222,0.5449960350563573
token_length_mean,5.347126436781609,5.542654028436019,5.898477157360406,5.7896174863387975
token_length_median,5.0,5.0,5.0,5.0
token_length_std,2.946489790829423,3.03249862859596,3.53658869673649,3.284672362851267
sentence_length_mean,17.4,12.411764705882353,15.153846153846153,22.875
sentence_length_median,17.0,12.0,15.5,21.5
sentence_length_std,7.429670248402683,8.243063561917568,4.966753371494748,7.55707450009592
syllables_per_token_mean,1.7977011494252872,1.919431279620853,1.9923857868020305,1.9918032786885247
syllables_per_token_median,1.0,1.5,2.0,2.0
syllables_per_token_std,1.1225972565187865,1.327132696132835,1.1760913037353193,1.2835395581618432
n_tokens,435,422,394,366
n_unique_tokens,221,253,217,193
proportion_unique_tokens,0.5080459770114942,0.5995260663507109,0.550761421319797,0.5273224043715847
n_characters,2379,2409,2365,2169
n_sentences,25,34,26,16
first_order_coherence,0.6055962676182389,0.345225024065285,0.69090252161026,0.7177063206831614
second_order_coherence,0.5961548211457937,0.366007755168539,0.7164520733058453,0.729198504771505
passed_quality_check,True,True,True,True
n_stop_words,241.0,212.0,203.0,175.0
alpha_ratio,0.889344262295082,0.8455284552845529,0.903448275862069,0.8725961538461539
mean_word_length,4.875,4.896341463414634,5.436781609195402,5.2139423076923075
doc_length,488.0,492.0,435.0,416.0
duplicate_ngram_chr_fraction_5,0.04550302168503377,,,0.05998421468034728
duplicate_ngram_chr_fraction_6,0.01848560255954497,,,0.04025256511444357
top_ngram_chr_fraction_2,0.04692499111269108,0.01941404871161313,0.019934758970641536,0.016574585635359115
top_ngram_chr_fraction_3,0.009598293636686812,,0.028271112722000724,0.024861878453038673
oov_ratio,0.006147540983606557,0.018292682926829267,0.004597701149425287,0.01201923076923077
connectives,19,13,8,15
connectives_cap,0,4,1,1
duplicate_ngram_chr_fraction_7,,,,0.04025256511444357
top_ngram_chr_fraction_4,,,,0.018942383583267563
