,human-full,create,explain,human-cont,continue
passed_quality_check,True,True,True,True,True
n_stop_words,253.0,105.0,113.0,174.0,143.0
alpha_ratio,0.8273878020713463,0.8588588588588588,0.8696969696969697,0.8166666666666667,0.8627906976744186
mean_word_length,5.159953970080553,5.4774774774774775,5.463636363636364,5.016666666666667,5.383720930232558
doc_length,869.0,333.0,330.0,600.0,430.0
duplicate_ngram_chr_fraction_5,0.12158522508657175,0.03510436432637571,0.06516530905606133,,0.07233407904548844
duplicate_ngram_chr_fraction_6,0.12158522508657175,,0.06516530905606133,,0.055182699478001494
duplicate_ngram_chr_fraction_7,0.10965756060023085,,0.06516530905606133,,0.055182699478001494
duplicate_ngram_chr_fraction_8,0.08695652173913043,,0.06516530905606133,,0.055182699478001494
duplicate_ngram_chr_fraction_9,0.06656406310119277,,,,0.055182699478001494
duplicate_ngram_chr_fraction_10,0.016929588303193535,,,,0.055182699478001494
top_ngram_chr_fraction_2,0.010773374374759523,0.011859582542694497,0.014374700527072353,0.016009148084619784,0.016778523489932886
top_ngram_chr_fraction_3,0.013466717968449404,0.024667931688804556,0.03449928126497365,0.020011435105774727,0.011185682326621925
top_ngram_chr_fraction_4,0.012697191227395151,,,0.018867924528301886,
oov_ratio,0.01726121979286536,0.03303303303303303,0.012121212121212121,0.015,0.004651162790697674
token_length_mean,5.972489683631362,6.177083333333333,6.132404181184669,5.849094567404427,6.080862533692723
token_length_median,6.0,6.0,6.0,5.0,6.0
token_length_std,3.893607393311482,3.33435856629294,3.3594054565215195,4.073687983613582,3.349206014445014
sentence_length_mean,18.175,22.153846153846153,26.09090909090909,17.137931034482758,19.526315789473685
sentence_length_median,18.5,21.0,25.0,18.0,20.0
sentence_length_std,8.419879749735147,5.432751871695254,5.599586761612543,9.069555507228126,5.6323167249144195
syllables_per_token_mean,1.7909215955983493,1.8472222222222223,1.8222996515679442,1.738430583501006,1.84366576819407
syllables_per_token_median,1.0,2.0,2.0,1.0,2.0
syllables_per_token_std,1.015844274889914,1.0295592668470412,0.9946499432021669,1.009009690260953,1.0026012186572393
n_tokens,727,288,287,497,371
n_unique_tokens,326,156,149,264,190
proportion_unique_tokens,0.4484181568088033,0.5416666666666666,0.519163763066202,0.5311871227364185,0.5121293800539084
n_characters,4484,1824,1803,3010,2315
n_sentences,40,13,11,29,19
dependency_distance_mean,2.7148407530141747,2.712797607899916,2.832465738922188,2.6703498100278207,2.863598565588403
dependency_distance_std,0.939334198701865,0.3217666371609413,0.6307280528480497,1.0284680521924228,0.37488056480570764
prop_adjacent_dependency_relation_mean,0.4749176115575285,0.4534356027690815,0.5257071343302421,0.4696536829149029,0.4513855418149401
prop_adjacent_dependency_relation_std,0.06590485885938951,0.05994669375226186,0.06222497809798757,0.06438630515129264,0.06398144321437602
entropy,21.940800240856955,9.490704250560533,9.223378299980546,14.868888999662046,12.887172148457045
perplexity,3378846583.969647,13236.113585473255,10131.232923757658,2867321.8525660858,395209.8420257429
per_word_perplexity,3888200.9021514924,39.74808884526503,30.70070582956866,4778.8697542768095,919.0926558738207
pos_prop_ADJ,0.09896432681242807,0.10510510510510511,0.08484848484848485,0.09666666666666666,0.11162790697674418
pos_prop_NOUN,0.3003452243958573,0.30930930930930933,0.3242424242424242,0.28,0.29534883720930233
pos_prop_ADP,0.11852704257767549,0.0990990990990991,0.12727272727272726,0.12,0.11395348837209303
pos_prop_DET,0.05063291139240506,0.06906906906906907,0.09393939393939393,0.045,0.08139534883720931
pos_prop_PUNCT,0.1334867663981588,0.12912912912912913,0.1303030303030303,0.13,0.1372093023255814
pos_prop_VERB,0.08745684695051784,0.0990990990990991,0.10606060606060606,0.085,0.10697674418604651
pos_prop_CCONJ,0.0379746835443038,0.05405405405405406,0.03939393939393939,0.03333333333333333,0.03255813953488372
pos_prop_PROPN,0.05523590333716916,0.042042042042042045,0.02727272727272727,0.06333333333333334,0.03255813953488372
pos_prop_PART,0.011507479861910242,0.015015015015015015,,0.011666666666666667,0.018604651162790697
pos_prop_AUX,0.0379746835443038,0.042042042042042045,0.01818181818181818,0.043333333333333335,0.03488372093023256
pos_prop_ADV,0.02186421173762946,0.015015015015015015,0.01818181818181818,0.03,0.018604651162790697
pos_prop_PRON,0.006904487917146145,0.015015015015015015,0.02727272727272727,0.008333333333333333,0.011627906976744186
pos_prop_X,0.026467203682393557,,,0.035,
pos_prop_NUM,0.009205983889528193,0.006006006006006006,,0.013333333333333334,
pos_prop_SCONJ,0.0034522439585730723,,0.0030303030303030303,0.005,0.004651162790697674
first_order_coherence,0.6382874411841234,0.8221304814020792,0.890440309047699,0.5562542305727091,0.8465739488601685
second_order_coherence,0.6889605845667814,0.8280011361295526,0.8773849142922295,0.6365716736073848,0.8393692584598765
flesch_reading_ease,36.875408012379694,28.073846153846148,26.186176750079227,42.36877263581488,31.04166548446588
flesch_kincaid_grade,12.631124828060525,14.847222222222225,16.088590433956288,11.607273988760152,13.780519222584765
smog,14.265292616868656,15.903189008614273,16.908762484321528,13.304227280403612,15.423560369998906
gunning_fog,15.633136176066026,17.88931623931624,19.35622426354134,14.259598973149242,17.298396935735564
automated_readability_index,15.787926409903712,18.740985576923073,20.499078238834336,14.688200929716231,16.97402042842956
coleman_liau_index,17.68962861072902,19.185138888888883,19.124041811846684,16.86551307847083,18.439568733153646
lix,59.715577716643736,65.90384615384616,72.08394044979411,55.97092902241032,66.42658533125265
rix,7.55,9.692307692307692,12.0,6.655172413793103,9.157894736842104
connectives,18,2,5,15,11
