,human,continue,create,explain
pos_prop_NOUN,0.23819742489270387,0.23149394347240915,0.24131944444444445,0.23622047244094488
pos_prop_AUX,0.04291845493562232,0.047106325706594884,0.04513888888888889,0.05249343832020997
pos_prop_DET,0.11802575107296137,0.1278600269179004,0.109375,0.14173228346456693
pos_prop_ADJ,0.07939914163090128,0.11036339165545088,0.09895833333333333,0.07611548556430446
pos_prop_PUNCT,0.13733905579399142,0.09959623149394348,0.1076388888888889,0.11286089238845144
pos_prop_ADP,0.09227467811158799,0.1009421265141319,0.0954861111111111,0.09711286089238845
pos_prop_ADV,0.09012875536480687,0.07940780619111709,0.07118055555555555,0.07611548556430446
pos_prop_PART,0.01072961373390558,0.018842530282637954,0.019097222222222224,0.014435695538057743
pos_prop_VERB,0.07510729613733906,0.0847913862718708,0.0798611111111111,0.0984251968503937
pos_prop_PRON,0.015021459227467811,0.039030955585464336,0.026041666666666668,0.028871391076115485
pos_prop_PROPN,0.019313304721030045,0.005383580080753701,0.003472222222222222,0.0013123359580052493
pos_prop_CCONJ,0.030042918454935622,0.040376850605652756,0.04861111111111111,0.031496062992125984
pos_prop_SCONJ,0.023605150214592276,0.012113055181695828,0.024305555555555556,0.031496062992125984
pos_prop_SPACE,0.017167381974248927,,0.020833333333333332,
pos_prop_NUM,0.01072961373390558,0.0026917900403768506,0.006944444444444444,
passed_quality_check,True,True,True,False
n_stop_words,168.0,322.0,230.0,335.0
alpha_ratio,0.8261802575107297,0.8963660834454913,0.859375,0.8871391076115486
mean_word_length,6.733905579399142,6.6056527590847915,6.383680555555555,6.8727034120734904
doc_length,466.0,743.0,576.0,762.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.043478260869565216,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.0,0.058823529411764705,0.017286914765906363,0.1720575783234547
duplicate_ngram_chr_fraction_6,0.0,0.03407460545193687,0.0,0.10838272650296359
duplicate_ngram_chr_fraction_7,0.0,0.021520803443328552,0.0,0.08060965283657917
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.06672311600338696
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.05453005927180356
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.006822057987492893,0.026362984218077475,0.030732292917166868,0.010160880609652836
top_ngram_chr_fraction_3,0.008527572484366117,0.015064562410329985,0.0460984393757503,0.007620660457239628
top_ngram_chr_fraction_4,0.01023308698123934,0.014526542324246772,0.020168067226890758,0.011685012701100762
oov_ratio,0.06223175965665236,0.024226110363391656,0.03993055555555555,0.04199475065616798
first_order_coherence,0.5953010148368776,0.6209740297868848,0.6708996637413899,0.6554187662189915
second_order_coherence,0.553396071990331,0.6721783242880915,0.5845604221458021,0.6800426542758942
entropy,6.711115994115243,11.175106663893798,8.301832017526486,12.260868291884345
perplexity,821.4869026324598,71332.45298256399,4031.2509553354275,211264.9457616404
per_word_perplexity,1.7628474305417592,96.00599324705786,6.9986995752351175,277.2505849890294
dependency_distance_mean,4.06322550128823,2.9038300806030803,3.2309008277544558,3.0710922371838767
dependency_distance_std,1.7628730456641584,0.8693487042602556,0.9272179362985141,0.9005372980238815
prop_adjacent_dependency_relation_mean,0.4128808614700685,0.4500606438129144,0.48233179517994623,0.40762007375296233
prop_adjacent_dependency_relation_std,0.06293538436611135,0.08472375801458244,0.05675930075312062,0.11120708963708102
flesch_reading_ease,-6.590946434439701,10.407486263736246,13.750491803278692,13.040800119868152
flesch_kincaid_grade,24.582296778007684,19.770967953625725,21.423341634241243,20.547375808449157
smog,20.818547851589877,17.570312316517324,19.367775980510235,17.47062563160072
gunning_fog,25.746615430091637,22.19200116664844,23.94384435797666,22.32387505160314
automated_readability_index,26.606786875554235,20.76163075576944,21.94828793774319,22.319829021604512
coleman_liau_index,28.29145728643216,24.87312406576981,24.080466926070034,27.121715976331362
lix,71.6529707360331,61.758029822450695,66.08529182879377,62.46649236273566
rix,11.294117647058824,7.414634146341464,9.36,7.348837209302325
token_length_mean,7.71356783919598,7.225710014947683,7.027237354085603,7.6198224852071
token_length_median,6.0,6.0,6.0,6.0
token_length_std,5.443022995617874,4.701702421655166,4.54712006968134,5.258311873165259
sentence_length_mean,23.41176470588235,16.317073170731707,20.56,15.720930232558139
sentence_length_median,21.0,17.0,20.0,16.0
sentence_length_std,14.616907307592614,5.501392393107287,8.565418845567331,7.421920961757433
syllables_per_token_mean,2.630653266331658,2.4573991031390134,2.4571984435797667,2.5428994082840237
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,2.0792743891327574,1.7229809892874999,1.753017612719112,1.8927438198013222
n_tokens,398,669,514,676
n_unique_tokens,251,313,286,284
proportion_unique_tokens,0.6306532663316583,0.4678624813153961,0.556420233463035,0.42011834319526625
n_characters,3138,4908,3677,5237
n_sentences,17,41,25,43
connectives,13,14,18,29
connectives_cap,3,1,5,6
pos_prop_X,,,0.001736111111111111,0.0013123359580052493
