,human,continue,create,explain
entropy,13.657013533470145,14.748039288030258,9.03021624670681,12.274544187452868
perplexity,853425.5031597514,2540926.377441323,8351.665397055545,214174.02992236894
per_word_perplexity,1034.4551553451533,2770.9120800886835,13.110934689255172,268.38850867464777
dependency_distance_mean,3.0103140365961663,2.536841573976711,3.0173686531840813,3.1882238804762024
dependency_distance_std,1.2008663975675866,0.6081909391105261,0.707464214148893,0.8517208139048936
prop_adjacent_dependency_relation_mean,0.4209794519126401,0.477535646986383,0.44835967986150094,0.48283616020458126
prop_adjacent_dependency_relation_std,0.11774934199770312,0.0686956985278762,0.07349876932941156,0.08779911406115193
pos_prop_VERB,0.09454545454545454,0.0916030534351145,0.07535321821036106,0.09649122807017543
pos_prop_PUNCT,0.13090909090909092,0.10468920392584515,0.10361067503924647,0.09774436090225563
pos_prop_ADP,0.0993939393939394,0.0752453653217012,0.08791208791208792,0.10902255639097744
pos_prop_NOUN,0.18545454545454546,0.2300981461286805,0.22291993720565148,0.22932330827067668
pos_prop_DET,0.12484848484848485,0.128680479825518,0.11930926216640503,0.12907268170426064
pos_prop_PROPN,0.048484848484848485,0.0021810250817884407,0.01726844583987441,0.03884711779448621
pos_prop_AUX,0.041212121212121214,0.04580152671755725,0.04081632653061224,0.047619047619047616
pos_prop_PRON,0.06666666666666667,0.04580152671755725,0.03610675039246468,0.03383458646616541
pos_prop_NUM,0.014545454545454545,0.0021810250817884407,0.006279434850863423,0.007518796992481203
pos_prop_ADV,0.08,0.07960741548527808,0.09576138147566719,0.05764411027568922
pos_prop_ADJ,0.05696969696969697,0.09596510359869138,0.08791208791208792,0.05889724310776942
pos_prop_CCONJ,0.03151515151515152,0.06761177753544166,0.04866562009419152,0.040100250626566414
pos_prop_SCONJ,0.009696969696969697,0.011995637949836423,0.012558869701726845,0.020050125313283207
pos_prop_X,0.0012121212121212121,,0.0031397174254317113,0.0037593984962406013
pos_prop_PART,0.014545454545454545,0.018538713195201745,0.02197802197802198,0.015037593984962405
first_order_coherence,0.5866308357826499,0.7256760442479779,0.6880783140659332,0.6176292083950506
second_order_coherence,0.5761451291230818,0.7010333567857743,0.6996094276507695,0.6075680728469576
token_length_mean,6.162011173184357,6.695493300852619,6.816112084063048,6.441666666666666
token_length_median,5.0,6.0,5.0,5.0
token_length_std,4.008232921215177,4.229107611285832,5.607365023103394,4.022428440078898
sentence_length_mean,16.272727272727273,14.403508771929825,17.84375,19.45945945945946
sentence_length_median,15.0,14.0,19.0,20.0
sentence_length_std,9.203170492142261,4.697366373449518,6.05758499218129,5.455444067909247
syllables_per_token_mean,2.094972067039106,2.2728380024360537,2.2994746059544657,2.2180555555555554
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.5113822798576786,1.5288075358507243,2.1736319216846147,1.4873378892886377
n_tokens,716,821,571,720
n_unique_tokens,417,382,313,346
proportion_unique_tokens,0.5824022346368715,0.46528623629719856,0.5481611208406305,0.48055555555555557
n_characters,4526,5593,3958,4716
n_sentences,44,57,32,37
flesch_reading_ease,13.083544946673442,-0.06665640959892016,-5.8119579137477615,-0.5638513513513317
flesch_kincaid_grade,15.477034027425091,16.84685684979807,18.502862850262698,18.17224474474475
smog,15.339127054917537,15.903189008614273,17.19510642950941,17.52629891112457
gunning_fog,17.73814118842052,19.646908989892513,20.727692644483366,20.839339339339343
automated_readability_index,15.72943626206196,17.307527832980746,19.59576291593695,18.639979729729724
coleman_liau_index,18.6136312849162,21.51444579780755,22.619894921190888,20.555888888888884
lix,51.18892839004571,55.69461717631472,57.598566112084065,58.34834834834835
rix,5.681818181818182,5.947368421052632,7.09375,7.5675675675675675
passed_quality_check,True,True,True,True
n_stop_words,381.0,417.0,283.0,354.0
alpha_ratio,0.8545454545454545,0.8931297709923665,0.8712715855572999,0.8796992481203008
mean_word_length,5.486060606060606,6.099236641221374,6.213500784929356,5.909774436090226
doc_length,825.0,917.0,637.0,798.0
duplicate_ngram_chr_fraction_5,0.007850467289719627,0.08087891538101917,0.026193118756936737,0.11763619575253924
top_ngram_chr_fraction_2,0.005046728971962617,0.02337540906965872,0.007991120976692564,0.00554016620498615
oov_ratio,0.024242424242424242,0.007633587786259542,0.029827315541601257,0.02882205513784461
connectives,31,28,31,36
connectives_cap,8,9,5,6
duplicate_ngram_chr_fraction_6,,0.019635343618513323,0.026193118756936737,0.0677746999076639
duplicate_ngram_chr_fraction_7,,0.019635343618513323,0.026193118756936737,0.03970452446906741
top_ngram_chr_fraction_3,,0.02244039270687237,0.01598224195338513,0.024007386888273315
top_ngram_chr_fraction_4,,0.024933769674302633,,0.01218836565096953
pos_prop_SPACE,,,0.02040816326530612,0.015037593984962405
duplicate_ngram_chr_fraction_8,,,,0.03139427516158818
duplicate_ngram_chr_fraction_9,,,,0.03139427516158818
duplicate_ngram_chr_fraction_10,,,,0.03139427516158818
