,human,continue,create,explain
flesch_reading_ease,55.65370051635111,32.21011822508825,43.42959789057352,40.522712900505894
flesch_kincaid_grade,11.482678739101274,16.482084437898873,14.495833333333334,16.197970360824744
smog,12.441301995231846,15.793223499081964,14.751259186943994,16.715651335327887
gunning_fog,13.60096579476861,18.47273441335297,16.747222222222224,19.714862542955327
automated_readability_index,12.318672032193156,17.725883652430042,14.838177083333328,17.971224226804125
coleman_liau_index,16.302723004694837,20.922817869415805,17.64020833333333,20.408591065292097
lix,43.157344064386315,56.14747177221405,50.02777777777778,57.70640034364261
rix,3.7714285714285714,6.571428571428571,5.444444444444445,7.1875
token_length_mean,5.873239436619718,6.548109965635739,6.001736111111111,6.434707903780069
token_length_median,5.0,6.0,5.0,5.0
token_length_std,3.6602018113046193,3.9546729331925943,3.347106509497152,4.119148750252568
sentence_length_mean,12.17142857142857,16.62857142857143,16.0,18.1875
sentence_length_median,13.0,17.0,17.0,18.0
sentence_length_std,5.92083833005194,5.65728715544683,7.32575365861197,6.321775363772427
syllables_per_token_mean,1.892018779342723,2.1683848797250858,2.0208333333333335,2.0927835051546393
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.2736337279166143,1.4344187621475573,1.2330447297464742,1.4507905717321465
n_tokens,426,582,576,582
n_unique_tokens,253,350,345,288
proportion_unique_tokens,0.5938967136150235,0.6013745704467354,0.5989583333333334,0.4948453608247423
n_characters,2574,3877,3553,3806
n_sentences,35,35,36,32
entropy,7.2778588396073385,9.261822228870862,8.971246662819116,9.20361150853244
perplexity,1447.8845507287472,10528.300845117432,7873.410978449958,9932.93724665382
per_word_perplexity,2.901572245949393,16.247377847403445,11.929410573409028,15.447802871934403
passed_quality_check,True,True,True,False
n_stop_words,226.0,298.0,279.0,288.0
alpha_ratio,0.8396793587174348,0.8966049382716049,0.8696969696969697,0.9051321928460342
mean_word_length,5.160320641282565,5.9830246913580245,5.383333333333334,5.919129082426127
doc_length,499.0,648.0,660.0,643.0
symbol_to_word_ratio_#,0.0,0.0,0.0,0.0
proportion_ellipsis,0.0,0.0,0.0,0.0
proportion_bullet_points,0.0,0.0,0.0,0.0
contains_lorem ipsum,0.0,0.0,0.0,0.0
duplicate_line_chr_fraction,0.0,0.0,0.0,0.0
duplicate_paragraph_chr_fraction,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_5,0.012004001333777926,0.0,0.01014983083615273,0.17945798223639262
duplicate_ngram_chr_fraction_6,0.0,0.0,0.0,0.09929401047597358
duplicate_ngram_chr_fraction_7,0.0,0.0,0.0,0.08562969710772034
duplicate_ngram_chr_fraction_8,0.0,0.0,0.0,0.018674561603279436
duplicate_ngram_chr_fraction_9,0.0,0.0,0.0,0.0
duplicate_ngram_chr_fraction_10,0.0,0.0,0.0,0.0
top_ngram_chr_fraction_2,0.010003334444814937,0.005602868668758404,0.02319961333977767,0.02004099294010476
top_ngram_chr_fraction_3,0.018672890963654553,0.0,0.011599806669888834,0.019130038715554545
top_ngram_chr_fraction_4,0.0,0.0,0.0,0.0
oov_ratio,0.06813627254509018,0.026234567901234566,0.004545454545454545,0.05132192846034215
pos_prop_ADV,0.12424849699398798,0.11882716049382716,0.06666666666666667,0.07309486780715396
pos_prop_VERB,0.09018036072144289,0.09259259259259259,0.07121212121212121,0.1057542768273717
pos_prop_DET,0.12024048096192384,0.11265432098765432,0.12878787878787878,0.13530326594090203
pos_prop_NOUN,0.18637274549098196,0.19598765432098766,0.22121212121212122,0.19906687402799378
pos_prop_ADP,0.09018036072144289,0.10185185185185185,0.1,0.1150855365474339
pos_prop_PROPN,0.052104208416833664,0.013888888888888888,0.048484848484848485,0.06531881804043546
pos_prop_PUNCT,0.1462925851703407,0.10185185185185185,0.12424242424242424,0.09486780715396578
pos_prop_CCONJ,0.022044088176352707,0.041666666666666664,0.02878787878787879,0.029548989113530325
pos_prop_PRON,0.036072144288577156,0.05092592592592592,0.03787878787878788,0.03110419906687403
pos_prop_SCONJ,0.014028056112224449,0.016975308641975308,0.007575757575757576,0.024883359253499222
pos_prop_AUX,0.06613226452905811,0.041666666666666664,0.03787878787878788,0.05132192846034215
pos_prop_ADJ,0.026052104208416832,0.08796296296296297,0.09242424242424242,0.05132192846034215
pos_prop_NUM,0.01603206412825651,0.0015432098765432098,0.010606060606060607,0.0015552099533437014
pos_prop_SPACE,0.002004008016032064,,,
pos_prop_PART,0.008016032064128256,0.018518518518518517,0.016666666666666666,0.013996889580093312
first_order_coherence,0.49898362729479284,0.6332103616612799,0.4965217380651406,0.6629933344741021
second_order_coherence,0.4884619561560226,0.6839862258145304,0.454707081484444,0.6491168568531672
dependency_distance_mean,2.6096364500652425,3.0375064006189905,2.9852950749677785,3.0385847847620013
dependency_distance_std,0.9313204404262131,0.6982522742430457,1.0508267358657113,0.699836418770536
prop_adjacent_dependency_relation_mean,0.4563238814357788,0.4475749669711364,0.4260026331467359,0.44645560113450217
prop_adjacent_dependency_relation_std,0.08854524486021736,0.07057997673038008,0.10503406973061152,0.08133420323173333
connectives,22,28,20,27
connectives_cap,8,6,4,10
pos_prop_X,,0.0030864197530864196,0.007575757575757576,0.007776049766718507
