,continue,human-full,human-cont,create,explain
pos_prop_NOUN,0.5,0.1166077738515901,0.11375,0.11127379209370425,0.19148936170212766
pos_prop_PUNCT,0.5,0.1425206124852768,0.1425,0.14202049780380674,0.09361702127659574
flesch_reading_ease,-47.97999999999996,55.667824175824194,57.16703433754458,56.008110309743074,31.331375947995696
flesch_kincaid_grade,20.200000000000006,8.277175824175824,7.990777453838678,8.19408912357525,12.95962441314554
gunning_fog,40.400000000000006,10.194285714285714,9.83660511823777,10.224689291003928,15.004550379198264
automated_readability_index,35.589999999999996,7.681181318681318,7.27607709750567,7.8090527400347725,14.00512459371614
coleman_liau_index,25.160000000000007,10.908681318681317,10.521632653061218,11.12354948805461,16.403568075117374
lix,101.0,32.35384615384615,31.588597343699384,35.11803722068388,49.248465149873596
rix,1.0,2.3692307692307693,2.253968253968254,2.660377358490566,5.384615384615385
alpha_ratio,0.5,0.8539458186101295,0.85375,0.8550512445095169,0.902127659574468
mean_word_length,6.5,4.422850412249706,4.3775,4.461200585651538,5.336170212765958
doc_length,2.0,849.0,800.0,683.0,235.0
entropy,0.00011350325058497107,10.806575757670576,10.074311839202117,9.068454537402474,3.3913633447985214
perplexity,1.0001135096923226,49344.21221654465,23725.645701838213,8677.20314490912,29.706424774810166
per_word_perplexity,0.5000567548461613,58.12039130335059,29.657057127297765,12.704543403966499,0.12641031819068155
dependency_distance_mean,0.5,2.6673476634301934,2.6610535369288866,2.7466055766400297,2.749594200456388
prop_adjacent_dependency_relation_mean,0.5,0.42816951404989967,0.42283848789451023,0.40585268135819,0.4715387225696099
token_length_mean,12.0,4.991758241758242,4.938775510204081,5.034129692832765,5.784037558685446
token_length_median,12.0,4.0,4.0,4.0,5.0
sentence_length_mean,1.0,11.2,10.88888888888889,11.056603773584905,16.384615384615383
sentence_length_median,1.0,12.0,12.0,12.0,15.0
syllables_per_token_mean,3.0,1.6524725274725274,1.6384839650145773,1.6501706484641638,1.8779342723004695
syllables_per_token_median,3.0,1.0,1.0,1.0,2.0
n_tokens,1.0,728,686,586,213
n_unique_tokens,1.0,342,331,293,147
proportion_unique_tokens,1.0,0.4697802197802198,0.48250728862973763,0.5,0.6901408450704225
n_characters,13.0,3755,3502,3047,1254
n_sentences,1.0,65,63,53,13
connectives,0.0,58,55,45,9
first_order_coherence,,0.5853385000955313,0.575457944264335,0.5484465426550462,0.6978195259968439
second_order_coherence,,0.5617930268247923,0.5551103733357836,0.526157376520774,0.6512409909205004
pos_prop_PRON,,0.13427561837455831,0.13625,0.13616398243045388,0.05531914893617021
pos_prop_VERB,,0.10247349823321555,0.1025,0.09809663250366032,0.08085106382978724
pos_prop_SCONJ,,0.02944640753828033,0.02875,0.029282576866764276,0.01702127659574468
pos_prop_DET,,0.07656065959952886,0.075,0.08052708638360176,0.14468085106382977
pos_prop_AUX,,0.08244994110718493,0.085,0.08931185944363104,0.04680851063829787
pos_prop_PROPN,,0.02237926972909305,0.01625,0.014641288433382138,0.05531914893617021
pos_prop_ADP,,0.08598351001177856,0.08625,0.0746705710102489,0.14893617021276595
pos_prop_ADJ,,0.02120141342756184,0.01875,0.024890190336749635,0.0425531914893617
pos_prop_CCONJ,,0.01884570082449941,0.0175,0.017569546120058566,0.03404255319148936
pos_prop_ADV,,0.14487632508833923,0.15375,0.16251830161054173,0.07234042553191489
pos_prop_PART,,0.011778563015312132,0.0125,0.013177159590043924,0.00851063829787234
pos_prop_NUM,,0.01060070671378092,0.01125,0.005856515373352855,0.00851063829787234
smog,,10.355215969177355,10.107222479100901,10.36373231387616,13.757784519515319
passed_quality_check,,True,True,True,True
n_stop_words,,484.0,463.0,398.0,118.0
duplicate_ngram_chr_fraction_5,,0.028118723499218925,0.009553379508000955,0.023115024766097964,
duplicate_ngram_chr_fraction_6,,0.028118723499218925,0.009553379508000955,0.01100715465052284,
duplicate_ngram_chr_fraction_7,,0.019192144610577996,,,
top_ngram_chr_fraction_2,,0.012274045971881276,0.013135896823501313,0.013208585580627407,
top_ngram_chr_fraction_3,,0.01740682883284981,0.010031048483401002,0.012383048981838195,
oov_ratio,,0.016489988221436984,0.01125,0.005856515373352855,0.04680851063829787
dependency_distance_std,,0.6863108854906559,0.7110135810439095,0.8258717014090327,0.5331811806834234
prop_adjacent_dependency_relation_std,,0.08151219466025514,0.0770478452661879,0.0836367887277383,0.061440454616103944
token_length_std,,2.708338403631629,2.6262380313706797,2.759815683037579,3.392940563869466
sentence_length_std,,4.452138639074311,4.440474417350738,5.0447622542093296,4.9230769230769225
syllables_per_token_std,,0.9266176451127355,0.908611235910476,0.9413563873540177,1.1523120075812887
