,human-full,explain,create,human-cont,continue
passed_quality_check,True,True,True,True,True
n_stop_words,310.0,143.0,159.0,276.0,57.0
alpha_ratio,0.8593974175035868,0.8825503355704698,0.9132947976878613,0.856,0.8979591836734694
mean_word_length,5.459110473457676,5.439597315436242,5.615606936416185,5.4704,5.673469387755102
doc_length,697.0,298.0,346.0,625.0,147.0
top_ngram_chr_fraction_2,0.010211027910142955,0.013255567338282079,0.022143489813994686,0.011372251705837756,0.07875647668393783
top_ngram_chr_fraction_3,0.014976174268209666,,0.025243578387953942,,
oov_ratio,0.03730272596843615,0.016778523489932886,0.002890173410404624,0.04,
first_order_coherence,0.4538957791030407,0.6328035473823548,0.6640712258062864,0.45033469912078644,0.7039172777107784
second_order_coherence,0.44430415393138417,0.5855547466448375,0.6122658037477069,0.4310911206359213,0.7409103314081827
token_length_mean,6.145695364238411,5.973684210526316,6.05379746835443,6.183673469387755,6.204545454545454
token_length_median,5.0,5.0,5.0,5.0,6.0
token_length_std,3.6991986799960435,3.5237197266960782,3.68545097245552,3.7522575335905497,3.2186451044717472
sentence_length_mean,11.843137254901961,16.625,15.8,11.717391304347826,16.5
sentence_length_median,11.0,17.5,17.0,10.5,16.0
sentence_length_std,7.116323541398815,8.305683295190107,4.654030511288038,7.2581679431079005,3.1622776601683795
syllables_per_token_mean,2.0397350993377485,1.9398496240601504,2.028481012658228,2.0500927643784785,2.1363636363636362
syllables_per_token_median,2.0,1.5,2.0,2.0,2.0
syllables_per_token_std,1.2835216182040627,1.1778622058132766,1.215334082951591,1.2990987994907024,1.1466203783340934
n_tokens,604,266,316,539,132
n_unique_tokens,335,169,177,311,92
proportion_unique_tokens,0.554635761589404,0.6353383458646616,0.560126582278481,0.5769944341372912,0.696969696969697
n_characters,3805,1621,1943,3419,834
n_sentences,51,16,20,46,8
flesch_reading_ease,22.25262628230098,25.8493468045113,19.18850632911392,21.50399995966768,9.351136363636385
flesch_kincaid_grade,13.097697701597202,13.783975563909777,14.508075949367093,13.1708772283617,16.054090909090913
smog,13.528378283781496,15.661386278847925,15.579741850924794,13.410663311599787,16.975882523387877
gunning_fog,15.929307882093235,18.228947368421053,18.345316455696203,15.7444704363959,20.842424242424244
automated_readability_index,13.437793793013896,15.018552631578949,14.983386075949369,13.553797692990237,16.043409090909087
coleman_liau_index,17.83735099337748,17.54481203007519,17.92291139240506,18.033840445269018,18.88878787878787
lix,47.77028957278276,53.46710526315789,51.243037974683546,47.70997015406954,61.196969696969695
rix,4.254901960784314,6.125,5.6,4.217391304347826,7.375
entropy,9.885224842772892,5.134421901364556,6.207254912976681,8.764213637644005,2.5135976777376814
perplexity,19638.060859113637,169.76614992184477,496.33689154028883,6401.026439397916,12.34927896214586
per_word_perplexity,28.175123183807226,0.5696850668518281,1.4344996865326267,10.241642303036665,0.08400870042276096
dependency_distance_mean,2.457952452360642,3.1320360060023247,2.7536214741141207,2.4148686241935824,2.574317745873053
dependency_distance_std,0.8546790653809514,0.9327127915896577,0.616574272038382,0.8577856263440177,0.4008953145361269
prop_adjacent_dependency_relation_mean,0.44423081360697697,0.43998717354981653,0.4751850282070871,0.44789904423953547,0.47971169367996835
prop_adjacent_dependency_relation_std,0.10127846977309571,0.06122838323430255,0.09675782209738099,0.10525479884316653,0.07619509948582508
pos_prop_PRON,0.03873744619799139,0.03691275167785235,0.02601156069364162,0.0384,0.02040816326530612
pos_prop_AUX,0.05164992826398852,0.04697986577181208,0.06647398843930635,0.0496,0.04081632653061224
pos_prop_DET,0.14347202295552366,0.174496644295302,0.17341040462427745,0.1456,0.16326530612244897
pos_prop_ADJ,0.047345767575322814,0.0738255033557047,0.06936416184971098,0.0416,0.1292517006802721
pos_prop_NOUN,0.22812051649928264,0.2348993288590604,0.21098265895953758,0.2256,0.23129251700680273
pos_prop_ADP,0.11908177905308465,0.1040268456375839,0.07803468208092486,0.1168,0.061224489795918366
pos_prop_PROPN,0.040172166427546625,0.020134228187919462,0.046242774566473986,0.04,0.006802721088435374
pos_prop_VERB,0.09038737446197992,0.087248322147651,0.10404624277456648,0.0912,0.10204081632653061
pos_prop_CCONJ,0.020086083213773313,0.03691275167785235,0.03757225433526012,0.0176,0.05442176870748299
pos_prop_PUNCT,0.133428981348637,0.10738255033557047,0.08670520231213873,0.1376,0.10204081632653061
pos_prop_ADV,0.054519368723098996,0.050335570469798654,0.06647398843930635,0.0592,0.061224489795918366
pos_prop_NUM,0.00860832137733142,0.006711409395973154,,0.0096,
pos_prop_PART,0.014347202295552367,0.006711409395973154,0.017341040462427744,0.016,0.013605442176870748
pos_prop_SCONJ,0.005738880918220947,0.006711409395973154,0.017341040462427744,0.0064,0.013605442176870748
pos_prop_X,0.00430416068866571,0.006711409395973154,,0.0048,
connectives,12,10,3,12,1
top_ngram_chr_fraction_4,,,0.022586359610274578,,
