,human-full,create,explain,human-cont,continue
first_order_coherence,0.4538957791030407,0.5519920820370317,0.6168033962066357,0.45033469912078644,0.6816201160351435
second_order_coherence,0.44430415393138417,0.5862582246462504,0.5769981021682421,0.4310911206359213,0.6853302094069395
token_length_mean,6.145695364238411,6.0843373493975905,5.893805309734513,6.183673469387755,6.0673076923076925
token_length_median,5.0,5.0,5.0,5.0,5.0
token_length_std,3.6991986799960435,3.6356274300167457,3.6113460140080957,3.7522575335905497,3.468995706687708
sentence_length_mean,11.843137254901961,14.647058823529411,16.142857142857142,11.717391304347826,16.0
sentence_length_median,11.0,15.0,16.0,10.5,18.0
sentence_length_std,7.116323541398815,6.0385153655571004,6.390362641812869,7.2581679431079005,4.296689244236597
syllables_per_token_mean,2.0397350993377485,2.0843373493975905,1.915929203539823,2.0500927643784785,2.076923076923077
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.2835216182040627,1.2598669459656244,1.1624711526866243,1.2990987994907024,1.3423021820473189
n_tokens,604,249,226,539,208
n_unique_tokens,335,159,151,311,148
proportion_unique_tokens,0.554635761589404,0.6385542168674698,0.668141592920354,0.5769944341372912,0.7115384615384616
n_characters,3805,1542,1356,3419,1286
n_sentences,51,17,14,46,13
dependency_distance_mean,2.457952452360642,2.716118862674966,2.9138314536340855,2.4148686241935824,2.6775449448818884
dependency_distance_std,0.8546790653809514,0.8659791559493282,0.8608511218865897,0.8577856263440177,0.4242853790699514
prop_adjacent_dependency_relation_mean,0.44423081360697697,0.4420871082109631,0.4396415145005371,0.44789904423953547,0.47894198248423375
prop_adjacent_dependency_relation_std,0.10127846977309571,0.09214503822235642,0.08721033133586342,0.10525479884316653,0.054261061795876496
pos_prop_PRON,0.03873744619799139,0.03260869565217391,0.048,0.0384,0.03017241379310345
pos_prop_AUX,0.05164992826398852,0.043478260869565216,0.032,0.0496,0.05172413793103448
pos_prop_DET,0.14347202295552366,0.14855072463768115,0.18,0.1456,0.125
pos_prop_ADJ,0.047345767575322814,0.09057971014492754,0.064,0.0416,0.09913793103448276
pos_prop_NOUN,0.22812051649928264,0.23550724637681159,0.232,0.2256,0.20689655172413793
pos_prop_ADP,0.11908177905308465,0.10144927536231885,0.112,0.1168,0.07327586206896551
pos_prop_PROPN,0.040172166427546625,0.018115942028985508,0.02,0.04,0.01293103448275862
pos_prop_VERB,0.09038737446197992,0.10869565217391304,0.1,0.0912,0.10775862068965517
pos_prop_CCONJ,0.020086083213773313,0.03260869565217391,0.044,0.0176,0.05172413793103448
pos_prop_PUNCT,0.133428981348637,0.09782608695652174,0.096,0.1376,0.10344827586206896
pos_prop_ADV,0.054519368723098996,0.043478260869565216,0.044,0.0592,0.09051724137931035
pos_prop_NUM,0.00860832137733142,0.0036231884057971015,,0.0096,
pos_prop_PART,0.014347202295552367,0.021739130434782608,0.004,0.016,0.02586206896551724
pos_prop_SCONJ,0.005738880918220947,0.021739130434782608,0.016,0.0064,0.021551724137931036
pos_prop_X,0.00430416068866571,,0.008,0.0048,
entropy,9.885224842772892,4.506689792895755,4.0832036306201855,8.764213637644005,3.4811055310084202
perplexity,19638.060859113637,90.6213460483727,59.335253924858776,6401.026439397916,32.49562714857206
per_word_perplexity,28.175123183807226,0.32833821032019095,0.2373410156994351,10.241642303036665,0.14006735839901752
passed_quality_check,True,True,True,True,True
n_stop_words,310.0,120.0,126.0,276.0,108.0
alpha_ratio,0.8593974175035868,0.8985507246376812,0.9,0.856,0.896551724137931
mean_word_length,5.459110473457676,5.586956521739131,5.424,5.4704,5.543103448275862
doc_length,697.0,276.0,250.0,625.0,232.0
top_ngram_chr_fraction_2,0.010211027910142955,0.02905027932960894,0.015812776723592662,0.011372251705837756,0.013395847287340924
top_ngram_chr_fraction_3,0.014976174268209666,,0.020872865275142316,,
oov_ratio,0.03730272596843615,0.0036231884057971015,0.012,0.04,
flesch_reading_ease,22.25262628230098,15.633295535081487,28.362389380531,21.50399995966768,14.8873076923077
flesch_kincaid_grade,13.097697701597202,14.71753366406804,13.313678887484198,13.1708772283617,15.157692307692312
smog,13.528378283781496,15.521786647896054,14.452119694410143,13.410663311599787,15.804545918419173
gunning_fog,15.929307882093235,18.710229151901725,16.191656131479142,15.7444704363959,18.70769230769231
automated_readability_index,13.437793793013896,14.550758327427353,14.401251580278128,13.553797692990237,15.147019230769232
coleman_liau_index,17.83735099337748,17.955020080321287,17.021946902654864,18.033840445269018,18.02576923076923
lix,47.77028957278276,52.39806283959367,51.983565107458915,47.70997015406954,54.46153846153847
rix,4.254901960784314,5.529411764705882,5.785714285714286,4.217391304347826,6.153846153846154
connectives,12,3,10,12,6
