,human-full,create,explain,continue,human-cont
pos_prop_NOUN,0.1968,0.20048309178743962,0.19322033898305085,0.2777777777777778,0.19111969111969113
pos_prop_VERB,0.0976,0.11594202898550725,0.11864406779661017,0.05555555555555555,0.10231660231660232
pos_prop_DET,0.1408,0.14251207729468598,0.16271186440677965,0.3333333333333333,0.13706563706563707
pos_prop_PUNCT,0.1232,0.10869565217391304,0.09491525423728814,0.05555555555555555,0.12548262548262548
pos_prop_CCONJ,0.0208,0.026570048309178744,0.03728813559322034,,0.021235521235521235
pos_prop_PRON,0.0896,0.06763285024154589,0.0711864406779661,,0.0945945945945946
pos_prop_PROPN,0.0288,0.05314009661835749,0.010169491525423728,0.1111111111111111,0.023166023166023165
pos_prop_X,0.0048,,0.003389830508474576,,0.0019305019305019305
pos_prop_ADP,0.1104,0.11835748792270531,0.11864406779661017,0.16666666666666666,0.10810810810810811
pos_prop_ADV,0.0768,0.05314009661835749,0.06440677966101695,,0.08687258687258688
pos_prop_AUX,0.056,0.04830917874396135,0.06440677966101695,,0.055984555984555984
pos_prop_ADJ,0.0208,0.026570048309178744,0.020338983050847456,,0.015444015444015444
pos_prop_NUM,0.0096,0.0024154589371980675,0.003389830508474576,,0.009652509652509652
pos_prop_PART,0.0064,0.014492753623188406,0.006779661016949152,,0.005791505791505791
pos_prop_SCONJ,0.0176,0.021739130434782608,0.030508474576271188,,0.021235521235521235
token_length_mean,5.217948717948718,5.442622950819672,5.198501872659176,5.0,5.185430463576159
token_length_median,4.0,4.0,4.0,4.0,4.0
token_length_std,3.1585293856720775,3.24007314646536,2.951847895016755,2.7224556389190906,3.159632191779296
sentence_length_mean,12.69767441860465,13.071428571428571,16.6875,17.0,12.583333333333334
sentence_length_median,13.0,13.5,17.0,17.0,13.0
sentence_length_std,5.7568357091694775,7.014925778186779,5.675812166553787,,5.524566347989074
syllables_per_token_mean,1.7344322344322345,1.814207650273224,1.7153558052434457,1.7058823529411764,1.7041942604856513
syllables_per_token_median,1.0,1.0,1.0,1.0,1.0
syllables_per_token_std,1.1015246460130288,1.1750666999073247,1.021064732526479,0.9557692240748189,1.0655782570348893
n_tokens,546,366,267,17,453
n_unique_tokens,293,227,169,16,255
proportion_unique_tokens,0.5366300366300366,0.6202185792349727,0.6329588014981273,0.9411764705882353,0.5629139072847682
n_characters,2928,2040,1416,86,2414
n_sentences,43,28,16,1,36
flesch_reading_ease,47.21389343214926,40.08553278688524,44.7780863764045,45.26235294117649,49.88808222958059
flesch_kincaid_grade,9.82839338955618,10.91550741608119,11.15932350187266,11.169411764705881,9.426992273730686
smog,11.753397827838263,12.096993983539278,12.920253819902943,,11.645159339076184
gunning_fog,12.25855694692904,12.769555035128807,13.716198501872661,11.505882352941178,12.097350993377484
automated_readability_index,9.495375670840787,10.740468384074944,11.398693820224722,10.619999999999997,9.285044150110377
coleman_liau_index,12.550402930402932,13.938142076502729,12.993408239700376,11.858823529411762,12.338013245033114
lix,37.05664877757901,42.3064012490242,43.27926029962546,34.64705882352941,35.7621412803532
rix,3.0930232558139537,3.8214285714285716,4.4375,3.0,2.9166666666666665
dependency_distance_mean,2.5683754520089654,2.5984020526431237,2.9604386394257083,2.1666666666666665,2.4486139207317286
dependency_distance_std,0.9029103288623027,0.9705804388283377,0.8059735345949594,,0.7958745587819667
prop_adjacent_dependency_relation_mean,0.4254285795087163,0.4302330936259508,0.45030373721106476,0.5555555555555556,0.429800334326609
prop_adjacent_dependency_relation_std,0.09113557418422215,0.09068896055499615,0.08005314617828506,,0.09339747760758514
entropy,9.61725699711587,6.077857282995772,5.005208098894121,0.3086394118881885,8.191669039989137
perplexity,15021.788564883826,436.09376736746725,149.1881258123024,1.3615713155446836,3610.7436956643855
per_word_perplexity,24.03486170381412,1.0533665878441238,0.505722460380686,0.07564285086359353,6.970547675027771
passed_quality_check,True,True,True,True,True
n_stop_words,312.0,196.0,160.0,9.0,264.0
alpha_ratio,0.8656,0.8792270531400966,0.8983050847457628,0.9444444444444444,0.8687258687258688
mean_word_length,4.6848,4.927536231884058,4.8,4.777777777777778,4.66023166023166
doc_length,625.0,414.0,295.0,18.0,518.0
top_ngram_chr_fraction_2,0.03223949337938975,0.007478188616535106,0.014863258026159334,,0.039078855547801813
oov_ratio,0.0096,0.028985507246376812,0.006779661016949152,0.05555555555555555,0.005791505791505791
first_order_coherence,0.4972665705939844,0.4725598754982154,0.6210691352685292,,0.526710255337613
second_order_coherence,0.4826508518762705,0.46078852718122876,0.6461919971874782,,0.5031449601930731
connectives,22,14,16,0,20
top_ngram_chr_fraction_3,,0.01620274200249273,,,
