,explain,human-full,create,human-cont,continue
pos_prop_DET,0.10426540284360189,0.1162514827995255,0.1173780487804878,0.11590296495956873,0.10294117647058823
pos_prop_NOUN,0.15165876777251186,0.17556346381969157,0.17682926829268292,0.16981132075471697,0.15196078431372548
pos_prop_VERB,0.0947867298578199,0.0830367734282325,0.08079268292682927,0.08490566037735849,0.11274509803921569
pos_prop_ADP,0.11374407582938388,0.10794780545670225,0.10518292682926829,0.09838274932614555,0.08823529411764706
pos_prop_ADJ,0.061611374407582936,0.0498220640569395,0.04573170731707317,0.04582210242587601,0.05392156862745098
pos_prop_CCONJ,0.018957345971563982,0.017793594306049824,0.01676829268292683,0.02021563342318059,0.0392156862745098
pos_prop_ADV,0.06635071090047394,0.08778173190984578,0.08841463414634146,0.09433962264150944,0.0784313725490196
pos_prop_PROPN,0.13744075829383887,0.10320284697508897,0.09603658536585366,0.10242587601078167,0.08823529411764706
pos_prop_PUNCT,0.10900473933649289,0.1269276393831554,0.13567073170731708,0.1293800539083558,0.09313725490196079
pos_prop_AUX,0.05687203791469194,0.04863582443653618,0.04725609756097561,0.04986522911051213,0.0784313725490196
pos_prop_NUM,0.009478672985781991,0.014234875444839857,0.01524390243902439,0.013477088948787063,0.00980392156862745
pos_prop_SCONJ,0.02843601895734597,0.009489916963226572,0.009146341463414634,0.01078167115902965,0.03431372549019608
pos_prop_PRON,0.03317535545023697,0.045077105575326216,0.04878048780487805,0.04851752021563342,0.06372549019607843
pos_prop_PART,0.014218009478672985,0.014234875444839857,0.01524390243902439,0.016172506738544475,0.004901960784313725
token_length_mean,6.026455026455026,5.601902173913044,5.620811287477954,5.613003095975232,5.416216216216216
token_length_median,6.0,5.0,5.0,5.0,5.0
token_length_std,3.2569565149140187,3.091089344916472,3.0750387292861543,3.098299437186018,2.738071279501125
sentence_length_mean,15.75,12.266666666666667,11.571428571428571,12.666666666666666,16.818181818181817
sentence_length_median,16.0,11.0,11.0,11.0,17.0
sentence_length_std,6.771570472694401,6.791825151525096,7.575470619178772,7.089530161336274,5.288378026272358
syllables_per_token_mean,2.0211640211640214,1.9130434782608696,1.9488536155202822,1.9272445820433437,1.8324324324324324
syllables_per_token_median,2.0,2.0,2.0,2.0,2.0
syllables_per_token_std,1.1636363000119596,1.265359322683065,1.355319231839554,1.302284546192126,0.996766137025687
n_tokens,189,736,567,646,185
n_unique_tokens,134,404,324,359,126
proportion_unique_tokens,0.708994708994709,0.5489130434782609,0.5714285714285714,0.5557275541795665,0.6810810810810811
n_characters,1161,4230,3276,3722,1021
n_sentences,12,60,49,51,11
flesch_reading_ease,19.85827380952381,32.540855072463785,30.21698412698413,30.933441692466488,34.740761670761714
flesch_kincaid_grade,14.402235449735453,11.767913043478263,11.919329805996476,12.091486068111454,12.591793611793612
smog,15.247664890283005,12.716760846108397,12.469867099119856,12.86084465949693,13.747043046817236
gunning_fog,17.728571428571428,14.09144927536232,13.870194003527338,14.230753353973169,14.943488943488944
automated_readability_index,14.829603174603172,11.088292572463772,10.829735449735452,11.340577915376677,12.489469287469284
coleman_liau_index,17.756190476190472,14.726141304347827,14.692345679012348,14.867616099071203,14.287351351351344
lix,52.257936507936506,43.788405797101454,42.9647266313933,43.936016511867905,46.007371007371006
rix,5.75,3.8666666666666667,3.63265306122449,3.9607843137254903,4.909090909090909
dependency_distance_mean,2.972445353559484,2.5858403008934627,2.5385483548911516,2.5966685933141815,3.228188186082923
dependency_distance_std,1.2185734450394439,0.9417119535159123,1.1633914469972477,0.9534827886409731,0.5041044980687927
prop_adjacent_dependency_relation_mean,0.4088065276897332,0.4366720867425202,0.4336369519304569,0.4299712710143415,0.44263648632069685
prop_adjacent_dependency_relation_std,0.15115339776247588,0.10823218437993402,0.14309214066495776,0.10472876892016533,0.08564962515150043
entropy,2.3746755841450655,10.060006117028202,7.634431024244556,8.955566475916479,2.2622661880297534
perplexity,10.747525952629676,23388.649440747708,2068.1939639540396,7750.917294441882,9.604830874816686
per_word_perplexity,0.05093614195559088,27.744542634338917,3.1527347011494506,10.44598018118852,0.04708250428831709
passed_quality_check,True,True,True,True,True
n_stop_words,88.0,365.0,283.0,323.0,94.0
alpha_ratio,0.8815165876777251,0.8564650059311981,0.8475609756097561,0.8571428571428571,0.8872549019607843
mean_word_length,5.502369668246446,5.01779359430605,4.9939024390243905,5.0161725067385445,5.004901960784314
doc_length,211.0,843.0,656.0,742.0,204.0
top_ngram_chr_fraction_2,0.013343217197924388,0.011068625477963372,0.005198856251624643,0.012582932967284374,0.014937759336099586
oov_ratio,0.004739336492890996,0.022538552787663108,0.021341463414634148,0.0215633423180593,
first_order_coherence,0.5086468810384924,0.4247107444552042,0.36678020819090307,0.42522047124803064,0.5351413458585739
second_order_coherence,0.4469962109811604,0.4315305715466946,0.349233755564436,0.4434653287230782,0.638341067565812
connectives,9,20,18,20,11
pos_prop_X,,,0.001524390243902439,,
duplicate_ngram_chr_fraction_5,,,0.010397712503249286,,
