,human-full,continue,human-cont,create,explain
dependency_distance_mean,2.6673476634301934,0.5,2.6610535369288866,2.4818001445575812,3.450809178743961
dependency_distance_std,0.6863108854906559,,0.7110135810439095,0.7238552590835752,0.4279006375341822
prop_adjacent_dependency_relation_mean,0.42816951404989967,0.5,0.42283848789451023,0.44160085358093165,0.4835110420979986
prop_adjacent_dependency_relation_std,0.08151219466025514,,0.0770478452661879,0.08803182988854522,0.04858316777200629
entropy,10.806575757670576,0.00011350325058497107,10.074311839202117,6.6004141671146535,2.81524305540755
perplexity,49344.21221654465,1.0001135096923226,23725.645701838213,735.3997045512575,16.697233640096307
per_word_perplexity,58.12039130335059,0.5000567548461613,29.657057127297765,1.6269904967948174,0.11842009673827168
flesch_reading_ease,55.667824175824194,-47.97999999999996,57.16703433754458,52.908257246884205,34.51564102564103
flesch_kincaid_grade,8.277175824175824,20.200000000000006,7.990777453838678,8.471394762638287,13.827692307692306
smog,10.355215969177355,,10.107222479100901,10.986757480514221,15.903189008614273
gunning_fog,10.194285714285714,40.400000000000006,9.83660511823777,11.426858983335668,17.897435897435898
automated_readability_index,7.681181318681318,35.589999999999996,7.27607709750567,8.763858703262848,15.09094871794872
coleman_liau_index,10.908681318681317,25.160000000000007,10.521632653061218,12.544974093264251,14.902461538461537
lix,32.35384615384615,101.0,31.588597343699384,37.11637025626663,51.66666666666667
rix,2.3692307692307693,1.0,2.253968253968254,2.7837837837837838,6.5
passed_quality_check,True,,True,True,True
n_stop_words,484.0,,463.0,243.0,74.0
alpha_ratio,0.8539458186101295,0.5,0.85375,0.8539823008849557,0.9219858156028369
mean_word_length,4.422850412249706,6.5,4.3775,4.674778761061947,5.1063829787234045
doc_length,849.0,2.0,800.0,452.0,141.0
duplicate_ngram_chr_fraction_5,0.028118723499218925,,0.009553379508000955,0.01920768307322929,
duplicate_ngram_chr_fraction_6,0.028118723499218925,,0.009553379508000955,0.01920768307322929,
duplicate_ngram_chr_fraction_7,0.019192144610577996,,,0.01920768307322929,
top_ngram_chr_fraction_2,0.012274045971881276,,0.013135896823501313,0.011204481792717087,
top_ngram_chr_fraction_3,0.01740682883284981,,0.010031048483401002,0.012004801920768308,
oov_ratio,0.016489988221436984,,0.01125,0.0022123893805309734,0.028368794326241134
first_order_coherence,0.5853385000955313,,0.575457944264335,0.5563040357083082,0.792476499080658
second_order_coherence,0.5617930268247923,,0.5551103733357836,0.5534911176988057,0.7642543762922287
token_length_mean,4.991758241758242,12.0,4.938775510204081,5.303108808290156,5.453846153846154
token_length_median,4.0,12.0,4.0,4.0,4.5
token_length_std,2.708338403631629,,2.6262380313706797,3.2803134997366543,3.0912072286046297
sentence_length_mean,11.2,1.0,10.88888888888889,10.432432432432432,21.666666666666668
sentence_length_median,12.0,1.0,12.0,10.0,21.5
sentence_length_std,4.452138639074311,,4.440474417350738,4.612207893280617,2.494438257849294
syllables_per_token_mean,1.6524725274725274,3.0,1.6384839650145773,1.694300518134715,1.7769230769230768
syllables_per_token_median,1.0,3.0,1.0,1.0,1.0
syllables_per_token_std,0.9266176451127355,,0.908611235910476,1.047977896401867,0.986566576297543
n_tokens,728,1.0,686,386,130
n_unique_tokens,342,1.0,331,200,85
proportion_unique_tokens,0.4697802197802198,1.0,0.48250728862973763,0.5181347150259067,0.6538461538461539
n_characters,3755,13.0,3502,2113,720
n_sentences,65,1.0,63,37,6
pos_prop_PUNCT,0.1425206124852768,0.5,0.1425,0.14601769911504425,0.07801418439716312
pos_prop_PRON,0.13427561837455831,,0.13625,0.12389380530973451,0.07092198581560284
pos_prop_VERB,0.10247349823321555,,0.1025,0.11061946902654868,0.0851063829787234
pos_prop_SCONJ,0.02944640753828033,,0.02875,0.030973451327433628,0.014184397163120567
pos_prop_DET,0.07656065959952886,,0.075,0.1084070796460177,0.16312056737588654
pos_prop_NOUN,0.1166077738515901,0.5,0.11375,0.12831858407079647,0.19148936170212766
pos_prop_AUX,0.08244994110718493,,0.085,0.084070796460177,0.02127659574468085
pos_prop_PROPN,0.02237926972909305,,0.01625,0.01991150442477876,0.06382978723404255
pos_prop_ADP,0.08598351001177856,,0.08625,0.06858407079646017,0.14893617021276595
pos_prop_ADJ,0.02120141342756184,,0.01875,0.028761061946902654,0.03546099290780142
pos_prop_CCONJ,0.01884570082449941,,0.0175,0.035398230088495575,0.04964539007092199
pos_prop_ADV,0.14487632508833923,,0.15375,0.084070796460177,0.07092198581560284
pos_prop_PART,0.011778563015312132,,0.0125,0.030973451327433628,0.0070921985815602835
pos_prop_NUM,0.01060070671378092,,0.01125,,
connectives,58,0.0,55,16,3
