,continue,human,create,explain
pos_prop_PROPN,0.03811659192825112,0.07581227436823104,0.08869565217391304,0.08282828282828283
pos_prop_VERB,0.12331838565022421,0.1263537906137184,0.1408695652173913,0.10707070707070707
pos_prop_DET,0.06726457399103139,0.06498194945848375,0.08521739130434783,0.10101010101010101
pos_prop_ADJ,0.08071748878923767,0.05776173285198556,0.04869565217391304,0.08282828282828283
pos_prop_NOUN,0.23318385650224216,0.15703971119133575,0.25217391304347825,0.2101010101010101
pos_prop_CCONJ,0.0515695067264574,0.02527075812274368,0.034782608695652174,0.03838383838383838
pos_prop_ADP,0.1031390134529148,0.09205776173285199,0.09739130434782609,0.12525252525252525
pos_prop_PRON,0.08968609865470852,0.09566787003610108,0.04173913043478261,0.06262626262626263
pos_prop_NUM,0.006726457399103139,0.007220216606498195,0.0017391304347826088,0.006060606060606061
pos_prop_PUNCT,0.08071748878923767,0.15162454873646208,0.12,0.09090909090909091
pos_prop_SCONJ,0.02242152466367713,0.016245487364620937,0.010434782608695653,0.01818181818181818
pos_prop_AUX,0.03139013452914798,0.052346570397111915,0.02608695652173913,0.022222222222222223
pos_prop_ADV,0.03811659192825112,0.03790613718411552,0.01217391304347826,0.022222222222222223
pos_prop_PART,0.033632286995515695,0.039711191335740074,0.04,0.030303030303030304
first_order_coherence,0.8722594317636991,0.674484215103663,0.8503793954849244,0.8728224249447093
second_order_coherence,0.8675954937934875,0.6943767762184143,0.8547672692098116,0.8592463545501232
passed_quality_check,True,True,True,True
n_stop_words,189.0,241.0,201.0,218.0
alpha_ratio,0.9125560538116592,0.8411552346570397,0.8782608695652174,0.9030303030303031
mean_word_length,5.208520179372197,4.212996389891697,5.133913043478261,4.850505050505051
doc_length,446.0,554.0,575.0,495.0
duplicate_ngram_chr_fraction_5,0.08067473414008068,0.028663561447509853,0.0783744557329463,0.0963770664790714
duplicate_ngram_chr_fraction_6,0.04913824715804914,0.028663561447509853,0.03425253991291727,0.056278578965881114
duplicate_ngram_chr_fraction_7,0.027136046938027136,,,0.03376714737952867
top_ngram_chr_fraction_2,0.010267693436010267,0.009673951988534575,0.010159651669085631,0.008441786844882167
flesch_reading_ease,46.53458333333333,66.59663189390267,39.186733333333365,49.23362983770289
flesch_kincaid_grade,11.799351851851856,8.184507520621057,13.70851428571429,12.533913857677906
smog,13.968273953766033,10.980518767755715,14.554592549557764,14.15073652397713
gunning_fog,15.211111111111112,11.239333656800907,16.243809523809524,15.911360799001248
automated_readability_index,15.175666666666665,9.861044800258775,17.529001904761905,15.761807740324592
coleman_liau_index,15.796938271604933,10.93065502183406,16.731519999999993,14.001528089887636
lix,56.5462962962963,44.255539382176934,65.80952380952381,58.20536828963795
rix,7.35,4.62962962962963,10.0,8.277777777777779
token_length_mean,5.622222222222222,4.842794759825328,5.744,5.27191011235955
token_length_median,5.0,4.0,6.0,5.0
token_length_std,3.1999999999999993,2.832546812845189,2.936403242063324,2.8577113795831206
sentence_length_mean,20.25,16.962962962962962,23.80952380952381,24.72222222222222
sentence_length_median,20.5,15.0,24.0,25.5
sentence_length_std,4.345975149491768,9.295484692327502,5.3596290527205745,6.3491517854798305
syllables_per_token_mean,1.651851851851852,1.4541484716157205,1.696,1.5662921348314607
syllables_per_token_median,1.0,1.0,1.0,1.0
syllables_per_token_std,0.9426926382182539,0.8300275129652772,0.8761187134173085,0.8935403413520469
n_tokens,405,458,500,445
n_unique_tokens,206,259,238,224
proportion_unique_tokens,0.508641975308642,0.5655021834061136,0.476,0.503370786516854
n_characters,2323,2334,2952,2401
n_sentences,20,27,21,18
entropy,12.594585227619504,16.780755267235914,16.82324827436134,14.386234143717386
perplexity,294957.1078462768,19399449.885925516,20241555.94863436,1769547.00730292
per_word_perplexity,661.338806830217,35017.05755582223,35202.70599762497,3574.842438995798
dependency_distance_mean,2.7936046816402027,2.7142580540292958,2.8518764542119173,3.0494761980771132
dependency_distance_std,0.6084844827173483,0.599607244350288,0.4529734137420381,0.6275036406837398
prop_adjacent_dependency_relation_mean,0.45390619709547747,0.42682845058977387,0.4785388352690533,0.4290994552663007
prop_adjacent_dependency_relation_std,0.07566270711635219,0.07546784850365282,0.05735255683560133,0.06431091400146206
connectives,10,12,4,15
connectives_cap,3,2,1,2
top_ngram_chr_fraction_3,,0.010748835542816195,0.019738751814223514,0.017938797045374603
top_ngram_chr_fraction_4,,0.01791472590469366,,
duplicate_ngram_chr_fraction_8,,,,0.03376714737952867
