,explain,human,create,continue
entropy,7.934936124933504,6.796052947868128,5.7314442685602325,6.5089329954157495
perplexity,2793.180319074944,894.3104262716298,308.4143800622804,671.1099580244988
per_word_perplexity,5.993949182564257,1.8670363805253232,0.7057537301196347,1.5753754883204198
first_order_coherence,0.61708569785823,0.5520197324454784,0.45283927402148644,0.6704513022506778
second_order_coherence,0.610982824455608,0.521001124852582,0.44949317277120104,0.6532592156103679
token_length_mean,6.702702702702703,7.0776942355889725,7.354005167958657,7.045092838196286
token_length_median,6.0,6.0,6.0,6.0
token_length_std,4.492698697859338,4.741591020983097,4.762716228243535,4.288728494569735
sentence_length_mean,16.958333333333332,19.0,12.483870967741936,16.391304347826086
sentence_length_median,15.5,16.0,13.0,16.0
sentence_length_std,5.947542676508416,10.244626930854093,5.610307148983139,4.104495207375981
syllables_per_token_mean,2.3562653562653564,2.56390977443609,2.7183462532299743,2.5623342175066313
syllables_per_token_median,2.0,2.0,2.0,2.0
syllables_per_token_std,1.7632206985506254,1.9182021532235016,1.9358575753250356,1.7486524905941125
n_tokens,407,399,387,377
n_unique_tokens,211,240,224,204
proportion_unique_tokens,0.5184275184275184,0.6015037593984962,0.5788113695090439,0.5411140583554377
n_characters,2787,2904,2908,2717
n_sentences,24,21,31,23
flesch_reading_ease,-9.717757473382449,-29.356766917293186,-35.80822205551385,-26.57564871410446
flesch_kincaid_grade,18.82768120393121,22.074135338345865,21.355195465533054,21.038152462230425
smog,16.827784334635936,18.649436658719743,16.268817039227585,17.815075919075046
gunning_fog,20.345986895986897,23.138847117794487,21.944452779861635,22.683842694037597
automated_readability_index,18.618896396396394,21.405939849624062,19.449299824956242,19.94803944181755
coleman_liau_index,21.866437346437348,24.25894736842105,25.07049095607235,23.81931034482759
lix,58.97307534807534,63.611528822055135,60.545886471617905,61.749394533502475
rix,7.125,8.476190476190476,6.0,7.434782608695652
dependency_distance_mean,2.981973951643995,3.229285899860434,2.3744010842570216,3.0337504015176204
dependency_distance_std,0.8554531073761189,1.145744199554367,0.8556875853140335,0.727422261214043
prop_adjacent_dependency_relation_mean,0.44636376980177456,0.46495741050606476,0.47091512141072717,0.40900663810660043
prop_adjacent_dependency_relation_std,0.08479022578638994,0.06923560006851362,0.09735643842265214,0.06451448644993926
passed_quality_check,True,True,True,True
n_stop_words,215.0,180.0,168.0,186.0
alpha_ratio,0.8648068669527897,0.8162839248434238,0.8832951945080092,0.8873239436619719
mean_word_length,5.98068669527897,6.062630480167015,6.654462242562929,6.377934272300469
doc_length,466.0,479.0,437.0,426.0
duplicate_ngram_chr_fraction_5,0.054494206075790794,0.0054446460980036296,0.028528072837632777,0.12540400775694893
duplicate_ngram_chr_fraction_6,0.023802067021609773,,0.028528072837632777,0.10471881060116355
top_ngram_chr_fraction_2,0.005010961478233636,0.009679370840895343,0.006069802731411229,0.00904977375565611
top_ngram_chr_fraction_3,0.018791105543376135,0.01058681185722928,0.011836115326251897,0.008726567550096962
oov_ratio,0.07725321888412018,0.11482254697286012,0.08009153318077804,0.06807511737089202
pos_prop_ADP,0.08798283261802575,0.07933194154488518,0.09839816933638444,0.07511737089201878
pos_prop_DET,0.15450643776824036,0.12734864300626306,0.16475972540045766,0.14788732394366197
pos_prop_NOUN,0.2296137339055794,0.21085594989561587,0.2929061784897025,0.22065727699530516
pos_prop_VERB,0.0815450643776824,0.07933194154488518,0.07322654462242563,0.07981220657276995
pos_prop_PRON,0.03648068669527897,0.016701461377870562,0.016018306636155607,0.01643192488262911
pos_prop_CCONJ,0.03648068669527897,0.018789144050104383,0.029748283752860413,0.025821596244131457
pos_prop_PUNCT,0.12660944206008584,0.1544885177453027,0.11212814645308924,0.11267605633802817
pos_prop_AUX,0.06866952789699571,0.06889352818371608,0.036613272311212815,0.08215962441314555
pos_prop_ADJ,0.06223175965665236,0.06680584551148225,0.09839816933638444,0.11267605633802817
pos_prop_ADV,0.04935622317596566,0.07306889352818371,0.032036613272311214,0.06572769953051644
pos_prop_X,0.002145922746781116,0.006263048016701462,,
pos_prop_PROPN,0.012875536480686695,0.05845511482254697,0.013729977116704805,0.007042253521126761
pos_prop_SCONJ,0.02145922746781116,0.012526096033402923,0.013729977116704805,0.028169014084507043
pos_prop_PART,0.019313304721030045,0.014613778705636743,0.011441647597254004,0.025821596244131457
pos_prop_NUM,0.01072961373390558,0.012526096033402923,0.006864988558352402,
connectives,13,13,8,6
connectives_cap,5,1,3,2
top_ngram_chr_fraction_4,,0.007259528130671506,,
duplicate_ngram_chr_fraction_7,,,0.028528072837632777,0.07239819004524888
duplicate_ngram_chr_fraction_8,,,0.028528072837632777,0.04201680672268908
