,explain,human,create,continue
pos_prop_ADP,0.125,0.10204081632653061,0.09883720930232558,0.11009174311926606
pos_prop_DET,0.13141025641025642,0.11661807580174927,0.11627906976744186,0.05504587155963303
pos_prop_NOUN,0.22756410256410256,0.18950437317784258,0.23546511627906977,0.21100917431192662
pos_prop_AUX,0.07371794871794872,0.04664723032069971,0.04941860465116279,0.03669724770642202
pos_prop_VERB,0.07051282051282051,0.04664723032069971,0.0872093023255814,0.06422018348623854
pos_prop_PUNCT,0.08653846153846154,0.16326530612244897,0.125,0.1559633027522936
pos_prop_ADV,0.060897435897435896,0.04956268221574344,0.055232558139534885,0.05504587155963303
pos_prop_ADJ,0.125,0.09620991253644315,0.08139534883720931,0.08256880733944955
pos_prop_SCONJ,0.019230769230769232,0.008746355685131196,0.00872093023255814,0.027522935779816515
pos_prop_PRON,0.022435897435897436,0.014577259475218658,0.03488372093023256,0.009174311926605505
pos_prop_NUM,0.02564102564102564,0.043731778425655975,0.01744186046511628,0.06422018348623854
pos_prop_X,0.00641025641025641,0.04664723032069971,0.0029069767441860465,0.027522935779816515
pos_prop_CCONJ,0.01282051282051282,0.008746355685131196,0.03488372093023256,
pos_prop_PROPN,0.00641025641025641,0.05539358600583091,0.03488372093023256,0.09174311926605505
pos_prop_PART,0.00641025641025641,0.011661807580174927,0.01744186046511628,0.009174311926605505
passed_quality_check,True,True,True,True
n_stop_words,136.0,115.0,133.0,27.0
alpha_ratio,0.8878205128205128,0.7696793002915452,0.8575581395348837,0.7614678899082569
mean_word_length,6.339743589743589,5.446064139941691,6.122093023255814,5.064220183486238
doc_length,312.0,343.0,344.0,109.0
top_ngram_chr_fraction_2,0.04601769911504425,0.01160092807424594,0.00997506234413965,0.028125
top_ngram_chr_fraction_3,0.03982300884955752,0.011136890951276101,0.023275145469659187,
oov_ratio,0.060897435897435896,0.0728862973760933,0.03197674418604651,0.06422018348623854
first_order_coherence,0.6498879400583414,0.508913361777862,0.4879700226620549,0.3880143190423648
second_order_coherence,0.688779778778553,0.46472994542934676,0.4107218125835061,0.5225123763084412
flesch_reading_ease,-25.55288732394365,-7.79368131868128,-5.763673361522194,1.637500000000017
flesch_kincaid_grade,21.862977867203224,19.69714285714286,17.462188160676536,18.62055555555556
smog,19.214890468609244,18.893986810689324,15.961121682281615,18.511140095513987
gunning_fog,23.748088531187122,22.758241758241763,20.223557837511326,21.88888888888889
automated_readability_index,21.052645875251507,19.70190934065934,17.69240410752039,17.71366666666667
coleman_liau_index,23.114084507042254,20.73071428571428,22.337009966777412,17.707111111111114
lix,61.83501006036217,60.46703296703297,57.53563877982482,56.94444444444444
rix,8.428571428571429,8.384615384615385,6.0,7.75
token_length_mean,6.866197183098592,6.446428571428571,6.853820598006645,5.9222222222222225
token_length_median,6.0,5.0,5.0,4.0
token_length_std,4.111524293672221,4.1140857466285565,4.554421059120662,4.011726637905922
sentence_length_mean,20.285714285714285,21.53846153846154,13.681818181818182,22.5
sentence_length_median,21.5,18.0,14.5,22.0
sentence_length_std,5.649634266652911,9.467477810624885,5.79487519385851,5.408326913195984
syllables_per_token_mean,2.5035211267605635,2.2785714285714285,2.3488372093023258,2.1555555555555554
syllables_per_token_median,2.0,2.0,2.0,1.5
syllables_per_token_std,1.5866925459802075,1.5239415865392194,1.5555837620034554,1.4446153745017785
n_tokens,284,280,301,90
n_unique_tokens,173,174,185,64
proportion_unique_tokens,0.6091549295774648,0.6214285714285714,0.6146179401993356,0.7111111111111111
n_characters,1978,1868,2106,552
n_sentences,14,13,22,4
entropy,4.36529140346866,4.406350220199704,4.094359773310593,1.133520142122347
perplexity,78.67232198934788,81.96974536344014,60.000912672250905,3.1065728532519445
per_word_perplexity,0.2521548781709868,0.2389788494560937,0.17442125776817125,0.028500668378458206
dependency_distance_mean,3.6374349375363577,3.332302742879666,2.699281669975297,3.7785504828125913
dependency_distance_std,0.4848415404401825,0.9174858688655212,0.8901902497495271,0.6193626832628523
prop_adjacent_dependency_relation_mean,0.4318748879397966,0.441302033609726,0.46785005966530463,0.46279284708760793
prop_adjacent_dependency_relation_std,0.07493002100184917,0.06695911662629561,0.09398946967463562,0.04562885424399027
connectives,5,4,4,0
duplicate_ngram_chr_fraction_5,,0.01948955916473318,0.023275145469659187,0.065625
top_ngram_chr_fraction_4,,0.018097447795823667,,
duplicate_ngram_chr_fraction_6,,,0.023275145469659187,
